episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,940,94.0,1.0,0.1,1.0,0
1,906,90.6,1.0,0.1,0.9995,100
2,934,93.4,1.0,0.1,0.999,105
3,919,91.9,1.0,0.1,0.9985,205
4,914,91.4,1.0,0.1,0.998,305
5,904,90.4,1.0,0.1,0.9975,405
6,909,90.9,1.0,0.1,0.997,505
7,903,90.3,1.0,0.1,0.9965,605
8,905,90.5,1.0,0.1,0.996,705
9,903,90.3,1.0,0.1,0.9955,805
10,908,90.8,1.0,0.1,0.995,905
11,904,90.4,1.0,0.1,0.9945,1005
12,908,90.8,1.0,0.1,0.994,1105
13,911,91.1,1.0,0.1,0.9935,1205
14,905,90.5,1.0,0.1,0.993,1305
15,903,90.3,1.0,0.1,0.9925,1405
16,904,90.4,1.0,0.1,0.992,1505
17,906,90.6,1.0,0.1,0.9915,1605
18,908,90.8,1.0,0.1,0.991,1705
19,903,90.3,1.0,0.1,0.9905,1805
20,925,92.5,1.0,0.1,0.99,1905
21,904,90.4,1.0,0.1,0.9895,2005
22,933,93.3,1.0,0.1,0.989,2105
23,935,93.5,1.0,0.1,0.9885,2205
24,905,90.5,1.0,0.1,0.988,2305
25,919,91.9,1.0,0.1,0.9875,2405
26,904,90.4,1.0,0.1,0.987,2505
27,903,90.3,1.0,0.1,0.9865,2605
28,904,90.4,1.0,0.1,0.986,2705
29,919,91.9,1.0,0.1,0.9855,2805
30,1000,100.0,0,0.0,0.985,2905
31,928,92.8,1.0,0.1,0.9845,3005
32,909,90.9,1.0,0.1,0.984,3105
33,913,91.3,1.0,0.1,0.9835,3107
34,906,90.6,1.0,0.1,0.983,3207
35,903,90.3,1.0,0.1,0.9825,3307
36,907,90.7,1.0,0.1,0.982,3407
37,915,91.5,1.0,0.1,0.9815,3507
38,904,90.4,1.0,0.1,0.981,3607
39,927,92.7,1.0,0.1,0.9805,3707
40,912,91.2,1.0,0.1,0.98,3807
41,921,92.1,1.0,0.1,0.9795,3907
42,906,90.6,1.0,0.1,0.979,4007
43,906,90.6,1.0,0.1,0.9785,4107
44,903,90.3,1.0,0.1,0.978,4207
45,910,91.0,1.0,0.1,0.9775,4307
46,928,92.8,1.0,0.1,0.977,4407
47,903,90.3,1.0,0.1,0.9765,4507
48,911,91.1,1.0,0.1,0.976,4607
49,911,91.1,1.0,0.1,0.9755,4707
50,907,90.7,1.0,0.1,0.975,4807
51,903,90.3,1.0,0.1,0.9745,4907
52,905,90.5,1.0,0.1,0.974,5007
53,904,90.4,1.0,0.1,0.9735,5107
54,912,91.2,1.0,0.1,0.973,5207
55,906,90.6,1.0,0.1,0.9725,5307
56,905,90.5,1.0,0.1,0.972,5407
57,904,90.4,1.0,0.1,0.9715,5408
58,903,90.3,1.0,0.1,0.971,5508
59,903,90.3,1.0,0.1,0.9705,5608
60,903,90.3,1.0,0.1,0.97,5708
61,905,90.5,1.0,0.1,0.9695,5808
62,915,91.5,1.0,0.1,0.969,5908
63,918,91.8,1.0,0.1,0.9685,6008
64,915,91.5,1.0,0.1,0.968,6108
65,908,90.8,1.0,0.1,0.9675,6208
66,912,91.2,1.0,0.1,0.967,6308
67,906,90.6,1.0,0.1,0.9665,6408
68,906,90.6,1.0,0.1,0.966,6508
69,934,93.4,1.0,0.1,0.9655,6608
70,879,87.9,2.0,0.2,0.965,6708
71,925,92.5,1.0,0.1,0.9645,6808
72,920,92.0,1.0,0.1,0.964,6908
73,909,90.9,1.0,0.1,0.9635,7008
74,906,90.6,1.0,0.1,0.963,7108
75,942,94.2,1.0,0.1,0.9625,7208
76,906,90.6,1.0,0.1,0.962,7234
77,905,90.5,1.0,0.1,0.9615,7334
78,903,90.3,1.0,0.1,0.961,7434
79,904,90.4,1.0,0.1,0.9605,7534
80,909,90.9,1.0,0.1,0.96,7634
81,903,90.3,1.0,0.1,0.9595,7734
82,906,90.6,1.0,0.1,0.959,7834
83,904,90.4,1.0,0.1,0.9585,7934
84,903,90.3,1.0,0.1,0.958,8034
85,903,90.3,1.0,0.1,0.9575,8134
86,904,90.4,1.0,0.1,0.957,8234
87,908,90.8,1.0,0.1,0.9565,8334
88,906,90.6,1.0,0.1,0.956,8434
89,903,90.3,1.0,0.1,0.9555,8534
90,906,90.6,1.0,0.1,0.955,8634
91,908,90.8,1.0,0.1,0.9545,8734
92,903,90.3,1.0,0.1,0.954,8834
93,913,91.3,1.0,0.1,0.9535,8934
94,904,90.4,1.0,0.1,0.953,9034
95,903,90.3,1.0,0.1,0.9525,9134
96,905,90.5,1.0,0.1,0.952,9234
97,908,90.8,1.0,0.1,0.9515,9334
98,906,90.6,1.0,0.1,0.951,9354
99,903,90.3,1.0,0.1,0.9505,9454
100,903,90.3,1.0,0.1,0.95,9456
101,903,90.3,1.0,0.1,0.9495,9556
102,906,90.6,1.0,0.1,0.949,9656
103,904,90.4,1.0,0.1,0.9485,9756
104,904,90.4,1.0,0.1,0.948,9856
105,909,90.9,1.0,0.1,0.9475,9956
106,903,90.3,1.0,0.1,0.947,10056
107,906,90.6,1.0,0.1,0.9465,10058
108,905,90.5,1.0,0.1,0.946,10158
109,903,90.3,1.0,0.1,0.9455,10258
110,903,90.3,1.0,0.1,0.945,10267
111,903,90.3,1.0,0.1,0.9445,10367
112,903,90.3,1.0,0.1,0.944,10467
113,903,90.3,1.0,0.1,0.9435,10567
114,903,90.3,1.0,0.1,0.943,10667
115,903,90.3,1.0,0.1,0.9425,10767
116,903,90.3,1.0,0.1,0.942,10867
117,903,90.3,1.0,0.1,0.9415,10967
118,903,90.3,1.0,0.1,0.941,11067
119,903,90.3,1.0,0.1,0.9405,11167
120,903,90.3,1.0,0.1,0.94,11267
121,903,90.3,1.0,0.1,0.9395,11367
122,879,87.9,2.0,0.2,0.939,11374
123,903,90.3,1.0,0.1,0.9385,11474
124,903,90.3,1.0,0.1,0.938,11574
125,903,90.3,1.0,0.1,0.9375,11674
126,903,90.3,1.0,0.1,0.937,11680
127,903,90.3,1.0,0.1,0.9365,11780
128,903,90.3,1.0,0.1,0.936,11880
129,903,90.3,1.0,0.1,0.9355,11980
130,903,90.3,1.0,0.1,0.935,12080
131,903,90.3,1.0,0.1,0.9345,12180
132,903,90.3,1.0,0.1,0.934,12280
133,903,90.3,1.0,0.1,0.9335,12380
134,903,90.3,1.0,0.1,0.933,12480
135,903,90.3,1.0,0.1,0.9325,12580
136,903,90.3,1.0,0.1,0.932,12680
137,903,90.3,1.0,0.1,0.9315,12780
138,903,90.3,1.0,0.1,0.931,12880
139,903,90.3,1.0,0.1,0.9305,12980
140,903,90.3,1.0,0.1,0.93,13080
141,903,90.3,1.0,0.1,0.9295,13180
142,903,90.3,1.0,0.1,0.929,13280
143,903,90.3,1.0,0.1,0.9285,13380
144,903,90.3,1.0,0.1,0.928,13480
145,903,90.3,2.0,0.2,0.9275,13580
146,903,90.3,1.0,0.1,0.927,13680
147,903,90.3,1.0,0.1,0.9265,13684
148,903,90.3,1.0,0.1,0.926,13784
149,903,90.3,1.0,0.1,0.9255,13884
150,903,90.3,1.0,0.1,0.925,13984
151,903,90.3,1.0,0.1,0.9245,14084
152,903,90.3,1.0,0.1,0.924,14184
