episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,916,91.6,1.0,0.1,1.0,0
1,905,90.5,1.0,0.1,0.9995,100
2,908,90.8,1.0,0.1,0.999,200
3,942,94.2,1.0,0.1,0.9985,300
4,931,93.1,1.0,0.1,0.998,400
5,959,95.9,1.0,0.1,0.9975,500
6,1000,100.0,0,0.0,0.997,600
7,904,90.4,1.0,0.1,0.9965,700
8,950,95.0,1.0,0.1,0.996,800
9,913,91.3,1.0,0.1,0.9955,900
10,903,90.3,1.0,0.1,0.995,1000
11,903,90.3,1.0,0.1,0.9945,1100
12,915,91.5,1.0,0.1,0.994,1200
13,920,92.0,1.0,0.1,0.9935,1300
14,919,91.9,1.0,0.1,0.993,1400
15,908,90.8,1.0,0.1,0.9925,1500
16,905,90.5,1.0,0.1,0.992,1600
17,909,90.9,1.0,0.1,0.9915,1700
18,914,91.4,1.0,0.1,0.991,1800
19,914,91.4,1.0,0.1,0.9905,1900
20,940,94.0,1.0,0.1,0.99,2000
21,922,92.2,1.0,0.1,0.9895,2100
22,915,91.5,1.0,0.1,0.989,2200
23,950,95.0,1.0,0.1,0.9885,2300
24,945,94.5,1.0,0.1,0.988,2400
25,917,91.7,1.0,0.1,0.9875,2500
26,924,92.4,1.0,0.1,0.987,2600
27,928,92.8,1.0,0.1,0.9865,2700
28,1000,100.0,0,0.0,0.986,2702
29,933,93.3,1.0,0.1,0.9855,2802
30,939,93.9,1.0,0.1,0.985,2902
31,905,90.5,1.0,0.1,0.9845,3002
32,924,92.4,1.0,0.1,0.984,3007
33,908,90.8,1.0,0.1,0.9835,3107
34,905,90.5,1.0,0.1,0.983,3207
35,913,91.3,1.0,0.1,0.9825,3307
36,904,90.4,1.0,0.1,0.982,3309
37,911,91.1,1.0,0.1,0.9815,3315
38,903,90.3,1.0,0.1,0.981,3415
39,918,91.8,1.0,0.1,0.9805,3515
40,906,90.6,1.0,0.1,0.98,3615
41,903,90.3,1.0,0.1,0.9795,3715
42,917,91.7,1.0,0.1,0.979,3815
43,907,90.7,1.0,0.1,0.9785,3915
44,909,90.9,1.0,0.1,0.978,4015
45,906,90.6,1.0,0.1,0.9775,4115
46,904,90.4,1.0,0.1,0.977,4215
47,915,91.5,1.0,0.1,0.9765,4315
48,906,90.6,1.0,0.1,0.976,4415
49,912,91.2,1.0,0.1,0.9755,4515
50,928,92.8,1.0,0.1,0.975,4615
51,912,91.2,1.0,0.1,0.9745,4715
52,909,90.9,1.0,0.1,0.974,4815
53,910,91.0,1.0,0.1,0.9735,4915
54,903,90.3,1.0,0.1,0.973,5015
55,903,90.3,1.0,0.1,0.9725,5115
56,928,92.8,1.0,0.1,0.972,5215
57,907,90.7,1.0,0.1,0.9715,5315
58,908,90.8,1.0,0.1,0.971,5415
59,918,91.8,1.0,0.1,0.9705,5515
60,910,91.0,1.0,0.1,0.97,5615
61,907,90.7,1.0,0.1,0.9695,5625
62,911,91.1,1.0,0.1,0.969,5631
63,910,91.0,1.0,0.1,0.9685,5692
64,904,90.4,1.0,0.1,0.968,5792
65,911,91.1,1.0,0.1,0.9675,5892
66,911,91.1,1.0,0.1,0.967,5992
67,909,90.9,1.0,0.1,0.9665,6026
68,914,91.4,1.0,0.1,0.966,6126
69,915,91.5,1.0,0.1,0.9655,6226
70,904,90.4,1.0,0.1,0.965,6326
71,907,90.7,1.0,0.1,0.9645,6426
72,905,90.5,1.0,0.1,0.964,6526
73,907,90.7,1.0,0.1,0.9635,6626
