episode,omega1,omega2,omega3,omega4,omega5,omega
1,0,0,0,0,0,1
2,0,0,0,0,0,2
3,0,0,0,1,0,2
4,1,0,0,1,0,2
5,1,0,1,1,0,2
6,2,0,1,1,0,2
7,2,0,1,2,0,2
8,2,1,1,2,0,2
9,3,1,1,2,0,2
10,3,1,1,2,0,3
11,3,1,1,2,0,4
12,3,1,2,2,0,4
13,3,1,2,2,1,4
14,3,2,2,2,1,4
15,3,2,2,3,1,4
16,3,3,2,3,1,4
17,4,3,2,3,1,4
18,5,3,2,3,1,4
19,5,3,2,4,1,4
20,5,3,2,4,2,4
21,5,3,2,4,2,5
22,5,3,2,4,2,6
23,5,3,2,5,2,6
24,6,3,2,5,2,6
25,6,3,3,5,2,6
26,6,3,3,6,2,6
27,6,3,3,6,3,6
28,6,4,3,6,3,6
29,6,4,3,6,4,6
30,6,4,4,6,4,6
31,6,4,4,7,4,6
32,6,4,4,7,5,6
33,6,4,4,8,5,6
34,7,4,4,8,5,6
35,8,4,4,8,5,6
36,8,4,4,9,5,6
37,8,5,4,9,5,6
38,9,5,4,9,5,6
39,9,5,4,9,5,7
40,9,5,4,9,5,8
41,9,5,5,9,5,8
42,9,5,6,9,5,8
43,10,5,6,9,5,8
44,10,5,6,9,6,8
45,10,5,6,10,6,8
46,11,5,6,10,6,8
47,12,5,6,10,6,8
48,13,5,6,10,6,8
49,13,5,6,11,6,8
50,14,5,6,11,6,8
51,14,5,6,12,6,8
52,14,6,6,12,6,8
53,14,6,6,12,7,8
54,14,6,6,13,7,8
55,14,7,6,13,7,8
56,15,7,6,13,7,8
57,15,7,6,13,7,9
58,15,8,6,13,7,9
59,15,8,6,13,8,9
60,15,9,6,13,8,9
61,16,9,6,13,8,9
62,16,9,6,14,8,9
63,16,9,7,14,8,9
64,17,9,7,14,8,9
65,18,9,7,14,8,9
66,19,9,7,14,8,9
67,19,9,7,14,9,9
68,19,9,7,15,9,9
69,19,9,7,15,10,9
70,19,9,7,15,11,9
71,19,9,7,15,11,10
72,19,10,7,15,11,10
73,19,10,7,15,12,10
74,19,10,7,16,12,10
75,19,10,7,16,12,11
76,20,10,7,16,12,11
77,20,10,7,17,12,11
78,20,10,7,18,12,11
79,20,10,7,18,12,12
80,20,10,7,18,13,12
81,20,10,7,19,13,12
82,20,10,7,20,13,12
83,20,10,7,20,13,13
84,21,10,7,20,13,13
85,21,10,8,20,13,13
86,21,10,8,20,13,14
87,21,10,8,20,14,14
88,22,10,8,20,14,14
89,22,10,8,20,14,15
90,23,10,8,20,14,15
91,24,10,8,20,14,15
92,24,10,8,20,15,15
93,25,10,8,20,15,15
94,25,10,8,20,15,16
95,26,10,8,20,15,16
96,26,10,8,20,16,16
97,26,10,8,20,16,17
98,26,11,8,20,16,17
99,27,11,8,20,16,17
100,27,11,8,20,16,18
101,27,11,8,21,16,18
102,27,11,8,21,16,19
103,27,11,8,21,16,20
104,27,11,8,21,16,21
105,28,11,8,21,16,21
106,28,11,8,21,16,22
107,28,12,8,21,16,22
108,28,12,8,21,16,23
109,28,12,9,21,16,23
110,28,13,9,21,16,23
111,28,13,9,22,16,23
112,28,13,9,22,16,24
113,28,13,9,22,16,25
114,28,13,9,22,16,26
115,28,13,9,22,16,27
116,28,13,9,22,16,28
117,28,13,10,22,16,28
118,29,13,10,22,16,28
119,29,13,10,22,17,28
120,29,13,10,22,17,29
121,30,13,10,22,17,29
122,30,13,11,22,17,29
123,31,13,11,22,17,29
124,31,13,11,22,17,30
125,31,13,11,22,18,30
126,32,13,11,22,18,30
127,32,13,11,22,19,30
128,33,13,11,22,19,30
129,33,13,11,22,19,31
130,33,13,11,23,19,31
131,33,13,11,23,19,32
132,34,13,11,23,19,32
133,34,13,11,24,19,32
134,34,14,11,24,19,32
135,34,14,11,24,20,32
136,34,15,11,24,20,32
137,35,15,11,24,20,32
138,35,15,11,24,20,33
139,35,15,11,24,21,33
140,35,15,11,24,22,33
141,35,15,11,24,22,34
142,35,15,11,24,22,35
143,36,15,11,24,22,35
144,36,15,11,24,22,36
145,36,15,11,24,22,37
146,36,15,11,24,23,37
147,36,15,11,24,24,37
148,36,15,11,24,25,37
149,36,15,11,24,25,38
150,36,16,11,24,25,38
151,36,16,11,24,26,38
152,36,16,11,24,26,39
153,36,17,11,24,26,39
154,37,17,11,24,26,39
155,37,17,11,24,26,40
156,37,18,11,24,26,40
157,37,18,11,24,27,40
158,37,18,11,24,28,40
159,37,19,11,24,28,40
160,37,19,11,24,28,41
161,37,19,11,24,29,41
162,37,19,12,24,29,41
163,38,19,12,24,29,41
164,38,19,12,24,29,42
165,38,19,12,24,29,43
166,38,19,12,24,30,43
167,38,19,12,24,31,43
168,38,19,13,24,31,43
169,38,19,13,24,32,43
170,39,19,13,24,32,43
171,39,19,13,24,32,44
172,39,20,13,24,32,44
173,40,20,13,24,32,44
174,40,20,13,24,32,45
175,40,20,13,24,33,45
176,40,20,13,25,33,45
177,41,20,13,25,33,45
178,41,20,13,25,33,46
179,41,20,13,26,33,46
180,41,20,13,26,33,47
181,41,20,13,26,34,47
182,41,20,13,27,34,47
183,41,20,13,27,34,48
184,42,20,13,27,34,48
185,42,20,13,27,34,49
186,42,21,13,27,34,49
187,42,21,13,28,34,49
188,42,21,13,28,34,50
189,42,21,13,28,34,51
190,42,21,13,28,34,52
191,43,21,13,28,34,52
192,43,21,13,28,34,53
193,43,21,13,28,34,54
194,43,22,13,28,34,54
195,43,22,13,28,34,55
196,43,22,13,28,34,56
197,43,22,14,28,34,56
198,43,22,14,28,34,57
199,44,22,14,28,34,57
200,44,22,14,28,34,58
201,44,22,14,28,34,59
202,44,22,14,28,34,60
203,44,22,14,28,34,61
204,45,22,14,28,34,61
205,45,22,14,28,34,62
206,45,22,14,28,34,63
207,45,22,14,28,34,64
208,45,22,14,28,34,65
209,45,22,14,28,35,65
210,45,22,14,28,36,65
211,46,22,14,28,36,65
212,46,23,14,28,36,65
213,46,23,14,28,36,66
214,46,23,14,28,36,67
215,46,23,14,28,36,68
216,46,23,14,28,36,69
217,46,23,14,28,36,70
218,46,23,14,28,36,71
219,46,23,14,28,36,72
220,46,23,14,29,36,72
221,46,24,14,29,36,72
222,46,24,14,29,37,72
223,46,24,14,29,38,72
224,46,24,14,29,38,73
225,46,24,14,29,38,74
226,46,24,14,29,38,75
227,46,24,14,29,38,76
228,47,24,14,29,38,76
229,47,24,14,29,38,77
230,47,24,14,29,38,78
231,47,24,14,29,38,79
232,47,24,14,29,38,80
233,47,24,14,29,38,81
234,47,24,14,30,38,81
235,47,24,15,30,38,81
236,47,24,15,30,38,82
237,48,24,15,30,38,82
238,48,24,15,30,38,83
239,48,24,15,30,39,83
240,48,24,15,30,40,83
241,48,24,15,30,40,84
242,48,24,15,30,40,85
243,48,24,15,30,40,86
244,48,24,15,30,40,87
245,48,24,15,30,40,88
246,48,24,15,30,40,89
247,48,24,15,30,40,90
248,48,24,15,30,40,91
249,48,24,15,30,40,92
250,49,24,15,30,40,92
251,49,24,15,30,40,93
252,49,24,15,30,40,94
253,49,24,15,30,40,95
254,49,24,15,30,40,96
255,49,24,15,31,40,96
256,49,24,15,31,40,97
