"episode","mean","lower","upper"
1,0.22,0.101077269631,0.338922730369
2,0.46,0.295484127841,0.624515872159
3,0.9,0.68325770992,1.11674229008
4,1.14,0.910262499582,1.36973750042
5,1.4,1.13688483924,1.66311516076
6,1.58,1.29819115135,1.86180884865
7,1.86,1.53011771984,2.18988228016
8,2.04,1.68161840359,2.39838159641
9,2.32,1.93296041357,2.70703958643
10,2.5,2.08896087685,2.91103912315
11,2.78,2.36086002252,3.19913997748
12,3.02,2.59229572809,3.44770427191
13,3.46,3.00713753488,3.91286246512
14,3.68,3.20500260699,4.15499739301
15,3.9,3.4119603002,4.3880396998
16,4.18,3.66424186909,4.69575813091
17,4.46,3.92999311871,4.99000688129
18,4.78,4.23141007281,5.32858992719
19,5.14,4.5744845455,5.7055154545
20,5.42,4.82583004836,6.01416995164
21,5.7,5.09168377454,6.30831622546
22,5.94,5.30474999876,6.57525000124
23,6.2,5.54787465311,6.85212534689
24,6.42,5.75019353872,7.08980646128
25,6.62,5.92649597221,7.31350402779
26,6.96,6.28073663457,7.63926336543
27,7.24,6.53782727824,7.94217272176
28,7.56,6.82211503268,8.29788496732
29,7.8,7.06695602629,8.53304397371
30,8.02,7.29035931421,8.74964068579
31,8.26,7.53643900305,8.98356099695
32,8.52,7.7909243053,9.2490756947
33,8.7,7.95083102144,9.44916897856
34,8.86,8.12021869787,9.59978130213
35,9.12,8.38327754986,9.85672245014
36,9.3,8.53990961483,10.0600903852
37,9.56,8.7703204739,10.3496795261
38,9.8,9.00028159605,10.5997184039
39,10.1,9.31431739354,10.8856826065
40,10.3,9.52487812384,11.0751218762
41,10.54,9.73984887584,11.3401511242
42,10.84,10.0540866528,11.6259133472
43,10.98,10.1670149049,11.7929850951
44,11.32,10.4733460375,12.1666539625
45,11.54,10.7115104828,12.3684895172
46,11.82,10.9612643153,12.6787356847
47,12.14,11.2449479361,13.0350520639
48,12.36,11.4635678039,13.2564321961
49,12.54,11.6538316801,13.4261683199
50,12.82,11.9127294785,13.7272705215
51,13.02,12.1094651221,13.9305348779
52,13.36,12.467252898,14.252747102
53,13.62,12.7160056225,14.5239943775
54,13.84,12.9189000695,14.7610999305
55,14.02,13.11309291,14.92690709
56,14.14,13.2141699958,15.0658300042
57,14.38,13.4402453643,15.3197546357
58,14.66,13.7016269872,15.6183730128
59,14.92,13.9646760935,15.8753239065
60,15.14,14.1504864139,16.1295135861
61,15.48,14.530907888,16.429092112
62,15.74,14.8074291151,16.6725708849
63,15.9,14.9737428046,16.8262571954
64,16.06,15.1210876586,16.9989123414
65,16.34,15.4113257665,17.2686742335
66,16.54,15.6138139895,17.4661860105
67,16.8,15.8565516969,17.7434483031
68,17.02,16.0722113359,17.9677886641
69,17.3,16.342246358,18.257753642
70,17.5,16.5268803455,18.4731196545
71,17.82,16.8243751719,18.8156248281
72,18.0,17.0171889386,18.9828110614
73,18.2,17.2239206004,19.1760793996
74,18.46,17.4971655833,19.4228344167
75,18.86,17.9165342258,19.8034657742
76,19.14,18.1895715412,20.0904284588
77,19.36,18.4117418883,20.3082581117
78,19.7,18.7474234427,20.6525765573
79,20.0,19.047856137,20.952143863
80,20.22,19.2587418668,21.1812581332
81,20.42,19.4403975364,21.3996024636
82,20.6,19.6155132152,21.5844867848
83,20.9,19.9117532265,21.8882467735
84,21.28,20.262513373,22.297486627
85,21.48,20.4477170015,22.5122829985
86,21.74,20.6909748582,22.7890251418
87,21.94,20.9122458086,22.9677541914
88,22.2,21.1585601909,23.2414398091
89,22.5,21.4300651027,23.5699348973
90,22.7,21.6102215382,23.7897784618
91,22.96,21.8721744528,24.0478255472
92,23.14,22.0370513503,24.2429486497
93,23.4,22.3000593364,24.4999406636
94,23.74,22.6180852055,24.8619147945
95,24.06,22.9372040282,25.1827959718
96,24.3,23.1759715405,25.4240284595
97,24.48,23.3428646366,25.6171353634
98,24.74,23.5677903547,25.9122096453
99,25.0,23.8121595508,26.1878404492
100,25.28,24.0687445363,26.4912554637
101,25.56,24.3323619587,26.7876380413
102,25.74,24.4994727716,26.9805272284
103,25.92,24.6860942222,27.1539057778
104,26.14,24.8886246326,27.3913753674
105,26.4,25.147321274,27.652678726
106,26.64,25.3836948076,27.8963051924
107,26.9,25.6391241002,28.1608758998
108,27.16,25.8924614795,28.4275385205
109,27.4,26.0881883693,28.7118116307
110,27.68,26.3827951146,28.9772048854
111,27.94,26.6568871843,29.2231128157
112,28.24,26.9299990142,29.5500009858
113,28.4,27.0957493062,29.7042506938
114,28.72,27.3820122541,30.0579877459
115,28.94,27.6064917025,30.2735082975
116,29.24,27.9262296533,30.5537703467
117,29.42,28.1080752869,30.7319247131
118,29.72,28.4169631275,31.0230368725
119,29.88,28.5636225656,31.1963774344
120,30.16,28.8352347311,31.4847652689
121,30.54,29.2291813995,31.8508186005
122,30.78,29.4640608968,32.0959391032
