episode,omega2,omega3,omega4,omega
1,1,0,0,0
2,1,0,1,0
3,1,0,1,1
4,1,1,1,1
5,1,1,1,2
6,1,2,1,2
7,1,2,1,3
8,1,2,1,4
9,2,2,1,4
10,2,2,1,5
11,2,3,1,5
12,3,3,1,5
13,4,3,1,5
14,5,3,1,5
15,5,3,2,5
16,5,4,2,5
17,6,4,2,5
18,6,4,2,6
19,6,5,2,6
20,6,5,3,6
21,6,6,3,6
22,6,7,3,6
23,7,7,3,6
24,7,7,3,7
25,7,7,4,7
26,8,7,4,7
27,8,7,5,7
28,8,7,5,8
29,9,7,5,8
30,10,7,5,8
31,11,7,5,8
32,11,7,5,9
33,12,7,5,9
34,12,8,5,9
35,12,8,6,9
36,12,9,6,9
37,12,9,6,10
38,12,9,7,10
39,12,10,7,10
40,12,10,7,11
41,12,10,7,12
42,12,11,7,12
43,12,11,8,12
44,12,11,9,12
45,12,11,10,12
46,13,11,10,12
47,14,11,10,12
48,14,11,10,13
49,14,12,10,13
50,14,12,11,13
51,15,12,11,13
52,15,13,11,13
53,15,14,11,13
54,15,14,11,14
55,16,14,11,14
56,17,14,11,14
57,17,15,11,14
58,17,15,11,15
59,17,16,11,15
60,17,17,11,15
61,17,18,11,15
62,17,18,11,16
63,17,18,12,16
64,17,18,13,16
65,17,18,13,17
66,17,18,13,18
67,17,18,13,19
68,18,18,13,19
69,18,18,13,20
70,18,18,13,21
71,18,18,13,22
72,18,18,14,22
73,19,18,14,22
74,19,18,14,23
75,19,19,14,23
76,19,19,15,23
77,20,19,15,23
78,20,19,15,24
79,20,20,15,24
80,20,20,16,24
81,20,20,16,25
82,21,20,16,25
83,22,20,16,25
84,22,20,16,26
85,22,20,17,26
86,22,20,17,27
87,23,20,17,27
88,23,21,17,27
89,23,21,18,27
90,24,21,18,27
91,25,21,18,27
92,25,21,18,28
93,25,21,19,28
94,25,22,19,28
95,25,23,19,28
96,25,24,19,28
97,25,25,19,28
98,25,25,20,28
99,25,26,20,28
100,26,26,20,28
101,27,26,20,28
102,27,26,20,29
103,28,26,20,29
104,28,26,20,30
105,28,27,20,30
106,28,27,21,30
107,28,28,21,30
108,29,28,21,30
109,29,28,22,30
110,30,28,22,30
111,30,28,23,30
112,31,28,23,30
113,31,29,23,30
114,31,30,23,30
115,31,31,23,30
116,31,31,24,30
117,31,31,25,30
118,31,31,26,30
119,32,31,26,30
120,32,31,27,30
121,33,31,27,30
122,33,31,28,30
123,33,31,29,30
124,33,31,30,30
125,33,31,30,31
126,34,31,30,31
127,35,31,30,31
128,35,31,31,31
129,35,32,31,31
130,35,32,31,32
131,35,32,32,32
132,35,32,33,32
133,35,32,34,32
134,35,32,34,33
135,35,32,34,34
136,35,32,35,34
137,35,32,35,35
138,35,32,35,36
139,35,32,35,37
140,36,32,35,37
141,36,32,36,37
142,36,32,36,38
143,36,33,36,38
144,37,33,36,38
145,37,34,36,38
146,37,34,36,39
147,37,35,36,39
148,37,35,36,40
149,38,35,36,40
150,39,35,36,40
151,39,35,36,41
152,39,35,36,42
153,39,35,36,43
154,39,35,37,43
155,39,35,38,43
156,40,35,38,43
157,41,35,38,43
158,42,35,38,43
159,43,35,38,43
160,43,36,38,43
161,43,36,38,44
162,43,36,39,44
163,43,36,39,45
164,43,36,40,45
165,43,36,41,45
166,43,36,41,46
167,43,36,41,47
168,43,36,42,47
169,43,37,42,47
170,43,37,43,47
171,43,37,43,48
172,43,37,43,49
173,44,37,43,49
174,44,37,43,50
175,44,38,43,50
176,44,38,44,50
177,44,39,44,50
178,45,39,44,50
179,45,39,44,51
180,45,39,45,51
181,46,39,45,51
182,46,39,45,52
183,47,39,45,52
184,47,39,46,52
185,47,39,46,53
186,47,40,46,53
187,47,41,46,53
188,47,42,46,53
189,47,42,47,53
190,47,42,47,54
191,47,42,47,55
192,48,42,47,55
193,48,42,48,55
194,48,42,48,56
195,48,42,49,56
196,48,42,50,56
197,48,42,51,56
198,49,42,51,56
199,49,42,52,56
200,49,43,52,56
201,49,43,53,56
202,49,43,54,56
203,49,44,54,56
204,49,44,55,56
205,49,45,55,56
206,49,46,55,56
207,49,46,56,56
208,50,46,56,56
209,50,46,56,57
210,50,46,56,58
211,50,46,57,58
212,50,46,58,58
213,50,47,58,58
214,50,47,58,59
215,50,47,58,60
216,50,47,58,61
217,50,48,58,61
218,51,48,58,61
219,51,49,58,61
220,52,49,58,61
221,52,49,58,62
222,53,49,58,62
223,53,49,58,63
224,54,49,58,63
225,54,50,58,63
226,54,50,58,64
227,54,50,58,65
228,54,50,59,65
229,55,50,59,65
230,55,50,60,65
231,55,50,60,66
232,55,51,60,66
233,55,51,60,67
234,55,52,60,67
235,55,53,60,67
236,56,53,60,67
237,57,53,60,67
238,57,53,60,68
239,58,53,60,68
240,59,53,60,68
241,59,53,60,69
242,59,54,60,69
243,59,54,60,70
244,59,54,60,71
245,59,55,60,71
246,60,55,60,71
247,60,55,60,72
248,60,55,60,73
249,60,55,60,74
250,60,55,61,74
251,60,55,62,74
252,60,56,62,74
253,60,56,62,75
254,60,56,62,76
255,60,57,62,76
256,60,57,62,77
257,60,57,63,77
258,60,57,64,77
259,61,57,64,77
260,61,58,64,77
261,62,58,64,77
262,63,58,64,77
263,63,59,64,77
264,63,59,64,78
265,63,60,64,78
266,63,61,64,78
267,64,61,64,78
268,64,61,64,79
269,64,61,64,80
270,64,62,64,80
271,64,63,64,80
272,64,63,64,81
273,65,63,64,81
274,66,63,64,81
275,66,63,64,82
276,66,63,64,83
277,66,64,64,83
278,66,65,64,83
279,67,65,64,83
280,68,65,64,83
281,69,65,64,83
282,69,65,64,84
283,69,65,65,84
284,69,66,65,84
285,70,66,65,84
286,71,66,65,84
287,72,66,65,84
288,72,67,65,84
289,72,67,65,85
290,73,67,65,85
291,74,67,65,85
292,74,68,65,85
293,74,68,66,85
294,75,68,66,85
295,75,68,67,85
296,75,69,67,85
297,75,69,68,85
298,75,69,68,86
