"episode","mean","lower","upper"
0,1.0,1.0,1.0
40,1.0,1.0,1.0
80,1.0,1.0,1.0
120,1.0,1.0,1.0
160,1.0,1.0,1.0
200,1.0,1.0,1.0
240,1.0,1.0,1.0
280,1.0,1.0,1.0
320,1.0,1.0,1.0
360,1.0,1.0,1.0
400,1.0,1.0,1.0
440,1.0,1.0,1.0
480,1.0,1.0,1.0
520,1.0,1.0,1.0
560,1.0,1.0,1.0
600,1.0,1.0,1.0
640,1.0,1.0,1.0
680,1.0,1.0,1.0
720,1.0,1.0,1.0
760,1.0,1.0,1.0
800,1.0,1.0,1.0
840,1.0,1.0,1.0
880,1.0,1.0,1.0
920,1.0,1.0,1.0
960,1.0,1.0,1.0
1000,1.0,1.0,1.0
1040,1.0,1.0,1.0
1080,1.0,1.0,1.0
1120,1.0,1.0,1.0
1160,1.0,1.0,1.0
1200,1.0,1.0,1.0
1240,1.0,1.0,1.0
1280,1.0,1.0,1.0
1320,1.0,1.0,1.0
1360,1.0,1.0,1.0
1400,1.0,1.0,1.0
1440,1.0,1.0,1.0
1480,1.0,1.0,1.0
1520,1.0,1.0,1.0
1560,1.0,1.0,1.0
1600,1.0,1.0,1.0
1640,1.0,1.0,1.0
1680,1.0,1.0,1.0
1720,1.0,1.0,1.0
1760,1.0,1.0,1.0
1800,1.0,1.0,1.0
1840,1.0,1.0,1.0
1880,1.0,1.0,1.0
1920,1.0,1.0,1.0
1960,1.0,1.0,1.0
2000,1.0,1.0,1.0
