"episode","mean","lower","upper"
0,92.516,91.8670835229,93.1649164771
40,81.904,80.4880012793,83.3199987207
80,64.992,63.1507502593,66.8332497407
120,52.318,48.8585957359,55.7774042641
160,34.58,28.5790787541,40.5809212459
200,9.688,4.42718910986,14.9488108901
240,0.0,0.0,0.0
280,0.0,0.0,0.0
320,0.0,0.0,0.0
360,0.0,0.0,0.0
400,0.0,0.0,0.0
440,0.0,0.0,0.0
480,0.0,0.0,0.0
520,0.0,0.0,0.0
560,0.0,0.0,0.0
600,0.0,0.0,0.0
640,0.0,0.0,0.0
680,0.0,0.0,0.0
720,0.0,0.0,0.0
760,0.0,0.0,0.0
800,0.0,0.0,0.0
840,0.0,0.0,0.0
880,0.0,0.0,0.0
920,0.0,0.0,0.0
960,0.0,0.0,0.0
1000,0.0,0.0,0.0
1040,0.0,0.0,0.0
1080,0.0,0.0,0.0
1120,0.0,0.0,0.0
1160,0.0,0.0,0.0
1200,0.0,0.0,0.0
1240,0.0,0.0,0.0
1280,0.0,0.0,0.0
1320,0.0,0.0,0.0
1360,0.0,0.0,0.0
1400,0.0,0.0,0.0
1440,0.0,0.0,0.0
1480,0.0,0.0,0.0
1520,0.0,0.0,0.0
1560,0.0,0.0,0.0
1600,0.0,0.0,0.0
1640,0.0,0.0,0.0
1680,0.0,0.0,0.0
1720,0.0,0.0,0.0
1760,0.0,0.0,0.0
1800,0.0,0.0,0.0
1840,0.0,0.0,0.0
1880,0.0,0.0,0.0
1920,0.0,0.0,0.0
1960,0.0,0.0,0.0
2000,0.0,0.0,0.0
