episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,905,90.5,1.0,0.1,0.2,2231
1,911,91.1,1.0,0.1,0.1995,2289
2,933,93.3,1.0,0.1,0.199,2297
3,937,93.7,1.0,0.1,0.1985,2396
4,932,93.2,1.0,0.1,0.198,2438
5,905,90.5,1.0,0.1,0.1975,2512
6,953,95.3,1.0,0.1,0.197,2576
7,927,92.7,1.0,0.1,0.1965,2660
8,924,92.4,1.0,0.1,0.196,2711
9,849,84.9,2.0,0.2,0.1955,2746
10,904,90.4,1.0,0.1,0.195,2791
11,874,87.4,2.0,0.2,0.1945,2831
12,940,94.0,1.0,0.1,0.194,2860
13,846,84.6,3.0,0.3,0.1935,2924
14,837,83.7,3.0,0.3,0.193,2962
15,838,83.8,3.0,0.3,0.1925,3044
16,916,91.6,1.0,0.1,0.192,3107
17,835,83.5,4.0,0.4,0.1915,3159
18,896,89.6,3.0,0.3,0.191,3192
19,848,84.8,3.0,0.3,0.1905,3231
20,811,81.1,3.0,0.3,0.19,3271
21,913,91.3,1.0,0.1,0.1895,3314
22,842,84.2,3.0,0.3,0.189,3344
23,858,85.8,2.0,0.2,0.1885,3370
24,847,84.7,2.0,0.2,0.188,3412
25,850,85.0,3.0,0.3,0.1875,3483
26,762,76.2,4.0,0.4,0.187,3518
27,866,86.6,2.0,0.2,0.1865,3561
28,839,83.9,2.0,0.2,0.186,3612
29,669,66.9,5.0,0.5,0.1855,3679
30,907,90.7,2.0,0.2,0.185,3730
31,796,79.6,4.0,0.4,0.1845,3776
32,799,79.9,4.0,0.4,0.184,3802
33,856,85.6,3.0,0.3,0.1835,3835
34,750,75.0,5.0,0.5,0.183,3876
35,773,77.3,5.0,0.5,0.1825,3926
36,763,76.3,4.0,0.4,0.182,3977
37,860,86.0,5.0,0.5,0.1815,4026
38,815,81.5,3.0,0.3,0.181,4057
39,782,78.2,3.0,0.3,0.1805,4068
40,739,73.9,4.0,0.4,0.1805,7624
41,798,79.8,4.0,0.4,0.18,7671
42,686,68.6,5.0,0.5,0.1795,7678
43,718,71.8,5.0,0.5,0.179,7703
44,790,79.0,3.0,0.3,0.1785,7748
45,739,73.9,4.0,0.4,0.178,7792
46,788,78.8,5.0,0.5,0.1775,7839
47,732,73.2,5.0,0.5,0.177,7856
48,811,81.1,4.0,0.4,0.1765,7884
49,777,77.7,5.0,0.5,0.176,7910
50,640,64.0,5.0,0.5,0.1755,7956
51,718,71.8,6.0,0.6,0.175,7987
52,767,76.7,4.0,0.4,0.1745,8014
53,684,68.4,5.0,0.5,0.174,8052
54,700,70.0,5.0,0.5,0.1735,8083
55,732,73.2,5.0,0.5,0.173,8084
56,675,67.5,5.0,0.5,0.1725,8118
57,835,83.5,3.0,0.3,0.172,8144
58,782,78.2,4.0,0.4,0.1715,8195
59,768,76.8,4.0,0.4,0.171,8236
60,664,66.4,6.0,0.6,0.1705,8295
61,684,68.4,5.0,0.5,0.17,8335
62,632,63.2,5.0,0.5,0.1695,8353
63,543,54.3,8.0,0.8,0.169,8381
64,563,56.3,8.0,0.8,0.1685,8425
65,578,57.8,7.0,0.7,0.168,8463
66,591,59.1,6.0,0.6,0.1675,8541
67,561,56.1,7.0,0.7,0.167,8565
68,681,68.1,5.0,0.5,0.1665,8602
69,643,64.3,5.0,0.5,0.166,8607
70,609,60.9,7.0,0.7,0.1655,8646
71,495,49.5,8.0,0.8,0.165,8656
72,671,67.1,4.0,0.4,0.1645,8659
73,661,66.1,6.0,0.6,0.164,8690
74,619,61.9,6.0,0.6,0.1635,8729
75,680,68.0,5.0,0.5,0.163,8764
76,629,62.9,7.0,0.7,0.1625,8819
77,701,70.1,6.0,0.6,0.162,8834
78,627,62.7,6.0,0.6,0.1615,8886
79,419,41.9,8.0,0.8,0.161,8925
80,660,66.0,6.0,0.6,0.161,10237
81,643,64.3,6.0,0.6,0.1605,10243
82,612,61.2,6.0,0.6,0.16,10276
83,489,48.9,8.0,0.8,0.1595,10321
84,458,45.8,9.0,0.9,0.159,10355
85,669,66.9,6.0,0.6,0.1585,10407
86,577,57.7,6.0,0.6,0.158,10429
87,541,54.1,8.0,0.8,0.1575,10450
88,586,58.6,7.0,0.7,0.157,10518
89,573,57.3,7.0,0.7,0.1565,10559
90,522,52.2,8.0,0.8,0.156,10609
91,577,57.7,7.0,0.7,0.1555,10635
92,687,68.7,6.0,0.6,0.155,10667
93,510,51.0,9.0,0.9,0.1545,10736
94,610,61.0,6.0,0.6,0.154,10754
95,548,54.8,6.0,0.6,0.1535,10793
96,489,48.9,7.0,0.7,0.153,10828
97,657,65.7,6.0,0.6,0.1525,10848
98,643,64.3,6.0,0.6,0.152,10858
99,561,56.1,8.0,0.8,0.1515,10875
100,601,60.1,6.0,0.6,0.151,10911
101,490,49.0,9.0,0.9,0.1505,10928
102,521,52.1,7.0,0.7,0.15,10952
103,477,47.7,9.0,0.9,0.1495,10983
104,604,60.4,7.0,0.7,0.149,11017
105,533,53.3,6.0,0.6,0.1485,11048
106,505,50.5,8.0,0.8,0.148,11089
107,639,63.9,6.0,0.6,0.1475,11122
108,504,50.4,8.0,0.8,0.147,11156
109,625,62.5,6.0,0.6,0.1465,11181
110,495,49.5,8.0,0.8,0.146,11219
111,633,63.3,6.0,0.6,0.1455,11234
