episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,1000,100.0,0,0.0,1.0,0
1,1000,100.0,0,0.0,0.9995,100
2,956,95.6,1.0,0.1,0.999,200
3,1000,100.0,0,0.0,0.9985,300
4,1000,100.0,0,0.0,0.998,400
5,927,92.7,1.0,0.1,0.9975,500
6,986,98.6,1.0,0.1,0.997,600
7,993,99.3,1.0,0.1,0.9965,700
8,1000,100.0,0,0.0,0.996,800
9,917,91.7,1.0,0.1,0.9955,900
10,1000,100.0,0,0.0,0.995,1000
11,952,95.2,1.0,0.1,0.9945,1100
12,913,91.3,1.0,0.1,0.994,1200
13,910,91.0,1.0,0.1,0.9935,1300
14,962,96.2,1.0,0.1,0.993,1400
15,923,92.3,1.0,0.1,0.9925,1500
16,1000,100.0,0,0.0,0.992,1600
17,915,91.5,1.0,0.1,0.9915,1700
18,1000,100.0,0,0.0,0.991,1800
19,974,97.4,1.0,0.1,0.9905,1900
20,944,94.4,1.0,0.1,0.99,2000
21,1000,100.0,0,0.0,0.9895,2100
22,948,94.8,1.0,0.1,0.989,2200
23,1000,100.0,0,0.0,0.9885,2300
24,1000,100.0,0,0.0,0.988,2400
25,941,94.1,1.0,0.1,0.9875,2500
26,1000,100.0,0,0.0,0.987,2600
27,914,91.4,1.0,0.1,0.9865,2700
28,1000,100.0,0,0.0,0.986,2800
29,926,92.6,1.0,0.1,0.9855,2900
30,1000,100.0,0,0.0,0.985,3000
31,916,91.6,1.0,0.1,0.9845,3100
32,926,92.6,1.0,0.1,0.984,3200
33,943,94.3,1.0,0.1,0.9835,3300
34,945,94.5,1.0,0.1,0.983,3400
35,1000,100.0,0,0.0,0.9825,3500
36,969,96.9,1.0,0.1,0.982,3600
37,1000,100.0,0,0.0,0.9815,3700
38,925,92.5,1.0,0.1,0.981,3800
39,933,93.3,1.0,0.1,0.9805,3900
40,1000,100.0,0,0.0,0.98,4000
41,999,99.9,1.0,0.1,0.9795,4100
42,937,93.7,1.0,0.1,0.979,4200
43,934,93.4,1.0,0.1,0.9785,4300
44,919,91.9,1.0,0.1,0.978,4400
45,914,91.4,1.0,0.1,0.9775,4500
46,935,93.5,1.0,0.1,0.977,4600
47,964,96.4,1.0,0.1,0.9765,4700
48,1000,100.0,0,0.0,0.976,4800
49,911,91.1,1.0,0.1,0.9755,4900
50,963,96.3,1.0,0.1,0.975,5000
51,945,94.5,1.0,0.1,0.9745,5100
52,925,92.5,1.0,0.1,0.974,5200
53,930,93.0,1.0,0.1,0.9735,5300
54,960,96.0,1.0,0.1,0.973,5400
55,960,96.0,1.0,0.1,0.9725,5500
56,1000,100.0,0,0.0,0.972,5600
57,929,92.9,1.0,0.1,0.9715,5700
58,1000,100.0,0,0.0,0.971,5800
59,938,93.8,1.0,0.1,0.9705,5900
60,942,94.2,1.0,0.1,0.97,6000
61,954,95.4,1.0,0.1,0.9695,6100
62,979,97.9,1.0,0.1,0.969,6118
63,1000,100.0,0,0.0,0.9685,6218
64,951,95.1,1.0,0.1,0.968,6318
65,919,91.9,1.0,0.1,0.9675,6418
66,950,95.0,1.0,0.1,0.967,6518
67,960,96.0,1.0,0.1,0.9665,6618
68,906,90.6,1.0,0.1,0.966,6718
69,910,91.0,1.0,0.1,0.9655,6818
70,930,93.0,1.0,0.1,0.965,6918
71,976,97.6,1.0,0.1,0.9645,7018
72,929,92.9,1.0,0.1,0.964,7118
73,912,91.2,1.0,0.1,0.9635,7218
74,945,94.5,1.0,0.1,0.963,7318
75,958,95.8,1.0,0.1,0.9625,7418
76,928,92.8,1.0,0.1,0.962,7518
77,964,96.4,1.0,0.1,0.9615,7618
78,932,93.2,1.0,0.1,0.961,7718
79,909,90.9,1.0,0.1,0.9605,7743
80,921,92.1,1.0,0.1,0.96,7843
81,962,96.2,1.0,0.1,0.9595,7943
82,935,93.5,1.0,0.1,0.959,8043
83,947,94.7,1.0,0.1,0.9585,8143
84,919,91.9,1.0,0.1,0.958,8243
85,970,97.0,1.0,0.1,0.9575,8343
86,952,95.2,1.0,0.1,0.957,8443
87,910,91.0,1.0,0.1,0.9565,8543
88,909,90.9,1.0,0.1,0.956,8643
89,921,92.1,1.0,0.1,0.9555,8743
90,964,96.4,1.0,0.1,0.955,8843
91,929,92.9,1.0,0.1,0.9545,8943
92,911,91.1,1.0,0.1,0.954,9043
93,949,94.9,1.0,0.1,0.9535,9143
94,1000,100.0,0,0.0,0.953,9243
95,967,96.7,1.0,0.1,0.9525,9343
96,944,94.4,1.0,0.1,0.952,9443
97,915,91.5,1.0,0.1,0.9515,9543
98,915,91.5,1.0,0.1,0.951,9643
99,941,94.1,1.0,0.1,0.9505,9743
100,1000,100.0,0,0.0,0.95,9843
101,953,95.3,1.0,0.1,0.9495,9943
102,906,90.6,1.0,0.1,0.949,10043
103,906,90.6,1.0,0.1,0.9485,10078
104,916,91.6,1.0,0.1,0.948,10178
105,909,90.9,1.0,0.1,0.9475,10187
106,908,90.8,1.0,0.1,0.947,10287
107,907,90.7,1.0,0.1,0.9465,10387
108,917,91.7,1.0,0.1,0.946,10487
109,908,90.8,1.0,0.1,0.9455,10491
110,914,91.4,1.0,0.1,0.945,10591
111,912,91.2,1.0,0.1,0.9445,10691
112,916,91.6,1.0,0.1,0.944,10791
113,907,90.7,1.0,0.1,0.9435,10891
114,906,90.6,1.0,0.1,0.943,10991
115,920,92.0,1.0,0.1,0.9425,11091
116,910,91.0,1.0,0.1,0.942,11191
117,907,90.7,1.0,0.1,0.9415,11210
118,912,91.2,1.0,0.1,0.941,11310
119,913,91.3,1.0,0.1,0.9405,11312
120,906,90.6,1.0,0.1,0.94,11412
121,910,91.0,1.0,0.1,0.9395,11512
122,908,90.8,1.0,0.1,0.939,11612
123,907,90.7,1.0,0.1,0.9385,11712
124,944,94.4,1.0,0.1,0.938,11812
125,906,90.6,1.0,0.1,0.9375,11912
126,924,92.4,1.0,0.1,0.937,12012
127,909,90.9,1.0,0.1,0.9365,12112
128,923,92.3,1.0,0.1,0.936,12212
129,911,91.1,1.0,0.1,0.9355,12312
130,932,93.2,1.0,0.1,0.935,12412
131,906,90.6,1.0,0.1,0.9345,12512
132,926,92.6,1.0,0.1,0.934,12612
133,911,91.1,1.0,0.1,0.9335,12712
134,913,91.3,1.0,0.1,0.933,12812
135,907,90.7,1.0,0.1,0.9325,12912
136,909,90.9,1.0,0.1,0.932,13012
137,927,92.7,1.0,0.1,0.9315,13112
138,916,91.6,1.0,0.1,0.931,13212
139,907,90.7,1.0,0.1,0.9305,13312
140,927,92.7,1.0,0.1,0.93,13412
141,912,91.2,1.0,0.1,0.9295,13512
142,909,90.9,1.0,0.1,0.929,13612
143,915,91.5,1.0,0.1,0.9285,13712
144,908,90.8,1.0,0.1,0.928,13812
145,913,91.3,1.0,0.1,0.9275,13912
146,906,90.6,1.0,0.1,0.927,14012
147,912,91.2,1.0,0.1,0.9265,14112
148,910,91.0,1.0,0.1,0.926,14212
149,906,90.6,1.0,0.1,0.9255,14312
150,932,93.2,1.0,0.1,0.925,14412
151,921,92.1,1.0,0.1,0.9245,14512
152,916,91.6,1.0,0.1,0.924,14612
153,906,90.6,1.0,0.1,0.9235,14712
154,908,90.8,1.0,0.1,0.923,14812
155,910,91.0,1.0,0.1,0.9225,14912
156,929,92.9,1.0,0.1,0.922,15012
157,912,91.2,1.0,0.1,0.9215,15112
158,908,90.8,1.0,0.1,0.921,15212
159,907,90.7,1.0,0.1,0.9205,15312
160,907,90.7,1.0,0.1,0.92,15412
161,930,93.0,1.0,0.1,0.9195,15512
162,912,91.2,1.0,0.1,0.919,15612
163,906,90.6,1.0,0.1,0.9185,15648
164,907,90.7,1.0,0.1,0.918,15748
165,909,90.9,1.0,0.1,0.9175,15848
166,908,90.8,1.0,0.1,0.917,15948
167,907,90.7,1.0,0.1,0.9165,15957
168,907,90.7,1.0,0.1,0.916,16039
169,910,91.0,1.0,0.1,0.9155,16139
170,906,90.6,1.0,0.1,0.915,16239
171,906,90.6,1.0,0.1,0.9145,16339
172,908,90.8,1.0,0.1,0.914,16439
173,908,90.8,1.0,0.1,0.9135,16539
174,881,88.1,2.0,0.2,0.913,16639
175,912,91.2,1.0,0.1,0.9125,16739
176,906,90.6,1.0,0.1,0.912,16839
177,911,91.1,1.0,0.1,0.9115,16939
178,902,90.2,2.0,0.2,0.911,17039
179,907,90.7,1.0,0.1,0.9105,17139
180,906,90.6,1.0,0.1,0.91,17239
181,906,90.6,1.0,0.1,0.9095,17339
182,907,90.7,1.0,0.1,0.909,17439
183,907,90.7,1.0,0.1,0.9085,17539
184,908,90.8,1.0,0.1,0.908,17639
185,907,90.7,1.0,0.1,0.9075,17739
186,912,91.2,1.0,0.1,0.907,17839
187,906,90.6,1.0,0.1,0.9065,17939
188,909,90.9,1.0,0.1,0.906,18039
189,906,90.6,1.0,0.1,0.9055,18139
190,906,90.6,1.0,0.1,0.905,18239
191,902,90.2,2.0,0.2,0.9045,18339
192,906,90.6,1.0,0.1,0.904,18439
193,906,90.6,1.0,0.1,0.9035,18539
194,906,90.6,1.0,0.1,0.903,18639
195,907,90.7,1.0,0.1,0.9025,18739
196,906,90.6,1.0,0.1,0.902,18839
197,908,90.8,1.0,0.1,0.9015,18939
198,909,90.9,1.0,0.1,0.901,19039
199,865,86.5,2.0,0.2,0.9005,19139
200,906,90.6,1.0,0.1,0.9,19239
201,907,90.7,1.0,0.1,0.8995,19339
202,906,90.6,1.0,0.1,0.899,19439
203,908,90.8,1.0,0.1,0.8985,19539
204,908,90.8,1.0,0.1,0.898,19639
205,906,90.6,1.0,0.1,0.8975,19739
206,908,90.8,1.0,0.1,0.897,19839
207,906,90.6,1.0,0.1,0.8965,19900
208,906,90.6,1.0,0.1,0.896,20000
209,906,90.6,1.0,0.1,0.8955,20100
210,906,90.6,1.0,0.1,0.895,20200
211,906,90.6,1.0,0.1,0.8945,20300
212,906,90.6,1.0,0.1,0.894,20400
213,906,90.6,1.0,0.1,0.8935,20500
214,906,90.6,1.0,0.1,0.893,20600
215,906,90.6,1.0,0.1,0.8925,20700
216,906,90.6,1.0,0.1,0.892,20800
217,906,90.6,1.0,0.1,0.8915,20900
218,906,90.6,1.0,0.1,0.891,21000
219,906,90.6,1.0,0.1,0.8905,21100
220,906,90.6,1.0,0.1,0.89,21200
221,906,90.6,1.0,0.1,0.8895,21300
222,906,90.6,1.0,0.1,0.889,21400
223,906,90.6,1.0,0.1,0.8885,21500
224,906,90.6,1.0,0.1,0.888,21600
225,906,90.6,1.0,0.1,0.8875,21700
226,858,85.8,2.0,0.2,0.887,21800
227,906,90.6,1.0,0.1,0.8865,21900
228,906,90.6,1.0,0.1,0.886,22000
229,906,90.6,1.0,0.1,0.8855,22100
230,906,90.6,1.0,0.1,0.885,22200
