"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
0,96.438,95.4843012573,97.3916987427,0.064,0.0502200555349,0.0777799444651,0.0,0.0,0.0
1,95.042,94.1436742263,95.9403257737,0.086,0.0745023677971,0.0974976322029,100.0,100.0,100.0
2,95.19,94.2849077039,96.0950922961,0.082,0.0709706629507,0.0930293370493,199.04,197.110807775,200.969192225
3,95.262,94.3735673496,96.1504326504,0.082,0.0709706629507,0.0930293370493,293.86,288.599260046,299.120739954
4,95.768,94.7961101837,96.7398898163,0.07,0.0568442419618,0.0831557580382,390.6,383.811007272,397.388992728
5,94.99,94.1523052284,95.8276947716,0.088,0.078670933496,0.097329066504,480.24,469.782551855,490.697448145
6,95.496,94.516263607,96.475736393,0.074,0.0614075926611,0.0865924073389,578.62,568.030303135,589.209696865
7,95.548,94.5698247863,96.5261752137,0.084,0.0720110963424,0.0959889036576,674.88,663.889342421,685.870657579
8,95.316,94.3171956005,96.3148043995,0.076,0.0637392045532,0.0882607954468,769.44,757.242532708,781.637467292
9,94.722,93.7917777281,95.6522222719,0.086,0.0745023677971,0.0974976322029,863.6,851.047580104,876.152419896
10,94.422,93.5008054089,95.3431945911,0.084,0.0734753935694,0.0945246064306,962.1,948.977203974,975.222796026
11,94.114,93.3261592583,94.9018407417,0.092,0.0842116557907,0.0997883442093,1059.88,1046.07368834,1073.68631166
12,94.718,93.8197916665,95.6162083335,0.086,0.0760386207842,0.0959613792158,1158.44,1144.43601962,1172.44398038
13,94.202,93.3363534061,95.0676465939,0.088,0.078670933496,0.097329066504,1252.8,1238.56165015,1267.03834985
14,94.59,93.6567179655,95.5232820345,0.082,0.0709706629507,0.0930293370493,1346.4,1330.503526,1362.296474
15,93.736,92.966582062,94.505417938,0.094,0.0850865722841,0.102913427716,1440.78,1423.9955064,1457.5644936
16,94.54,93.5986505834,95.4813494166,0.084,0.0734753935694,0.0945246064306,1538.88,1521.51471832,1556.24528168
17,93.55,92.7695323741,94.3304676259,0.09,0.0813875347093,0.0986124652907,1635.46,1618.42354514,1652.49645486
18,93.95,93.0159764737,94.8840235263,0.09,0.0796491049288,0.100350895071,1733.52,1716.19514461,1750.84485539
19,94.166,93.2741283124,95.0578716876,0.094,0.0850865722841,0.102913427716,1829.18,1810.9983181,1847.3616819
20,94.278,93.3796338597,95.1763661403,0.088,0.078670933496,0.097329066504,1927.66,1909.54444498,1945.77555502
21,93.842,92.9460443532,94.7379556468,0.088,0.078670933496,0.097329066504,2026.24,2007.96077107,2044.51922893
22,94.138,93.2110687773,95.0649312227,0.086,0.0760386207842,0.0959613792158,2124.38,2105.81114046,2142.94885954
23,94.12,93.2741056568,94.9658943432,0.09,0.0813875347093,0.0986124652907,2223.66,2205.25800025,2242.06199975
24,94.112,93.236316724,94.987683276,0.088,0.0770456423179,0.0989543576821,2318.92,2299.82708494,2338.01291506
25,93.598,92.7238078565,94.4721921435,0.088,0.078670933496,0.097329066504,2418.92,2399.82708494,2438.01291506
26,93.996,93.0763872846,94.9156127154,0.09,0.0781632986365,0.101836701363,2515.7,2495.39086859,2536.00913141
27,93.966,92.9463511946,94.9856488054,0.082,0.0695656626176,0.0944343373824,2609.56,2587.4059475,2631.7140525
28,93.208,92.3591520344,94.0568479656,0.092,0.0823240103393,0.101675989661,2706.52,2684.79212787,2728.24787213
29,94.236,93.3108688783,95.1611311217,0.084,0.0734753935694,0.0945246064306,2805.12,2783.45157894,2826.78842106
