"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
0,96.298,95.3029632374,97.2930367626,0.062,0.0480654203289,0.0759345796711,2732.36,2707.98804134,2756.73195866
1,94.764,93.8591351962,95.6688648038,0.09,0.0781632986365,0.101836701363,2816.12,2791.23458561,2841.00541439
2,94.63,93.8524099569,95.4075900431,0.09,0.0813875347093,0.0986124652907,2899.28,2873.74065326,2924.81934674
3,93.338,92.6002738764,94.0757261236,0.096,0.0903743612294,0.101625638771,2958.44,2931.48592433,2985.39407567
4,92.65,92.1673517622,93.1326482378,0.102,0.097980849531,0.106019150469,3025.7,2997.70895781,3053.69104219
5,92.54,91.9499500921,93.1300499079,0.104,0.095961699062,0.112038300938,3083.56,3055.16554613,3111.95445387
6,92.304,91.4839300778,93.1240699222,0.104,0.0941217029625,0.113878297038,3140.9,3111.10461789,3170.69538211
7,91.572,90.8701785464,92.2738214536,0.11,0.0996491049288,0.120350895071,3201.3,3170.64229828,3231.95770172
8,91.436,90.7606606735,92.1113393265,0.114,0.101148462479,0.126851537521,3259.5,3228.13878512,3290.86121488
9,91.252,90.7728482372,91.7311517628,0.112,0.102670933496,0.121329066504,3307.92,3275.70207105,3340.13792895
10,90.816,90.2650606559,91.3669393441,0.12,0.108516712946,0.131483287054,3364.66,3333.88518651,3395.43481349
11,90.956,90.3529043671,91.5590956329,0.126,0.113407592661,0.138592407339,3416.8,3384.66223062,3448.93776938
12,89.4,88.3998821679,90.4001178321,0.156,0.135978204876,0.176021795124,3466.82,3435.14898345,3498.49101655
13,89.08,88.0772815049,90.0827184951,0.162,0.140601302055,0.183398697945,3524.72,3492.4901935,3556.9498065
14,89.498,88.6096304326,90.3863695674,0.15,0.132537472945,0.167462527055,3576.08,3541.52428012,3610.63571988
15,89.528,88.6110424514,90.4449575486,0.166,0.144053698889,0.187946301111,3631.44,3594.84342174,3668.03657826
16,88.648,87.617887064,89.678112936,0.174,0.147807782666,0.200192217334,3678.62,3638.95098155,3718.28901845
17,87.02,85.9188312055,88.1211687945,0.214,0.189633503909,0.238366496091,3733.4,3694.35652849,3772.44347151
18,87.292,86.1931862289,88.3908137711,0.186,0.16450906586,0.20749093414,3786.94,3748.23917553,3825.64082447
19,87.562,86.4343714693,88.6896285307,0.196,0.170999114443,0.221000885557,3836.14,3797.15314076,3875.12685924
20,86.186,84.9985341404,87.3734658596,0.22,0.194322589542,0.245677410458,3881.94,3840.78994046,3923.09005954
21,86.88,85.6468692635,88.1131307365,0.212,0.184083564696,0.239916435304,3928.98,3888.2820136,3969.6779864
22,85.49,84.0555281841,86.9244718159,0.226,0.199807782666,0.252192217334,3980.7,3939.7412604,4021.6587396
