"episode","mean","lower","upper"
1,0.3,0.168442419618,0.431557580382
2,0.52,0.336267407132,0.703732592868
3,0.72,0.512663854112,0.927336145888
4,1.0,0.770334258916,1.22966574108
5,1.2,0.949727560955,1.45027243905
6,1.5,1.22916721649,1.77083278351
7,1.64,1.36012800488,1.91987199512
8,1.92,1.63965723584,2.20034276416
9,2.06,1.77057332316,2.34942667684
10,2.24,1.94409639177,2.53590360823
11,2.42,2.07507103391,2.76492896609
12,2.7,2.3180620057,3.0819379943
13,3.04,2.66807620436,3.41192379564
14,3.24,2.86105152721,3.61894847279
15,3.5,3.10117269446,3.89882730554
16,3.74,3.30723849721,4.17276150279
17,3.98,3.51891349232,4.44108650768
18,4.34,3.86441304332,4.81558695668
19,4.58,4.0597868173,5.1002131827
20,4.86,4.34963926231,5.37036073769
21,5.12,4.56736867469,5.67263132531
22,5.34,4.75556386171,5.92443613829
23,5.62,5.0291684208,6.2108315792
24,5.86,5.25778397498,6.46221602502
25,6.08,5.48652399402,6.67347600598
26,6.4,5.78427732743,7.01572267257
27,6.64,5.99356131095,7.28643868905
28,6.88,6.23132132139,7.52867867861
29,7.04,6.36073663457,7.71926336543
30,7.34,6.65916114962,8.02083885038
31,7.62,6.93126598568,8.30873401432
32,7.96,7.25221579271,8.66778420729
33,8.2,7.4760062989,8.9239937011
34,8.46,7.74009314419,9.17990685581
35,8.76,7.99923764932,9.52076235068
36,9.0,8.25579794236,9.74420205764
37,9.28,8.53129320655,10.0287067934
38,9.56,8.81323309316,10.3067669068
39,9.8,9.05358634148,10.5464136585
40,10.02,9.2881037113,10.7518962887
41,10.3,9.58229455911,11.0177054409
42,10.56,9.84020763502,11.279792365
43,10.76,10.0302011951,11.4897988049
44,11.0,10.2647108634,11.7352891366
45,11.28,10.5379272802,12.0220727198
46,11.48,10.7308530238,12.2291469762
47,11.78,11.0090573986,12.5509426014
48,12.06,11.295239808,12.824760192
49,12.22,11.4663559737,12.9736440263
50,12.42,11.6409751265,13.1990248735
51,12.68,11.8732224647,13.4867775353
52,13.0,12.2044145354,13.7955854646
53,13.3,12.4895328985,14.1104671015
54,13.48,12.6554392167,14.3045607833
55,13.74,12.9043787883,14.5756212117
56,13.94,13.0646864914,14.8153135086
57,14.26,13.3895963832,15.1304036168
58,14.54,13.6501193421,15.4298806579
59,14.78,13.893682888,15.666317112
60,15.02,14.1559064935,15.8840935065
61,15.18,14.2966634912,16.0633365088
62,15.36,14.4840276461,16.2359723539
63,15.7,14.8459606816,16.5540393184
64,15.88,15.0252083004,16.7347916996
65,16.18,15.3155250626,17.0444749374
66,16.42,15.5509609501,17.2890390499
67,16.6,15.7254589129,17.4745410871
68,16.86,15.9873268467,17.7326731533
69,17.2,16.3198227143,18.0801772857
70,17.4,16.5198227143,18.2801772857
71,17.68,16.8160018776,18.5439981224
72,17.94,17.0553209771,18.8246790229
73,18.16,17.2643036098,19.0556963902
74,18.38,17.4760056225,19.2839943775
75,18.7,17.7808885792,19.6191114208
76,18.92,18.0179222012,19.8220777988
77,19.22,18.3171003121,20.1228996879
78,19.48,18.5326462171,20.4273537829
79,19.66,18.6913624445,20.6286375555
80,19.88,18.9147206005,20.8452793995
81,20.04,19.0690678771,21.0109321229
82,20.28,19.2937734832,21.2662265168
83,20.54,19.5418618824,21.5381381176
84,20.78,19.8102059838,21.7497940162
85,20.98,19.9847063404,21.9752936596
86,21.34,20.3461647926,22.3338352074
87,21.54,20.5352780037,22.5447219963
88,21.78,20.7767884697,22.7832115303
89,21.98,20.991353005,22.968646995
90,22.22,21.2184328642,23.2215671358
91,22.36,21.3413476442,23.3786523558
92,22.66,21.6128621047,23.7071378953
93,22.82,21.754016291,23.885983709
94,23.12,22.0556411373,24.1843588627
95,23.42,22.3736809687,24.4663190313
96,23.56,22.5057241747,24.6142758253
97,23.84,22.7791779446,24.9008220554
98,24.04,22.9628333964,25.1171666036
99,24.24,23.1649778672,25.3150221328
100,24.42,23.3380543465,25.5019456535
101,24.62,23.52022419,25.71977581
102,24.9,23.7614015422,26.0385984578
103,25.22,24.1121603337,26.3278396663
104,25.46,24.3627450318,26.5572549682
105,25.72,24.6125323641,26.8274676359
106,25.88,24.7568664269,27.0031335731
107,26.08,24.9863110992,27.1736889008
108,26.34,25.2376493003,27.4423506997
109,26.62,25.5368362475,27.7031637525
110,26.8,25.6985617991,27.9014382009
111,27.0,25.9304503178,28.0695496822
112,27.26,26.1588461745,28.3611538255
113,27.54,26.4457536058,28.6342463942
114,27.84,26.751568523,28.928431477
115,28.12,27.0433231846,29.1966768154
116,28.34,27.2741400016,29.4058599984
117,28.68,27.6378640201,29.7221359799
118,29.1,28.0223897181,30.1776102819
119,29.26,28.1938307519,30.3261692481
120,29.54,28.4639816885,30.6160183115
121,29.74,28.6433460863,30.8366539137
122,29.98,28.8823244895,31.0776755105
123,30.22,29.1136492061,31.3263507939
124,30.48,29.3618674394,31.5981325606
125,30.7,29.5585098589,31.8414901411
126,31.0,29.8851744828,32.1148255172
127,31.28,30.1475126649,32.4124873351
128,31.46,30.3301793505,32.5898206495
129,31.74,30.6034881099,32.8765118901
130,31.92,30.7791020567,33.0608979433
131,32.14,30.9802306443,33.2997693557
132,32.38,31.217561763,33.542438237
133,32.6,31.4289299046,33.7710700954
134,32.86,31.6945595053,34.0254404947
135,33.2,32.0331601536,34.3668398464
136,33.48,32.2959956981,34.6640043019
137,33.74,32.5706060722,34.9093939278
138,33.96,32.7960455046,35.1239544954
139,34.14,32.957709295,35.322290705
140,34.28,33.0810546405,35.4789453595
141,34.5,33.2749291593,35.7250708407
142,34.84,33.6080728792,36.0719271208
143,35.1,33.8642120971,36.3357879029
144,35.38,34.1367120888,36.6232879112
145,35.62,34.3833587444,36.8566412556
146,35.88,34.6436920152,37.1163079848
147,36.16,34.9107999189,37.4092000811
148,36.44,35.1597808617,37.7202191383
149,36.66,35.4038916291,37.9161083709
150,36.8,35.5446923545,38.0553076455
151,37.06,35.8080978597,38.3119021403
152,37.32,36.0987158453,38.5412841547
153,37.62,36.3833587444,38.8566412556
154,37.76,36.5399041279,38.9800958721
155,37.96,36.7611646305,39.1588353695
156,38.26,37.0710360742,39.4489639258
157,38.54,37.3490967618,39.7309032382
158,38.7,37.5257672189,39.8742327811
159,38.92,37.7351606965,40.1048393035
160,39.26,38.0490575697,40.4709424303
161,39.48,38.2549426143,40.7050573857
162,39.74,38.5222706357,40.9577293643
163,39.9,38.6843840922,41.1156159078
164,40.12,38.891717642,41.348282358
165,40.32,39.1000662561,41.5399337439
166,40.6,39.3592203389,41.8407796611
167,40.82,39.5783040413,42.0616959587
168,41.1,39.8300060772,42.3699939228
169,41.34,40.0451225345,42.6348774655
170,41.6,40.30717362,42.89282638
171,41.82,40.5224774852,43.1175225148
172,42.16,40.8705439516,43.4494560484
173,42.36,41.0997648324,43.6202351676
174,42.76,41.4601040786,44.0598959214
175,43.02,41.7201928446,44.3198071554
