episode,omega1,omega2,omega3,omega4,omega5,omega
1,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667
2,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667
3,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667
4,0.166261144349,0.166261144349,0.166261144349,0.166261144349,0.168694278257,0.166261144349
5,0.166125099217,0.166125099217,0.166125099217,0.166125099217,0.169374503916,0.166125099217
6,0.16598861773,0.16598861773,0.16598861773,0.16598861773,0.17005691135,0.16598861773
7,0.165851699394,0.165851699394,0.165851699394,0.165851699394,0.170741503031,0.165851699394
8,0.165714343721,0.165714343721,0.165714343721,0.165714343721,0.171428281396,0.165714343721
9,0.16557655023,0.16557655023,0.16557655023,0.16557655023,0.172117248848,0.16557655023
10,0.16543831845,0.16543831845,0.16543831845,0.16543831845,0.172808407752,0.16543831845
11,0.165299647913,0.165299647913,0.165299647913,0.165299647913,0.173501760437,0.165299647913
12,0.165160538161,0.165160538161,0.165160538161,0.165160538161,0.174197309196,0.165160538161
13,0.165020988744,0.165020988744,0.165020988744,0.165020988744,0.174895056282,0.165020988744
14,0.164880999217,0.164880999217,0.164880999217,0.164880999217,0.175595003914,0.164880999217
15,0.164740569146,0.164740569146,0.164740569146,0.164740569146,0.176297154272,0.164740569146
16,0.165111360988,0.165111360988,0.165111360988,0.165111360988,0.174443195062,0.165111360988
17,0.165005665951,0.165005665951,0.165005665951,0.165005665951,0.174971670245,0.165005665951
18,0.164899718782,0.164899718782,0.164899718782,0.164899718782,0.17550140609,0.164899718782
19,0.160968091429,0.160968091429,0.160968091429,0.160968091429,0.171946082284,0.184181551999
20,0.160644391446,0.160644391446,0.160644391446,0.160644391446,0.172230420946,0.18519201327
21,0.160319960836,0.160319960836,0.160319960836,0.160319960836,0.172513743151,0.186206413505
22,0.159994802544,0.159994802544,0.159994802544,0.159994802544,0.172796037892,0.187224751931
23,0.160110412749,0.160110412749,0.160110412749,0.160110412749,0.170790808201,0.188767540802
24,0.159803569316,0.159803569316,0.159803569316,0.159803569316,0.170964586746,0.189821135991
25,0.159495972635,0.159495972635,0.159495972635,0.159495972635,0.171137102916,0.190879006546
26,0.159187624822,0.159187624822,0.159187624822,0.159187624822,0.171308347688,0.191941153022
27,0.159292283998,0.159292283998,0.159292283998,0.159292283998,0.169320652435,0.193510211574
28,0.158997856162,0.158997856162,0.158997856162,0.158997856162,0.169405020736,0.194603554618
29,0.159987765899,0.159987765899,0.159987765899,0.159987765899,0.170860470526,0.189188465877
30,0.159742110172,0.159742110172,0.159742110172,0.159742110172,0.170999191259,0.190032368053
31,0.159495972635,0.159495972635,0.159495972635,0.159495972635,0.171137102916,0.190879006546
