"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
0,94.914,93.9934548077,95.8345451923,0.084,0.0734753935694,0.0945246064306,0.0,0.0,0.0
1,96.112,95.1536847782,97.0703152218,0.072,0.0591100422507,0.0848899577493,94.18,89.1290862731,99.2309137269
2,95.428,94.4601959519,96.3958040481,0.078,0.0661077269631,0.0898922730369,192.32,186.789083403,197.850916597
3,95.854,94.8580571883,96.8499428117,0.066,0.0524006654978,0.0795993345022,285.34,277.551315058,293.128684942
4,96.082,95.1734642371,96.9905357629,0.072,0.0591100422507,0.0848899577493,379.4,370.648371542,388.151628458
5,96.188,95.1605082256,97.2154917744,0.064,0.0502200555349,0.0777799444651,475.42,466.192714387,484.647285613
6,95.33,94.4087882315,96.2512117685,0.088,0.0756321213371,0.100367878663,569.74,559.712846282,579.767153718
7,94.108,93.3462234555,94.8697765445,0.096,0.087961699062,0.104038300938,667.58,656.945073422,678.214926578
8,94.224,93.4304566728,95.0175433272,0.092,0.0842116557907,0.0997883442093,764.08,752.151351766,776.008648234
9,93.548,92.7377517644,94.3582482356,0.094,0.0850865722841,0.102913427716,860.9,848.644684148,873.155315852
10,94.716,93.8251130023,95.6068869977,0.092,0.0807487224589,0.103251277541,959.62,947.535798966,971.704201034
11,93.48,92.7657940098,94.1942059902,0.098,0.0889398393349,0.107060160665,1052.7,1040.20242553,1065.19757447
12,93.704,92.8400980353,94.5679019647,0.096,0.0832127527143,0.108787247286,1144.7,1130.6844788,1158.7155212
13,93.714,92.8491817281,94.5788182719,0.096,0.0861217029625,0.105878297038,1238.78,1224.0680213,1253.4919787
14,93.862,93.0673911773,94.6566088227,0.094,0.0850865722841,0.102913427716,1335.76,1320.81941387,1350.70058613
15,93.806,92.9045361841,94.7074638159,0.094,0.0819425485931,0.106057451407,1430.76,1414.93226007,1446.58773993
16,93.194,92.3656217063,94.0223782937,0.092,0.0823240103393,0.101675989661,1524.54,1508.71677525,1540.36322475
