"episode","mean","lower","upper"
0,0.331477775411,0.331101979932,0.33185357089
40,0.343508162766,0.341283435685,0.345732889847
80,0.382830933955,0.378370013022,0.387291854889
120,0.442776626124,0.4366387502,0.448914502048
160,0.629854337631,0.610147497777,0.649561177484
200,0.737514539822,0.705657036887,0.769372042757
240,0.907575364442,0.870499477622,0.944651251262
280,1.0,1.0,1.0
320,1.0,1.0,1.0
360,1.0,1.0,1.0
400,1.0,1.0,1.0
440,1.0,1.0,1.0
480,1.0,1.0,1.0
520,1.0,1.0,1.0
560,1.0,1.0,1.0
600,1.0,1.0,1.0
640,1.0,1.0,1.0
680,1.0,1.0,1.0
720,1.0,1.0,1.0
760,1.0,1.0,1.0
800,1.0,1.0,1.0
840,1.0,1.0,1.0
880,1.0,1.0,1.0
920,1.0,1.0,1.0
960,1.0,1.0,1.0
1000,1.0,1.0,1.0
1040,1.0,1.0,1.0
1080,1.0,1.0,1.0
1120,1.0,1.0,1.0
1160,1.0,1.0,1.0
1200,1.0,1.0,1.0
1240,1.0,1.0,1.0
1280,1.0,1.0,1.0
1320,1.0,1.0,1.0
1360,1.0,1.0,1.0
1400,1.0,1.0,1.0
1440,1.0,1.0,1.0
1480,1.0,1.0,1.0
1520,1.0,1.0,1.0
1560,1.0,1.0,1.0
1600,1.0,1.0,1.0
1640,1.0,1.0,1.0
1680,1.0,1.0,1.0
1720,1.0,1.0,1.0
1760,1.0,1.0,1.0
1800,1.0,1.0,1.0
1840,1.0,1.0,1.0
1880,1.0,1.0,1.0
1920,1.0,1.0,1.0
1960,1.0,1.0,1.0
2000,1.0,1.0,1.0
