episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,1000,100.0,0,0.0,0.33333,2813
1,986,98.6,1.0,0.1,0.33283,2913
2,1000,100.0,0,0.0,0.33233,3013
3,985,98.5,1.0,0.1,0.33183,3068
4,910,91.0,1.0,0.1,0.33133,3125
5,934,93.4,1.0,0.1,0.33083,3176
6,908,90.8,1.0,0.1,0.33033,3276
7,939,93.9,1.0,0.1,0.32983,3327
8,916,91.6,1.0,0.1,0.32933,3360
9,921,92.1,1.0,0.1,0.32883,3395
10,908,90.8,1.0,0.1,0.32833,3462
11,934,93.4,1.0,0.1,0.32783,3471
12,931,93.1,1.0,0.1,0.32733,3524
13,909,90.9,1.0,0.1,0.32683,3596
14,837,83.7,2.0,0.2,0.32633,3636
15,908,90.8,1.0,0.1,0.32583,3669
16,910,91.0,1.0,0.1,0.32533,3679
17,912,91.2,1.0,0.1,0.32483,3733
18,915,91.5,2.0,0.2,0.32433,3833
19,850,85.0,2.0,0.2,0.32383,3871
20,892,89.2,2.0,0.2,0.32333,3960
21,935,93.5,1.0,0.1,0.32283,3969
22,850,85.0,3.0,0.3,0.32233,4069
23,849,84.9,2.0,0.2,0.32183,4114
24,875,87.5,3.0,0.3,0.32133,4153
25,908,90.8,1.0,0.1,0.32083,4253
26,912,91.2,1.0,0.1,0.32033,4287
27,924,92.4,1.0,0.1,0.31983,4333
28,908,90.8,1.0,0.1,0.31933,4397
29,980,98.0,1.0,0.1,0.31883,4438
30,865,86.5,4.0,0.4,0.31833,4515
31,802,80.2,3.0,0.3,0.31783,4533
32,859,85.9,3.0,0.3,0.31733,4584
33,920,92.0,1.0,0.1,0.31683,4598
34,865,86.5,2.0,0.2,0.31633,4651
35,789,78.9,4.0,0.4,0.31583,4708
36,861,86.1,2.0,0.2,0.31533,4752
37,896,89.6,3.0,0.3,0.31483,4826
38,833,83.3,2.0,0.2,0.31433,4858
39,850,85.0,3.0,0.3,0.31383,4912
40,821,82.1,3.0,0.3,0.31383,7652
41,799,79.9,4.0,0.4,0.31333,7752
42,749,74.9,4.0,0.4,0.31283,7759
43,812,81.2,3.0,0.3,0.31233,7811
44,788,78.8,3.0,0.3,0.31183,7836
45,793,79.3,3.0,0.3,0.31133,7894
46,812,81.2,4.0,0.4,0.31083,7956
47,747,74.7,5.0,0.5,0.31033,7983
48,870,87.0,3.0,0.3,0.30983,8044
49,776,77.6,3.0,0.3,0.30933,8080
50,836,83.6,5.0,0.5,0.30883,8147
51,827,82.7,2.0,0.2,0.30833,8193
52,733,73.3,4.0,0.4,0.30783,8249
53,704,70.4,5.0,0.5,0.30733,8297
54,792,79.2,3.0,0.3,0.30683,8397
55,880,88.0,3.0,0.3,0.30633,8475
56,813,81.3,4.0,0.4,0.30583,8529
57,827,82.7,3.0,0.3,0.30533,8561
58,836,83.6,4.0,0.4,0.30483,8623
59,893,89.3,2.0,0.2,0.30433,8656
60,849,84.9,3.0,0.3,0.30383,8685
61,752,75.2,7.0,0.7,0.30333,8755
62,713,71.3,5.0,0.5,0.30283,8779
63,762,76.2,4.0,0.4,0.30233,8831
64,843,84.3,4.0,0.4,0.30183,8885
65,750,75.0,5.0,0.5,0.30133,8932
66,714,71.4,4.0,0.4,0.30083,8988
67,669,66.9,5.0,0.5,0.30033,9019
68,654,65.4,7.0,0.7,0.29983,9066
69,618,61.8,5.0,0.5,0.29933,9112
70,710,71.0,5.0,0.5,0.29883,9132
71,655,65.5,5.0,0.5,0.29833,9160
72,670,67.0,6.0,0.6,0.29783,9188
73,766,76.6,4.0,0.4,0.29733,9242
74,759,75.9,4.0,0.4,0.29683,9292
75,686,68.6,4.0,0.4,0.29633,9347
76,728,72.8,4.0,0.4,0.29583,9399
77,681,68.1,5.0,0.5,0.29533,9429
78,652,65.2,5.0,0.5,0.29483,9520
79,662,66.2,5.0,0.5,0.29433,9578
80,662,66.2,6.0,0.6,0.29433,12129
81,657,65.7,5.0,0.5,0.29383,12187
82,627,62.7,7.0,0.7,0.29333,12253
83,757,75.7,4.0,0.4,0.29283,12319
84,712,71.2,5.0,0.5,0.29233,12352
85,620,62.0,7.0,0.7,0.29183,12424
86,603,60.3,7.0,0.7,0.29133,12510
87,611,61.1,5.0,0.5,0.29083,12587
88,690,69.0,5.0,0.5,0.29033,12642
89,553,55.3,7.0,0.7,0.28983,12643
90,533,53.3,8.0,0.8,0.28933,12716
91,653,65.3,6.0,0.6,0.28883,12764
92,479,47.9,8.0,0.8,0.28833,12817
93,648,64.8,5.0,0.5,0.28783,12852
94,573,57.3,7.0,0.7,0.28733,12904
95,665,66.5,5.0,0.5,0.28683,12942
96,631,63.1,6.0,0.6,0.28633,12943
97,523,52.3,8.0,0.8,0.28583,12954
98,581,58.1,6.0,0.6,0.28533,12998
99,639,63.9,5.0,0.5,0.28483,13026
100,632,63.2,5.0,0.5,0.28433,13065
101,465,46.5,8.0,0.8,0.28383,13114
102,691,69.1,6.0,0.6,0.28333,13133
103,653,65.3,5.0,0.5,0.28283,13187
104,602,60.2,5.0,0.5,0.28233,13274
105,536,53.6,8.0,0.8,0.28183,13309
106,486,48.6,8.0,0.8,0.28133,13334
107,554,55.4,7.0,0.7,0.28083,13367
108,532,53.2,8.0,0.8,0.28033,13457
109,606,60.6,6.0,0.6,0.27983,13516
110,554,55.4,7.0,0.7,0.27933,13598
111,601,60.1,6.0,0.6,0.27883,13615
112,553,55.3,7.0,0.7,0.27833,13661
113,595,59.5,6.0,0.6,0.27783,13708
114,619,61.9,5.0,0.5,0.27733,13753
115,586,58.6,7.0,0.7,0.27683,13778
116,530,53.0,7.0,0.7,0.27633,13830
117,559,55.9,6.0,0.6,0.27583,13853
118,550,55.0,7.0,0.7,0.27533,13877
119,537,53.7,8.0,0.8,0.27483,13904
120,550,55.0,8.0,0.8,0.27483,16315
121,492,49.2,8.0,0.8,0.27433,16359
122,544,54.4,7.0,0.7,0.27383,16424
123,516,51.6,7.0,0.7,0.27333,16465
124,552,55.2,8.0,0.8,0.27283,16510
125,508,50.8,8.0,0.8,0.27233,16545
126,612,61.2,7.0,0.7,0.27183,16569
127,601,60.1,6.0,0.6,0.27133,16634
128,538,53.8,9.0,0.9,0.27083,16665
129,543,54.3,6.0,0.6,0.27033,16720
130,575,57.5,7.0,0.7,0.26983,16749
131,516,51.6,8.0,0.8,0.26933,16771
132,492,49.2,7.0,0.7,0.26883,16848
133,551,55.1,8.0,0.8,0.26833,16888
134,602,60.2,6.0,0.6,0.26783,16937
135,443,44.3,9.0,0.9,0.26733,16953
136,529,52.9,7.0,0.7,0.26683,16975
137,458,45.8,7.0,0.7,0.26633,17025
138,552,55.2,7.0,0.7,0.26583,17107
139,527,52.7,8.0,0.8,0.26533,17139
140,489,48.9,9.0,0.9,0.26483,17180
141,452,45.2,8.0,0.8,0.26433,17242
142,548,54.8,7.0,0.7,0.26383,17270
143,406,40.6,9.0,0.9,0.26333,17322
144,497,49.7,9.0,0.9,0.26283,17387
145,541,54.1,7.0,0.7,0.26233,17397
146,516,51.6,8.0,0.8,0.26183,17435
147,482,48.2,8.0,0.8,0.26133,17493
148,536,53.6,7.0,0.7,0.26083,17537
149,482,48.2,8.0,0.8,0.26033,17578
150,486,48.6,8.0,0.8,0.25983,17623
151,437,43.7,9.0,0.9,0.25933,17669
152,566,56.6,7.0,0.7,0.25883,17697
153,453,45.3,8.0,0.8,0.25833,17764
154,549,54.9,6.0,0.6,0.25783,17785
155,435,43.5,8.0,0.8,0.25733,17829
156,591,59.1,7.0,0.7,0.25683,17859
157,446,44.6,8.0,0.8,0.25633,17914
