"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
0,95.058,94.1791141515,95.9368858485,0.082,0.0709706629507,0.0930293370493,2723.22,2695.72842021,2750.71157979
1,94.61,93.799161816,95.420838184,0.09,0.0813875347093,0.0986124652907,2811.92,2782.67863532,2841.16136468
2,95.088,94.1373523516,96.0386476484,0.08,0.0685167129458,0.0914832870542,2902.94,2872.85924462,2933.02075538
3,93.908,93.0543884839,94.7616115161,0.096,0.0861217029625,0.105878297038,2983.92,2953.51427897,3014.32572103
4,93.15,92.3649207861,93.9350792139,0.092,0.0842116557907,0.0997883442093,3063.74,3032.78781155,3094.69218845
5,92.81,92.231509825,93.388490175,0.102,0.097980849531,0.106019150469,3138.66,3106.66371018,3170.65628982
6,92.766,91.9530836399,93.5789163601,0.104,0.0941217029625,0.113878297038,3214.66,3180.97183392,3248.34816608
7,92.374,91.8427564688,92.9052435312,0.108,0.100211655791,0.115788344209,3283.94,3247.11254118,3320.76745882
8,92.112,91.5571765753,92.6668234247,0.108,0.0983240103393,0.117675989661,3350.44,3311.21078374,3389.66921626
9,92.054,91.4201212544,92.6878787456,0.11,0.101387534709,0.118612465291,3417.02,3376.8099012,3457.2300988
10,90.71,89.9246898681,91.4953101319,0.124,0.108213090354,0.139786909646,3479.94,3439.86857621,3520.01142379
11,90.778,90.0730559349,91.4829440651,0.13,0.113508384532,0.146491615468,3546.26,3507.15283981,3585.36716019
12,89.922,89.1748515519,90.6691484481,0.138,0.122928869286,0.153071130714,3614.96,3574.69024071,3655.22975929
13,90.018,88.9761062031,91.0598937969,0.144,0.124819129071,0.163180870929,3675.28,3633.627946,3716.932054
14,89.758,88.8079516013,90.7080483987,0.144,0.126622633433,0.161377366567,3736.52,3693.32401494,3779.71598506
15,89.074,88.0012985572,90.1467014428,0.152,0.131107990331,0.172892009669,3804.42,3761.10923769,3847.73076231
16,88.592,87.4727205294,89.7112794706,0.178,0.155548778824,0.200451221176,3869.24,3823.6606233,3914.8193767
17,88.128,87.1137903926,89.1422096074,0.204,0.181062152074,0.226937847926,3925.14,3879.29054035,3970.98945965
18,88.002,86.8160275666,89.1879724334,0.178,0.155548778824,0.200451221176,3987.82,3940.85582359,4034.78417641
19,87.692,86.6983499038,88.6856500962,0.218,0.19599369522,0.24000630478,4046.7,3999.52869428,4093.87130572
20,87.456,86.4412197724,88.4707802276,0.198,0.176144013269,0.219855986731,4111.78,4065.03532365,4158.52467635
21,86.192,84.7687110748,87.6152889252,0.222,0.195507432086,0.248492567914,4175.44,4127.65292628,4223.22707372
22,85.556,84.1679446444,86.9440553556,0.244,0.217588439775,0.270411560225,4232.16,4184.21176351,4280.10823649
23,85.878,84.8869835119,86.8690164881,0.242,0.222035916574,0.261964083426,4290.66,4242.41489908,4338.90510092
24,83.864,82.4110038478,85.3169961522,0.26,0.230723247615,0.289276752385,4347.96,4297.26128896,4398.65871104
25,85.17,83.6796452936,86.6603547064,0.228,0.19926882497,0.25673117503,4407.18,4354.2812099,4460.0787901
26,84.32,82.7261482999,85.9138517001,0.252,0.225538559542,0.278461440458,4471.9,4416.79391258,4527.00608742
27,83.568,82.0220744488,85.1139255512,0.264,0.236012800488,0.291987199512,4537.9,4482.69060424,4593.10939576
28,82.702,81.1048682688,84.2991317312,0.288,0.259499231055,0.316500768945,4601.14,4543.64415501,4658.63584499
29,83.04,81.3049783064,84.7750216936,0.27,0.23639789276,0.30360210724,4660.9,4602.82387174,4718.97612826
30,82.302,80.8837037531,83.7202962469,0.298,0.267353389397,0.328646610603,4724.52,4664.20171217,4784.83828783
31,83.576,81.9896060248,85.1623939752,0.274,0.246578016307,0.301421983693,4782.84,4722.95905221,4842.72094779
32,80.018,78.3883774254,81.6476225746,0.34,0.309618078221,0.370381921779,4842.82,4780.88497111,4904.75502889
33,80.76,79.0361773076,82.4838226924,0.308,0.276635697417,0.339364302583,4901.74,4839.51338209,4963.96661791
34,81.082,79.4799508852,82.6840491148,0.328,0.297058986762,0.358941013238,4963.2,4900.48868753,5025.91131247
35,79.962,78.5082538423,81.4157461577,0.32,0.296326597273,0.343673402727,5024.44,4962.49532518,5086.38467482
36,81.016,79.1738774477,82.8581225523,0.326,0.295181758454,0.356818241546,5075.58,5015.27972752,5135.88027248
37,79.926,78.4549083469,81.3970916531,0.354,0.325171459999,0.382828540001,5139.44,5079.30903185,5199.57096815
38,77.254,75.435691114,79.072308886,0.37,0.342314797515,0.397685202485,5196.84,5136.54149695,5257.13850305
39,79.7,77.6690726561,81.7309273439,0.34,0.305074945891,0.374925054109,5249.38,5188.68966303,5310.07033697
40,78.636,76.6270994399,80.6449005601,0.366,0.333718888974,0.398281111026,7876.02,7813.86802848,7938.17197152
41,79.524,77.8338629876,81.2141370124,0.338,0.307677815724,0.368322184276,7925.88,7863.42697281,7988.33302719
42,77.728,75.9446207499,79.5113792501,0.362,0.331677815724,0.392322184276,7979.42,7914.8457773,8043.9942227
43,77.192,75.2770018647,79.1069981353,0.37,0.335910880309,0.404089119691,8039.7,7975.71924928,8103.68075072
44,76.364,74.5298727981,78.1981272019,0.398,0.368448658225,0.427551341775,8097.4,8033.3929058,8161.4070942
45,76.65,74.9701865357,78.3298134643,0.388,0.353245266867,0.422754733133,8150.62,8087.05640437,8214.18359563
46,76.184,74.5956040229,77.7723959771,0.404,0.37363978735,0.43436021265,8202.1,8138.42871337,8265.77128663
47,77.336,75.3814551485,79.2905448515,0.374,0.337320828026,0.410679171974,8257.98,8194.24264932,8321.71735068
48,74.93,73.1283014454,76.7316985546,0.404,0.371036764963,0.436963235037,8311.62,8247.48574182,8375.75425818
49,75.666,73.9876751687,77.3443248313,0.41,0.382916721649,0.437083278351,8370.4,8305.94345972,8434.85654028
50,74.588,72.6511619331,76.5248380669,0.42,0.385550138837,0.454449861163,8423.7,8360.30587834,8487.09412166
51,74.84,72.9256719852,76.7543280148,0.41,0.378420960601,0.441579039399,8476.76,8414.13497098,8539.38502902
52,73.994,71.6733855798,76.3146144202,0.434,0.393559097486,0.474440902514,8531.84,8468.00569525,8595.67430475
53,72.402,70.4785709283,74.3254290717,0.464,0.429188400617,0.498811599383,8582.04,8518.09123639,8645.98876361
54,74.764,72.9308796144,76.5971203856,0.418,0.38092747445,0.45507252555,8631.98,8567.67042724,8696.28957276
55,73.31,71.1431076124,75.4768923876,0.44,0.406031978807,0.473968021193,8685.14,8621.98372175,8748.29627825
56,72.224,70.2791962543,74.1688037457,0.478,0.448005750934,0.507994249066,8738.06,8674.0248315,8802.0951685
57,73.25,71.334955299,75.165044701,0.45,0.421725684676,0.478274315324,8793.02,8726.634868,8859.405132
58,71.45,69.6008765362,73.2991234638,0.478,0.446400088795,0.509599911205,8837.64,8770.37300686,8904.90699314
59,72.684,70.6756197107,74.6923802893,0.468,0.432401810132,0.503598189868,8887.02,8820.54640902,8953.49359098
60,70.688,68.8702493407,72.5057506593,0.49,0.459482746051,0.520517253949,8935.48,8868.70788893,9002.25211107
61,70.456,68.5363223793,72.3756776207,0.504,0.467253481426,0.540746518574,8986.8,8921.9113497,9051.6886503
62,70.662,69.0691218605,72.2548781395,0.492,0.461165717033,0.522834282967,9034.58,8969.24826842,9099.91173158
63,69.302,67.2552471052,71.3487528948,0.506,0.469052178157,0.542947821843,9084.14,9019.1773692,9149.1026308
64,69.336,67.4520954489,71.2199045511,0.516,0.48884985676,0.54315014324,9140.24,9074.65925628,9205.82074372
65,68.484,66.4132289992,70.5547710008,0.534,0.498323180889,0.569676819111,9191.32,9125.75288348,9256.88711652
66,69.878,68.0625299955,71.6934700045,0.498,0.464772795883,0.531227204117,9243.4,9178.14948628,9308.65051372
67,67.8,65.9765512792,69.6234487208,0.532,0.499805810631,0.564194189369,9302.0,9236.12105171,9367.87894829
68,67.908,66.103471316,69.712528684,0.52,0.484606132241,0.555393867759,9353.84,9288.59859721,9419.08140279
69,67.976,65.5563992054,70.3956007946,0.536,0.499343304388,0.572656695612,9402.42,9337.03507987,9467.80492013
70,67.732,66.1316417203,69.3323582797,0.544,0.514633303464,0.573366696536,9453.54,9386.62912682,9520.45087318
71,65.614,63.7252697146,67.5027302854,0.566,0.529864119047,0.602135880953,9505.74,9438.27896724,9573.20103276
72,65.426,63.4377590436,67.4142409564,0.582,0.54492747445,0.61907252555,9555.26,9485.61805772,9624.90194228
73,66.344,64.4030258774,68.2849741226,0.566,0.535830408562,0.596169591438,9607.14,9537.91084871,9676.36915129
74,66.606,64.6042040834,68.6077959166,0.542,0.504310144479,0.579689855521,9662.3,9593.109616,9731.490384
75,66.038,63.9734189136,68.1025810864,0.594,0.560812505732,0.627187494268,9712.06,9643.69005738,9780.42994262
76,63.426,61.4718426964,65.3801573036,0.612,0.58021804517,0.64378195483,9759.4,9691.10349417,9827.69650583
77,64.63,62.5599623201,66.7000376799,0.59,0.55639789276,0.62360210724,9808.68,9740.78911515,9876.57088485
78,63.794,62.0457340346,65.5422659654,0.6,0.570723247615,0.629276752385,9857.74,9790.16671442,9925.31328558
79,64.974,62.9926852688,66.9553147312,0.588,0.553245266867,0.622754733133,9909.96,9841.18170177,9978.73829823
80,62.894,61.1377100795,64.6502899205,0.614,0.582546482288,0.645453517712,12340.94,12268.6872753,12413.1927247
81,62.406,60.4305791377,64.3814208623,0.622,0.587891544448,0.656108455552,12388.22,12315.605793,12460.834207
82,63.586,61.7428518498,65.4291481502,0.596,0.564572695741,0.627427304259,12437.6,12365.5420764,12509.6579236
83,61.514,59.7659829603,63.2620170397,0.632,0.601380293634,0.662619706366,12488.66,12415.6096037,12561.7103963
84,61.17,59.7072860259,62.6327139741,0.642,0.612115862353,0.671884137647,12543.36,12468.9258028,12617.7941972
85,60.674,58.6398789609,62.7081210391,0.63,0.597393732655,0.662606267345,12586.66,12512.864632,12660.455368
86,60.054,58.2445147797,61.8634852203,0.646,0.613923785433,0.678076214567,12632.9,12558.6644958,12707.1355042
87,60.55,58.752111341,62.347888659,0.652,0.624320751963,0.679679248037,12682.66,12608.5687095,12756.7512905
88,61.072,59.0858308065,63.0581691935,0.648,0.610244600654,0.685755399346,12732.26,12657.551028,12806.968972
89,60.742,58.9761567165,62.5078432835,0.658,0.628672620087,0.687327379913,12775.14,12701.4114169,12848.8685831
90,59.55,57.3522982795,61.7477017205,0.672,0.633896937707,0.710103062293,12826.54,12751.8184442,12901.2615558
91,59.904,57.8950239543,61.9129760457,0.654,0.624605252357,0.683394747643,12877.74,12803.4831485,12951.9968515
92,59.276,57.3764567447,61.1755432553,0.664,0.635429914125,0.692570085875,12931.92,12857.2687671,13006.5712329
93,58.288,56.5682206664,60.0077793336,0.674,0.644830416513,0.703169583487,12975.6,12900.1084351,13051.0915649
94,57.714,55.9694281874,59.4585718126,0.696,0.660624765498,0.731375234502,13030.0,12952.9931078,13107.0068922
95,57.506,55.8428012606,59.1691987394,0.698,0.666820179412,0.729179820588,13071.12,12994.8822021,13147.3577979
96,57.452,55.6929826824,59.2110173176,0.692,0.66011448688,0.72388551312,13117.92,13041.8458918,13193.9941082
97,56.502,54.9548908453,58.0491091547,0.708,0.682425505429,0.733574494571,13163.92,13086.3266034,13241.5133966
98,58.958,56.8906567642,61.0253432358,0.69,0.65495715448,0.72504284552,13205.56,13128.2974195,13282.8225805
99,57.91,56.2359957913,59.5840042087,0.682,0.646750797611,0.717249202389,13251.56,13173.7834001,13329.3365999
100,56.378,54.788142225,57.967857775,0.704,0.677713554454,0.730286445546,13298.38,13220.3373793,13376.4226207
101,55.718,53.843059383,57.592940617,0.714,0.681011771984,0.746988228016,13346.56,13268.2378966,13424.8821034
102,56.196,54.2103792807,58.1816207193,0.706,0.677057332316,0.734942667684,13391.2,13313.1659103,13469.2340897
103,54.548,52.5320841825,56.5639158175,0.726,0.694129999172,0.757870000828,13443.48,13366.337045,13520.622955
104,54.834,53.1128317614,56.5551682386,0.7,0.673688483924,0.726311516076,13493.78,13417.0212415,13570.5387585
105,54.652,52.8357225695,56.4682774305,0.74,0.707520359415,0.772479640585,13542.18,13465.7271825,13618.6328175
106,55.556,53.9240681432,57.1879318568,0.714,0.688316170991,0.739683829009,13588.1,13510.9690327,13665.2309673
107,55.41,53.591745143,57.228254857,0.696,0.661569282968,0.730430717032,13628.66,13550.0122963,13707.3077037
108,54.816,53.0612034397,56.5707965603,0.718,0.689470328533,0.746529671467,13677.56,13599.2812622,13755.8387378
109,54.29,52.1571880864,56.4228119136,0.736,0.704155869783,0.767844130217,13725.82,13647.9484172,13803.6915828
110,54.126,52.044475565,56.207524435,0.724,0.691744429852,0.756255570148,13775.38,13698.2043037,13852.5556963
111,52.648,50.8699970124,54.4260029876,0.756,0.728368433734,0.783631566266,13823.18,13745.1182504,13901.2417496
112,53.234,51.4639190916,55.0040809084,0.736,0.706858684359,0.765141315641,13870.76,13792.5792306,13948.9407694
113,52.256,50.7093738764,53.8026261236,0.766,0.73993395015,0.79206604985,13914.18,13835.915508,13992.444492
114,53.042,51.1459871579,54.9380128421,0.744,0.716971552322,0.771028447678,13959.88,13881.8103969,14037.9496031
