"episode","mean","lower","upper"
1,0.14,0.0403862078419,0.239613792158
2,0.22,0.0879421988764,0.352057801124
3,0.32,0.163388844676,0.476611155324
4,0.46,0.285752706674,0.634247293326
5,0.62,0.398443970034,0.841556029966
6,0.84,0.574639149914,1.10536085009
7,0.92,0.622540748113,1.21745925189
8,1.1,0.784209606009,1.41579039399
9,1.28,0.945010649101,1.6149893509
10,1.36,1.00718079389,1.71281920611
11,1.56,1.18279543188,1.93720456812
12,1.68,1.30595494878,2.05404505122
13,1.86,1.4621658331,2.2578341669
14,2.02,1.62018202275,2.41981797725
15,2.2,1.79400449268,2.60599550732
16,2.42,1.99384007064,2.84615992936
17,2.54,2.10571762974,2.97428237026
18,2.7,2.24336784472,3.15663215528
19,2.9,2.44336784472,3.35663215528
20,3.16,2.73667301875,3.58332698125
21,3.44,3.02137157693,3.85862842307
22,3.6,3.16272945643,4.03727054357
23,3.76,3.30586539575,4.21413460425
24,3.98,3.51181834547,4.44818165453
25,4.16,3.67838595776,4.64161404224
26,4.34,3.84405359604,4.83594640396
27,4.42,3.91587846678,4.92412153322
28,4.54,4.02258265775,5.05741734225
29,4.76,4.24465750662,5.27534249338
30,4.98,4.45223707183,5.50776292817
31,5.22,4.65658705783,5.78341294217
32,5.4,4.81728682438,5.98271317562
33,5.58,4.98861071671,6.17138928329
34,5.76,5.1813744965,6.3386255035
35,5.94,5.36180195759,6.51819804241
36,6.1,5.51376160665,6.68623839335
37,6.26,5.67218916633,6.84781083367
38,6.46,5.83838918971,7.08161081029
39,6.74,6.08331560152,7.39668439848
40,6.88,6.23386736574,7.52613263426
41,7.1,6.44221209809,7.75778790191
42,7.2,6.55040718829,7.84959281171
43,7.36,6.72125667316,7.99874332684
44,7.48,6.85830964389,8.10169035611
45,7.68,7.04467216063,8.31532783937
46,7.78,7.12967173776,8.43032826224
47,8.0,7.37366063698,8.62633936302
48,8.12,7.49725000386,8.74274999614
49,8.24,7.60695938986,8.87304061014
50,8.4,7.74787465311,9.05212534689
51,8.6,7.92795785521,9.27204214479
52,8.76,8.06728076176,9.45271923824
