episode,omega1,omega2,omega3,omega4,omega5,omega
1,0,0,0,0,1,0
2,0,0,0,0,2,0
3,0,0,0,0,3,0
4,0,0,1,0,3,0
5,0,0,1,1,3,0
6,0,1,1,1,3,0
7,0,1,2,1,3,0
8,0,1,2,1,4,0
9,0,2,2,1,4,0
10,0,2,2,1,4,1
11,0,2,2,2,4,1
12,1,2,2,2,4,1
13,1,2,2,2,5,1
14,1,2,2,2,5,2
15,1,2,2,3,5,2
16,1,3,2,3,5,2
17,1,4,2,3,5,2
18,1,4,2,3,6,2
19,1,4,2,4,6,2
20,1,4,2,4,7,2
21,2,4,2,4,7,2
22,2,4,2,5,7,2
23,3,4,2,5,7,2
24,3,5,2,5,7,2
25,4,5,2,5,7,2
26,4,5,2,5,7,3
27,4,5,3,5,7,3
28,4,5,3,5,8,3
29,4,5,3,5,9,3
30,5,5,3,5,9,3
31,5,6,3,5,9,3
32,6,6,3,5,9,3
33,6,6,3,5,10,3
34,6,6,3,5,10,4
35,6,6,4,5,10,4
36,6,7,4,5,10,4
37,6,7,5,5,10,4
38,6,7,5,5,11,4
39,6,7,5,6,11,4
40,7,7,5,6,11,4
41,7,7,5,6,11,5
42,7,7,5,7,11,5
43,7,7,5,7,11,6
44,7,7,5,7,12,6
45,7,7,5,8,12,6
46,8,7,5,8,12,6
47,8,8,5,8,12,6
48,9,8,5,8,12,6
49,10,8,5,8,12,6
50,10,8,6,8,12,6
51,10,8,6,9,12,6
52,10,8,6,9,13,6
53,10,8,6,9,13,7
54,10,8,6,10,13,7
55,10,8,7,10,13,7
56,11,8,7,10,13,7
57,11,9,7,10,13,7
58,11,9,8,10,13,7
59,11,9,8,10,14,7
60,11,9,8,10,15,7
61,12,9,8,10,15,7
62,12,9,8,10,16,7
63,12,9,8,11,16,7
64,12,10,8,11,16,7
65,12,10,8,11,17,7
66,12,11,8,11,17,7
67,12,11,8,11,18,7
68,12,11,8,11,19,7
69,12,11,8,12,19,7
70,12,11,8,12,19,8
71,12,11,8,12,19,9
72,12,12,8,12,19,9
73,12,12,8,12,20,9
74,12,12,8,12,20,10
75,12,12,8,12,20,11
76,12,13,8,12,20,11
77,12,13,8,12,21,11
78,12,13,9,12,21,11
79,12,13,10,12,21,11
80,12,14,10,12,21,11
81,12,15,10,12,21,11
82,13,15,10,12,21,11
83,13,16,10,12,21,11
84,13,17,10,12,21,11
85,13,17,10,13,21,11
86,13,17,10,13,21,12
87,13,17,10,13,22,12
88,13,17,11,13,22,12
89,13,18,11,13,22,12
90,13,18,11,13,23,12
91,13,18,11,13,23,13
92,13,18,11,13,23,14
93,14,18,11,13,23,14
94,14,18,12,13,23,14
95,14,18,12,14,23,14
96,14,18,12,15,23,14
97,14,18,12,15,23,15
98,15,18,12,15,23,15
99,15,18,12,16,23,15
100,16,18,12,16,23,15
101,16,18,12,17,23,15
102,16,19,12,17,23,15
103,16,19,12,17,24,15
104,16,20,12,17,24,15
105,16,20,13,17,24,15
106,16,20,14,17,24,15
107,17,20,14,17,24,15
108,17,20,14,17,24,16
109,17,21,14,17,24,16
110,17,21,14,18,24,16
111,17,21,15,18,24,16
112,17,21,15,18,24,17
113,17,22,15,18,24,17
114,17,22,15,19,24,17
