episode,omega1,omega2,omega3,omega4,omega5,omega
1,0.0,0.0,0.0,0.0,0.07309772651287749,0.0
2,0.0,0.0,0.0,0.0,0.036548863256438746,0.0
3,0.0,0.0,0.0,0.0,0.024365908837625832,0.0
4,0.0,0.0,0.0,0.0,0.024365908837625832,0.0
5,0.0,0.0,0.0,0.0,0.024365908837625832,0.0
6,0.0,0.0,0.0,0.0,0.024365908837625832,0.0
7,0.0,0.0,0.0,0.0,0.024365908837625832,0.0
8,0.0,0.0,0.0,0.0,0.018274431628219373,0.0
9,0.0,0.0,0.0,0.0,0.018274431628219373,0.0
10,0.0,0.0,0.0,0.0,0.018274431628219373,0.0
11,0.0,0.0,0.0,0.0,0.018274431628219373,0.0
12,0.0852575903343082,0.0,0.0,0.0,0.018274431628219373,0.0
13,0.0852575903343082,0.0,0.0,0.0,0.014619545302575499,0.0
14,0.0852575903343082,0.0,0.0,0.0,0.014619545302575499,0.0
15,0.0852575903343082,0.0,0.0,0.0,0.014619545302575499,0.0
16,0.0852575903343082,0.0,0.0,0.0,0.014619545302575499,0.0
17,0.0852575903343082,0.0,0.0,0.0,0.014619545302575499,0.0
18,0.0852575903343082,0.0,0.0,0.0,0.01678023615827541,0.0
19,0.0852575903343082,0.0,0.0,0.0,0.01678023615827541,0.0
20,0.0852575903343082,0.0,0.0,0.0,0.06303472046253819,0.0
21,0.0426287951671541,0.0,0.0,0.0,0.06303472046253819,0.0
22,0.0426287951671541,0.0,0.0,0.0,0.06303472046253819,0.0
23,0.028419196778102732,0.0,0.0,0.0,0.06303472046253819,0.0
24,0.028419196778102732,0.0,0.0,0.0,0.06303472046253819,0.0
25,0.02434947702884188,0.0,0.0,0.0,0.06303472046253819,0.0
26,0.02434947702884188,0.0,0.0,0.0,0.06303472046253819,0.0
27,0.02434947702884188,0.0,0.0,0.0,0.06303472046253819,0.0
28,0.02434947702884188,0.0,0.0,0.0,0.05515538040472091,0.0
29,0.02434947702884188,0.0,0.0,0.0,0.04902700480419637,0.0
30,0.019479581623073505,0.0,0.0,0.0,0.04902700480419637,0.0
31,0.019479581623073505,0.0,0.0,0.0,0.04902700480419637,0.0
32,0.016232984685894587,0.0,0.0,0.0,0.04902700480419637,0.0
33,0.016232984685894587,0.0,0.0,0.0,0.04412430432377673,0.0
34,0.016232984685894587,0.0,0.0,0.0,0.04412430432377673,0.0
35,0.016232984685894587,0.0,0.0,0.0,0.04412430432377673,0.0
36,0.016232984685894587,0.0,0.0,0.0,0.04412430432377673,0.0
37,0.016232984685894587,0.0,0.0,0.0,0.04412430432377673,0.0
38,0.016232984685894587,0.0,0.0,0.0,0.04011300393070612,0.0
39,0.016232984685894587,0.0,0.0,0.0,0.04011300393070612,0.0
40,0.014851150185113288,0.0,0.0,0.0,0.04011300393070612,0.0
41,0.014851150185113288,0.0,0.0,0.0,0.04011300393070612,0.0
42,0.014851150185113288,0.0,0.0,0.0,0.04011300393070612,0.0
43,0.014851150185113288,0.0,0.0,0.0,0.04011300393070612,0.0
44,0.014851150185113288,0.0,0.0,0.0,0.03677025360314728,0.0
45,0.014851150185113288,0.0,0.0,0.0,0.03677025360314728,0.0
46,0.012994756411974126,0.0,0.0,0.0,0.03677025360314728,0.0
47,0.012994756411974126,0.0,0.0,0.0,0.03677025360314728,0.0
48,0.011550894588421446,0.0,0.0,0.0,0.03677025360314728,0.0
49,0.010395805129579301,0.0,0.0,0.0,0.03677025360314728,0.0
50,0.010395805129579301,0.0,0.0,0.0,0.03677025360314728,0.0
51,0.010395805129579301,0.0,0.0,0.0,0.03677025360314728,0.0
52,0.010395805129579301,0.0,0.0,0.0,0.033941772556751335,0.0
53,0.010395805129579301,0.0,0.0,0.0,0.033941772556751335,0.003209584036974062
54,0.010395805129579301,0.0,0.0,0.0,0.033941772556751335,0.003209584036974062
55,0.010395805129579301,0.0,0.0,0.0,0.033941772556751335,0.003209584036974062
56,0.009450731935981184,0.0,0.0,0.0,0.033941772556751335,0.003209584036974062
57,0.009450731935981184,0.0,0.0,0.0,0.033941772556751335,0.003209584036974062
58,0.009450731935981184,0.0,0.0,0.0,0.033941772556751335,0.003209584036974062
59,0.009450731935981184,0.0,0.0,0.0,0.031517360231269095,0.003209584036974062
60,0.009450731935981184,0.0,0.0,0.0,0.02941620288251782,0.003209584036974062
61,0.008663170941316085,0.0,0.0,0.0,0.02941620288251782,0.003209584036974062
62,0.008663170941316085,0.0,0.0,0.0,0.027577690202360457,0.003209584036974062
63,0.008663170941316085,0.0,0.0,0.0,0.027577690202360457,0.003209584036974062
64,0.008663170941316085,0.0,0.0,0.0,0.027577690202360457,0.003209584036974062
65,0.008663170941316085,0.0,0.0,0.0,0.02595547313163337,0.003209584036974062
66,0.008663170941316085,0.0,0.0,0.0,0.02595547313163337,0.003209584036974062
67,0.008663170941316085,0.0,0.0,0.0,0.024513502402098184,0.003209584036974062
68,0.008663170941316085,0.0,0.0,0.0,0.02322331806514565,0.003209584036974062
69,0.008663170941316085,0.0,0.0,0.0,0.02322331806514565,0.003209584036974062
70,0.008663170941316085,0.0,0.0,0.0,0.02322331806514565,0.0028083860323523044
71,0.008663170941316085,0.0,0.0,0.0,0.02322331806514565,0.002496343139868715
72,0.008663170941316085,0.0,0.0,0.0,0.02322331806514565,0.002496343139868715
73,0.008663170941316085,0.0,0.0,0.0,0.022062152161888365,0.002496343139868715
