episode,omega2,omega3,omega4,omega
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.2919890243387724
5,0.0,0.0,0.0,0.1459945121693862
6,0.0,0.0,0.0,0.1459945121693862
7,0.0,0.0,0.0,0.0973296747795908
8,0.0,0.0,0.0,0.0973296747795908
9,0.0,0.0,0.0,0.0973296747795908
10,0.0,0.0,0.0,0.0973296747795908
11,0.0,0.0,0.0,0.0729972560846931
12,0.0,0.0,0.0,0.0729972560846931
13,0.0,0.0,0.0,0.05839780486775448
14,0.0,0.0,0.0,0.05839780486775448
15,0.0,0.0,0.0,0.05839780486775448
16,0.0,0.0,0.0,0.0486648373897954
17,0.0,0.0,0.0,0.0486648373897954
18,0.0,0.0,0.0,0.04171271776268177
19,0.0,0.0,0.0,0.03649862804234655
20,0.0,0.0,0.0,0.03649862804234655
21,0.0,0.0,0.0,0.03649862804234655
22,0.0,0.0,0.0,0.03649862804234655
23,0.0,0.0,0.0,0.03649862804234655
24,0.0,0.0,0.0,0.03649862804234655
25,0.0,0.0,0.0,0.03649862804234655
26,0.0,0.0,0.0,0.03649862804234655
27,0.0,0.0,0.0,0.03649862804234655
28,0.0,0.0,0.0,0.03649862804234655
29,0.0,0.0,0.0,0.03649862804234655
30,0.0,0.0,0.0,0.03649862804234655
31,0.0,0.0,0.0,0.03244322492653026
32,0.0,0.0,0.0,0.02919890243387724
33,0.0,0.0,0.0,0.02919890243387724
34,0.0,0.0,0.0,0.02919890243387724
35,0.0,0.0,0.0,0.02919890243387724
36,0.0,0.0,0.0,0.02919890243387724
37,0.0,0.0,0.0,0.02919890243387724
38,0.0,0.0,0.0,0.02919890243387724
39,0.0,0.0,0.0,0.02919890243387724
40,0.0,0.0,0.0,0.02919890243387724
41,0.0,0.0,0.0,0.02919890243387724
42,0.0,0.0,0.0,0.02919890243387724
43,0.0,0.0,0.0,0.026544456758070215
44,0.0,0.0,0.0,0.0243324186948977
45,0.0,0.0,0.0,0.0243324186948977
46,0.0,0.0,0.0,0.0243324186948977
47,0.0,0.0,0.0,0.02246069417990557
48,0.0,0.0,0.0,0.020856358881340884
49,0.0,0.0,0.0,0.020856358881340884
50,0.0,0.0,0.0,0.019465934955918158
51,0.0,0.0,0.0,0.019465934955918158
