episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,919,91.9,1.0,0.1,1.0,0
1,991,99.1,1.0,0.1,0.9995,100
2,915,91.5,1.0,0.1,0.999,200
3,932,93.2,1.0,0.1,0.9985,300
4,910,91.0,1.0,0.1,0.998,324
5,1000,100.0,0,0.0,0.9975,424
6,1000,100.0,0,0.0,0.997,524
7,913,91.3,1.0,0.1,0.9965,624
8,920,92.0,1.0,0.1,0.996,724
9,911,91.1,1.0,0.1,0.9955,824
10,944,94.4,1.0,0.1,0.995,924
11,915,91.5,1.0,0.1,0.9945,1024
12,929,92.9,1.0,0.1,0.994,1124
13,1000,100.0,0,0.0,0.9935,1224
14,937,93.7,1.0,0.1,0.993,1324
15,918,91.8,1.0,0.1,0.9925,1424
16,921,92.1,1.0,0.1,0.992,1524
17,934,93.4,1.0,0.1,0.9915,1624
18,941,94.1,1.0,0.1,0.991,1724
19,921,92.1,1.0,0.1,0.9905,1824
20,1000,100.0,0,0.0,0.99,1924
21,968,96.8,1.0,0.1,0.9895,2024
22,947,94.7,1.0,0.1,0.989,2124
23,925,92.5,1.0,0.1,0.9885,2224
24,987,98.7,1.0,0.1,0.988,2324
25,957,95.7,1.0,0.1,0.9875,2424
26,962,96.2,1.0,0.1,0.987,2524
27,925,92.5,1.0,0.1,0.9865,2624
28,921,92.1,1.0,0.1,0.986,2724
29,964,96.4,1.0,0.1,0.9855,2824
30,907,90.7,1.0,0.1,0.985,2924
31,937,93.7,1.0,0.1,0.9845,3024
32,1000,100.0,0,0.0,0.984,3124
33,952,95.2,1.0,0.1,0.9835,3224
34,915,91.5,1.0,0.1,0.983,3324
35,937,93.7,1.0,0.1,0.9825,3424
36,911,91.1,1.0,0.1,0.982,3524
37,939,93.9,1.0,0.1,0.9815,3624
38,956,95.6,1.0,0.1,0.981,3724
39,942,94.2,1.0,0.1,0.9805,3824
40,958,95.8,1.0,0.1,0.98,3924
41,910,91.0,1.0,0.1,0.9795,4024
42,907,90.7,1.0,0.1,0.979,4124
43,1000,100.0,0,0.0,0.9785,4224
44,965,96.5,1.0,0.1,0.978,4324
45,923,92.3,1.0,0.1,0.9775,4424
46,1000,100.0,0,0.0,0.977,4524
47,973,97.3,1.0,0.1,0.9765,4624
48,920,92.0,1.0,0.1,0.976,4724
49,924,92.4,1.0,0.1,0.9755,4824
50,918,91.8,1.0,0.1,0.975,4924
51,910,91.0,1.0,0.1,0.9745,5024
52,933,93.3,1.0,0.1,0.974,5124
53,916,91.6,1.0,0.1,0.9735,5224
54,910,91.0,1.0,0.1,0.973,5324
55,955,95.5,1.0,0.1,0.9725,5424
56,1000,100.0,0,0.0,0.972,5524
57,942,94.2,1.0,0.1,0.9715,5624
58,934,93.4,1.0,0.1,0.971,5724
59,965,96.5,1.0,0.1,0.9705,5824
60,921,92.1,1.0,0.1,0.97,5924
61,1000,100.0,0,0.0,0.9695,6024
62,908,90.8,1.0,0.1,0.969,6124
63,942,94.2,1.0,0.1,0.9685,6224
64,921,92.1,1.0,0.1,0.968,6324
65,956,95.6,1.0,0.1,0.9675,6424
66,917,91.7,1.0,0.1,0.967,6524
67,988,98.8,1.0,0.1,0.9665,6624
68,933,93.3,1.0,0.1,0.966,6724
69,914,91.4,1.0,0.1,0.9655,6824
70,969,96.9,1.0,0.1,0.965,6924
71,926,92.6,1.0,0.1,0.9645,7024
72,964,96.4,1.0,0.1,0.964,7124
73,939,93.9,1.0,0.1,0.9635,7224
74,929,92.9,1.0,0.1,0.963,7324
75,918,91.8,1.0,0.1,0.9625,7424
76,965,96.5,1.0,0.1,0.962,7524
77,919,91.9,1.0,0.1,0.9615,7624
78,991,99.1,1.0,0.1,0.961,7724
79,958,95.8,1.0,0.1,0.9605,7824
80,923,92.3,1.0,0.1,0.96,7924
81,974,97.4,1.0,0.1,0.9595,8024
82,925,92.5,1.0,0.1,0.959,8124
83,922,92.2,1.0,0.1,0.9585,8224
84,939,93.9,1.0,0.1,0.958,8324
85,913,91.3,1.0,0.1,0.9575,8424
86,969,96.9,1.0,0.1,0.957,8524
87,940,94.0,1.0,0.1,0.9565,8624
88,920,92.0,1.0,0.1,0.956,8724
89,938,93.8,1.0,0.1,0.9555,8824
90,1000,100.0,0,0.0,0.955,8924
91,913,91.3,1.0,0.1,0.9545,9024
92,914,91.4,1.0,0.1,0.954,9124
93,917,91.7,1.0,0.1,0.9535,9224
94,906,90.6,1.0,0.1,0.953,9324
95,908,90.8,1.0,0.1,0.9525,9424
96,918,91.8,1.0,0.1,0.952,9524
97,908,90.8,1.0,0.1,0.9515,9624
98,913,91.3,1.0,0.1,0.951,9724
99,917,91.7,1.0,0.1,0.9505,9824
100,934,93.4,1.0,0.1,0.95,9924
101,940,94.0,1.0,0.1,0.9495,10024
102,914,91.4,1.0,0.1,0.949,10096
103,907,90.7,1.0,0.1,0.9485,10196
104,951,95.1,1.0,0.1,0.948,10296
105,947,94.7,1.0,0.1,0.9475,10396
106,941,94.1,1.0,0.1,0.947,10496
107,969,96.9,1.0,0.1,0.9465,10596
108,915,91.5,1.0,0.1,0.946,10696
109,926,92.6,1.0,0.1,0.9455,10796
110,942,94.2,1.0,0.1,0.945,10896
111,958,95.8,1.0,0.1,0.9445,10903
112,920,92.0,1.0,0.1,0.944,11003
113,934,93.4,1.0,0.1,0.9435,11103
114,923,92.3,1.0,0.1,0.943,11203
115,918,91.8,1.0,0.1,0.9425,11303
116,913,91.3,1.0,0.1,0.942,11403
117,940,94.0,1.0,0.1,0.9415,11503
118,923,92.3,1.0,0.1,0.941,11603
119,908,90.8,1.0,0.1,0.9405,11703
120,908,90.8,1.0,0.1,0.94,11803
121,924,92.4,1.0,0.1,0.9395,11903
122,913,91.3,1.0,0.1,0.939,12003
123,940,94.0,1.0,0.1,0.9385,12103
124,908,90.8,1.0,0.1,0.938,12203
125,910,91.0,1.0,0.1,0.9375,12303
126,972,97.2,1.0,0.1,0.937,12403
127,907,90.7,1.0,0.1,0.9365,12503
128,917,91.7,1.0,0.1,0.936,12603
129,913,91.3,1.0,0.1,0.9355,12703
130,941,94.1,1.0,0.1,0.935,12803
131,921,92.1,1.0,0.1,0.9345,12903
132,927,92.7,1.0,0.1,0.934,13003
133,919,91.9,1.0,0.1,0.9335,13103
134,908,90.8,1.0,0.1,0.933,13203
135,921,92.1,1.0,0.1,0.9325,13303
136,916,91.6,1.0,0.1,0.932,13403
137,912,91.2,1.0,0.1,0.9315,13503
138,908,90.8,1.0,0.1,0.931,13603
139,911,91.1,1.0,0.1,0.9305,13703
140,921,92.1,1.0,0.1,0.93,13803
141,911,91.1,1.0,0.1,0.9295,13903
142,916,91.6,1.0,0.1,0.929,14003
143,922,92.2,1.0,0.1,0.9285,14103
144,905,90.5,2.0,0.2,0.928,14203
145,923,92.3,1.0,0.1,0.9275,14303
146,916,91.6,1.0,0.1,0.927,14403
147,918,91.8,1.0,0.1,0.9265,14503
148,908,90.8,1.0,0.1,0.926,14603
149,955,95.5,1.0,0.1,0.9255,14703
150,916,91.6,1.0,0.1,0.925,14803
151,913,91.3,1.0,0.1,0.9245,14903
152,912,91.2,2.0,0.2,0.924,15003
153,933,93.3,1.0,0.1,0.9235,15103
154,919,91.9,1.0,0.1,0.923,15203
155,928,92.8,1.0,0.1,0.9225,15303
156,934,93.4,1.0,0.1,0.922,15403
157,908,90.8,1.0,0.1,0.9215,15503
158,931,93.1,1.0,0.1,0.921,15504
159,914,91.4,1.0,0.1,0.9205,15545
160,979,97.9,1.0,0.1,0.92,15645
161,921,92.1,1.0,0.1,0.9195,15745
162,921,92.1,1.0,0.1,0.919,15845
163,949,94.9,1.0,0.1,0.9185,15945
164,937,93.7,1.0,0.1,0.918,16045
165,922,92.2,1.0,0.1,0.9175,16145
166,918,91.8,1.0,0.1,0.917,16245
167,920,92.0,1.0,0.1,0.9165,16345
168,906,90.6,1.0,0.1,0.916,16445
169,915,91.5,1.0,0.1,0.9155,16545
170,951,95.1,1.0,0.1,0.915,16645
171,912,91.2,1.0,0.1,0.9145,16745
172,923,92.3,1.0,0.1,0.914,16845
173,907,90.7,1.0,0.1,0.9135,16945
174,910,91.0,1.0,0.1,0.913,17045
175,908,90.8,1.0,0.1,0.9125,17145
176,932,93.2,1.0,0.1,0.912,17245
177,917,91.7,1.0,0.1,0.9115,17345
178,907,90.7,1.0,0.1,0.911,17445
179,936,93.6,1.0,0.1,0.9105,17545
180,928,92.8,1.0,0.1,0.91,17645
181,915,91.5,1.0,0.1,0.9095,17745
182,908,90.8,1.0,0.1,0.909,17845
183,918,91.8,1.0,0.1,0.9085,17945
184,918,91.8,1.0,0.1,0.908,18045
185,932,93.2,1.0,0.1,0.9075,18145
186,909,90.9,1.0,0.1,0.907,18245
187,910,91.0,1.0,0.1,0.9065,18345
188,910,91.0,1.0,0.1,0.906,18445
189,917,91.7,1.0,0.1,0.9055,18545
190,941,94.1,1.0,0.1,0.905,18645
191,870,87.0,2.0,0.2,0.9045,18745
192,919,91.9,1.0,0.1,0.904,18845
193,922,92.2,1.0,0.1,0.9035,18945
194,936,93.6,1.0,0.1,0.903,19045
195,914,91.4,1.0,0.1,0.9025,19145
196,907,90.7,1.0,0.1,0.902,19245
197,914,91.4,1.0,0.1,0.9015,19345
198,907,90.7,1.0,0.1,0.901,19445
199,911,91.1,1.0,0.1,0.9005,19545
200,919,91.9,1.0,0.1,0.9,19645
201,909,90.9,1.0,0.1,0.8995,19745
202,908,90.8,1.0,0.1,0.899,19845
203,919,91.9,1.0,0.1,0.8985,19945
204,910,91.0,1.0,0.1,0.898,20045
205,911,91.1,1.0,0.1,0.8975,20145
206,940,94.0,1.0,0.1,0.897,20245
207,912,91.2,1.0,0.1,0.8965,20345
208,929,92.9,1.0,0.1,0.896,20445
209,932,93.2,1.0,0.1,0.8955,20545
210,910,91.0,1.0,0.1,0.895,20645
211,906,90.6,1.0,0.1,0.8945,20745
212,913,91.3,1.0,0.1,0.894,20845
213,974,97.4,1.0,0.1,0.8935,20846
214,926,92.6,1.0,0.1,0.893,20946
215,924,92.4,1.0,0.1,0.8925,21046
216,911,91.1,1.0,0.1,0.892,21146
217,909,90.9,1.0,0.1,0.8915,21246
218,913,91.3,1.0,0.1,0.891,21346
219,952,95.2,1.0,0.1,0.8905,21446
220,909,90.9,1.0,0.1,0.89,21546
221,910,91.0,1.0,0.1,0.8895,21646
222,913,91.3,1.0,0.1,0.889,21746
223,916,91.6,1.0,0.1,0.8885,21846
224,926,92.6,1.0,0.1,0.888,21946
225,919,91.9,1.0,0.1,0.8875,22046
226,948,94.8,1.0,0.1,0.887,22146
227,908,90.8,1.0,0.1,0.8865,22246
228,936,93.6,1.0,0.1,0.886,22346
229,910,91.0,1.0,0.1,0.8855,22446
230,921,92.1,1.0,0.1,0.885,22546
231,907,90.7,1.0,0.1,0.8845,22646
232,911,91.1,1.0,0.1,0.884,22746
233,931,93.1,1.0,0.1,0.8835,22846
234,919,91.9,1.0,0.1,0.883,22946
235,906,90.6,1.0,0.1,0.8825,23046
236,938,93.8,1.0,0.1,0.882,23146
237,910,91.0,1.0,0.1,0.8815,23246
238,916,91.6,1.0,0.1,0.881,23346
239,912,91.2,1.0,0.1,0.8805,23446
240,922,92.2,1.0,0.1,0.88,23546
241,928,92.8,1.0,0.1,0.8795,23646
242,915,91.5,1.0,0.1,0.879,23746
243,912,91.2,1.0,0.1,0.8785,23846
244,923,92.3,1.0,0.1,0.878,23903
245,912,91.2,1.0,0.1,0.8775,24003
246,924,92.4,1.0,0.1,0.877,24103
247,930,93.0,1.0,0.1,0.8765,24203
248,919,91.9,1.0,0.1,0.876,24303
249,915,91.5,1.0,0.1,0.8755,24403
250,907,90.7,1.0,0.1,0.875,24503
251,908,90.8,1.0,0.1,0.8745,24603
252,918,91.8,1.0,0.1,0.874,24703
253,895,89.5,2.0,0.2,0.8735,24803
254,919,91.9,1.0,0.1,0.873,24903
255,922,92.2,1.0,0.1,0.8725,25003
256,926,92.6,1.0,0.1,0.872,25103
257,978,97.8,1.0,0.1,0.8715,25203
258,908,90.8,1.0,0.1,0.871,25303
259,909,90.9,1.0,0.1,0.8705,25403
260,919,91.9,1.0,0.1,0.87,25503
261,913,91.3,1.0,0.1,0.8695,25603
262,921,92.1,1.0,0.1,0.869,25703
263,911,91.1,1.0,0.1,0.8685,25706
264,939,93.9,1.0,0.1,0.868,25732
265,913,91.3,1.0,0.1,0.8675,25832
266,916,91.6,1.0,0.1,0.867,25932
267,910,91.0,1.0,0.1,0.8665,26032
268,936,93.6,1.0,0.1,0.866,26132
269,925,92.5,1.0,0.1,0.8655,26232
270,907,90.7,1.0,0.1,0.865,26332
271,915,91.5,1.0,0.1,0.8645,26432
272,909,90.9,1.0,0.1,0.864,26532
273,909,90.9,1.0,0.1,0.8635,26632
274,913,91.3,1.0,0.1,0.863,26732
275,909,90.9,1.0,0.1,0.8625,26832
276,915,91.5,1.0,0.1,0.862,26932
277,921,92.1,1.0,0.1,0.8615,26934
278,907,90.7,1.0,0.1,0.861,27034
279,912,91.2,1.0,0.1,0.8605,27134
280,906,90.6,1.0,0.1,0.86,27234
281,908,90.8,1.0,0.1,0.8595,27334
282,907,90.7,1.0,0.1,0.859,27434
283,909,90.9,1.0,0.1,0.8585,27534
284,908,90.8,1.0,0.1,0.858,27634
285,936,93.6,1.0,0.1,0.8575,27641
286,909,90.9,1.0,0.1,0.857,27644
287,907,90.7,1.0,0.1,0.8565,27744
288,906,90.6,1.0,0.1,0.856,27844
289,908,90.8,1.0,0.1,0.8555,27944
290,934,93.4,1.0,0.1,0.855,28044
291,910,91.0,1.0,0.1,0.8545,28144
292,910,91.0,1.0,0.1,0.854,28244
293,911,91.1,1.0,0.1,0.8535,28344
294,919,91.9,1.0,0.1,0.853,28444
295,895,89.5,2.0,0.2,0.8525,28544
296,909,90.9,1.0,0.1,0.852,28644
297,924,92.4,1.0,0.1,0.8515,28744
298,907,90.7,1.0,0.1,0.851,28844
299,909,90.9,1.0,0.1,0.8505,28944
300,912,91.2,1.0,0.1,0.85,29044
301,914,91.4,1.0,0.1,0.8495,29144
302,916,91.6,1.0,0.1,0.849,29244
303,915,91.5,1.0,0.1,0.8485,29344
304,917,91.7,1.0,0.1,0.848,29444
305,911,91.1,1.0,0.1,0.8475,29544
306,919,91.9,1.0,0.1,0.847,29644
307,907,90.7,1.0,0.1,0.8465,29744
308,907,90.7,1.0,0.1,0.846,29844
309,935,93.5,1.0,0.1,0.8455,29944
310,913,91.3,1.0,0.1,0.845,30044
311,909,90.9,1.0,0.1,0.8445,30144
312,910,91.0,1.0,0.1,0.844,30244
313,906,90.6,1.0,0.1,0.8435,30344
314,909,90.9,1.0,0.1,0.843,30444
315,916,91.6,1.0,0.1,0.8425,30544
316,906,90.6,1.0,0.1,0.842,30644
317,909,90.9,1.0,0.1,0.8415,30744
318,922,92.2,1.0,0.1,0.841,30844
319,907,90.7,1.0,0.1,0.8405,30944
320,909,90.9,1.0,0.1,0.84,31044
321,911,91.1,1.0,0.1,0.8395,31144
322,909,90.9,1.0,0.1,0.839,31244
323,913,91.3,1.0,0.1,0.8385,31344
324,912,91.2,1.0,0.1,0.838,31444
325,906,90.6,1.0,0.1,0.8375,31544
326,907,90.7,1.0,0.1,0.837,31644
327,920,92.0,1.0,0.1,0.8365,31744
328,912,91.2,1.0,0.1,0.836,31844
329,909,90.9,1.0,0.1,0.8355,31944
330,915,91.5,1.0,0.1,0.835,32044
331,910,91.0,1.0,0.1,0.8345,32144
332,910,91.0,1.0,0.1,0.834,32244
333,909,90.9,1.0,0.1,0.8335,32344
334,914,91.4,1.0,0.1,0.833,32444
335,907,90.7,1.0,0.1,0.8325,32544
336,908,90.8,1.0,0.1,0.832,32644
337,907,90.7,1.0,0.1,0.8315,32744
338,910,91.0,1.0,0.1,0.831,32844
339,908,90.8,1.0,0.1,0.8305,32944
340,911,91.1,1.0,0.1,0.83,33044
341,910,91.0,1.0,0.1,0.8295,33144
342,907,90.7,1.0,0.1,0.829,33244
343,906,90.6,1.0,0.1,0.8285,33344
344,909,90.9,1.0,0.1,0.828,33444
345,906,90.6,1.0,0.1,0.8275,33544
346,913,91.3,1.0,0.1,0.827,33644
347,909,90.9,1.0,0.1,0.8265,33744
348,911,91.1,1.0,0.1,0.826,33844
349,913,91.3,1.0,0.1,0.8255,33944
350,909,90.9,1.0,0.1,0.825,34044
351,908,90.8,1.0,0.1,0.8245,34045
352,907,90.7,1.0,0.1,0.824,34047
353,906,90.6,1.0,0.1,0.8235,34147
354,907,90.7,1.0,0.1,0.823,34247
355,906,90.6,1.0,0.1,0.8225,34254
356,909,90.9,1.0,0.1,0.822,34354
357,906,90.6,1.0,0.1,0.8215,34454
358,906,90.6,1.0,0.1,0.821,34554
359,911,91.1,1.0,0.1,0.8205,34654
360,906,90.6,1.0,0.1,0.82,34754
361,911,91.1,1.0,0.1,0.8195,34854
362,909,90.9,1.0,0.1,0.819,34954
363,906,90.6,1.0,0.1,0.8185,35054
364,906,90.6,1.0,0.1,0.818,35154
365,912,91.2,1.0,0.1,0.8175,35254
366,916,91.6,1.0,0.1,0.817,35354
367,907,90.7,1.0,0.1,0.8165,35454
368,907,90.7,1.0,0.1,0.816,35554
369,907,90.7,1.0,0.1,0.8155,35654
370,906,90.6,2.0,0.2,0.815,35754
371,908,90.8,1.0,0.1,0.8145,35854
372,910,91.0,1.0,0.1,0.814,35954
373,910,91.0,1.0,0.1,0.8135,36054
374,900,90.0,2.0,0.2,0.813,36154
375,845,84.5,2.0,0.2,0.8125,36254
376,909,90.9,1.0,0.1,0.812,36354
377,909,90.9,1.0,0.1,0.8115,36454
378,908,90.8,1.0,0.1,0.811,36554
379,906,90.6,1.0,0.1,0.8105,36654
380,910,91.0,1.0,0.1,0.81,36754
381,907,90.7,1.0,0.1,0.8095,36854
382,908,90.8,1.0,0.1,0.809,36954
383,907,90.7,1.0,0.1,0.8085,37054
384,907,90.7,1.0,0.1,0.808,37154
385,906,90.6,1.0,0.1,0.8075,37254
386,912,91.2,1.0,0.1,0.807,37354
387,906,90.6,1.0,0.1,0.8065,37454
388,907,90.7,1.0,0.1,0.806,37554
389,913,91.3,1.0,0.1,0.8055,37654
390,908,90.8,1.0,0.1,0.805,37754
391,906,90.6,1.0,0.1,0.8045,37854
392,909,90.9,1.0,0.1,0.804,37954
393,908,90.8,1.0,0.1,0.8035,38054
394,906,90.6,1.0,0.1,0.803,38154
395,906,90.6,1.0,0.1,0.8025,38254
396,921,92.1,1.0,0.1,0.802,38354
397,906,90.6,1.0,0.1,0.8015,38454
398,906,90.6,1.0,0.1,0.801,38554
399,906,90.6,1.0,0.1,0.8005,38654
400,906,90.6,1.0,0.1,0.8,38754
401,906,90.6,1.0,0.1,0.7995,38854
402,906,90.6,1.0,0.1,0.799,38954
403,906,90.6,1.0,0.1,0.7985,39054
404,906,90.6,1.0,0.1,0.798,39154
405,906,90.6,1.0,0.1,0.7975,39254
406,906,90.6,1.0,0.1,0.797,39354
407,906,90.6,1.0,0.1,0.7965,39454
408,906,90.6,1.0,0.1,0.796,39554
409,906,90.6,1.0,0.1,0.7955,39654
410,906,90.6,1.0,0.1,0.795,39754
411,906,90.6,1.0,0.1,0.7945,39854
412,906,90.6,1.0,0.1,0.794,39954
413,906,90.6,1.0,0.1,0.7935,39957
414,906,90.6,1.0,0.1,0.793,40057
415,906,90.6,1.0,0.1,0.7925,40157
416,906,90.6,1.0,0.1,0.792,40257
417,903,90.3,2.0,0.2,0.7915,40357
418,906,90.6,1.0,0.1,0.791,40457
419,904,90.4,2.0,0.2,0.7905,40557
420,906,90.6,1.0,0.1,0.79,40657
421,906,90.6,1.0,0.1,0.7895,40757
422,906,90.6,1.0,0.1,0.789,40857
423,865,86.5,2.0,0.2,0.7885,40860
424,906,90.6,1.0,0.1,0.788,40960
425,906,90.6,1.0,0.1,0.7875,41060
426,906,90.6,1.0,0.1,0.787,41160
427,906,90.6,1.0,0.1,0.7865,41260
428,906,90.6,1.0,0.1,0.786,41360
429,906,90.6,1.0,0.1,0.7855,41460
430,854,85.4,2.0,0.2,0.785,41560
431,906,90.6,1.0,0.1,0.7845,41660
432,906,90.6,1.0,0.1,0.784,41664
433,906,90.6,1.0,0.1,0.7835,41764
434,906,90.6,1.0,0.1,0.783,41864
435,906,90.6,1.0,0.1,0.7825,41964
436,906,90.6,1.0,0.1,0.782,42064
437,906,90.6,1.0,0.1,0.7815,42164
438,906,90.6,1.0,0.1,0.781,42264
439,906,90.6,1.0,0.1,0.7805,42364
440,906,90.6,1.0,0.1,0.78,42464
441,906,90.6,1.0,0.1,0.7795,42564
442,906,90.6,1.0,0.1,0.779,42664
443,906,90.6,1.0,0.1,0.7785,42764
444,906,90.6,1.0,0.1,0.778,42864
445,906,90.6,1.0,0.1,0.7775,42964
446,906,90.6,1.0,0.1,0.777,43064
447,906,90.6,1.0,0.1,0.7765,43164
448,906,90.6,1.0,0.1,0.776,43264
449,906,90.6,1.0,0.1,0.7755,43364
450,906,90.6,1.0,0.1,0.775,43367
451,906,90.6,1.0,0.1,0.7745,43467
452,906,90.6,1.0,0.1,0.774,43567
453,906,90.6,1.0,0.1,0.7735,43667
454,906,90.6,1.0,0.1,0.773,43767
455,906,90.6,1.0,0.1,0.7725,43867
456,906,90.6,1.0,0.1,0.772,43967
457,906,90.6,1.0,0.1,0.7715,44067
458,906,90.6,1.0,0.1,0.771,44167
