"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
0,95.092,94.1948722869,95.9891277131,0.082,0.0709706629507,0.0930293370493,0.0,0.0,0.0
1,96.378,95.4068253102,97.3491746898,0.064,0.0502200555349,0.0777799444651,100.0,100.0,100.0
2,96.346,95.4808539622,97.2111460378,0.072,0.0591100422507,0.0848899577493,200.0,200.0,200.0
3,95.31,94.3904179353,96.2295820647,0.084,0.0707071341952,0.0972928658048,299.34,298.400736611,300.279263389
4,94.694,93.7342793466,95.6537206534,0.084,0.0695201259779,0.0984798740221,396.6,392.647846957,400.552153043
5,95.782,94.8166746668,96.7473253332,0.074,0.0601603759813,0.0878396240187,496.6,492.647846957,500.552153043
6,95.648,94.7269852544,96.5690147456,0.076,0.0637392045532,0.0882607954468,593.08,586.902770685,599.257229315
7,95.538,94.542294218,96.533705782,0.07,0.0568442419618,0.0831557580382,688.96,681.355419111,696.564580889
8,95.968,95.0670477597,96.8689522403,0.074,0.0614075926611,0.0865924073389,788.96,781.355419111,796.564580889
9,96.01,95.0539301458,96.9660698542,0.074,0.0614075926611,0.0865924073389,887.0,878.639252197,895.360747803
10,95.302,94.3442895569,96.2597104431,0.082,0.0695656626176,0.0944343373824,984.62,975.611676022,993.628323978
11,94.886,93.8761232463,95.8958767537,0.086,0.0745023677971,0.0974976322029,1084.62,1075.61167602,1093.62832398
12,95.24,94.2740719255,96.2059280745,0.08,0.0685167129458,0.0914832870542,1183.26,1174.11728946,1192.40271054
13,94.81,93.9647050687,95.6552949313,0.084,0.0734753935694,0.0945246064306,1283.26,1274.11728946,1292.40271054
14,94.876,94.035117536,95.716882464,0.084,0.0720110963424,0.0959889036576,1381.32,1371.65382077,1390.98617923
15,96.038,95.0590221652,97.0169778348,0.07,0.0568442419618,0.0831557580382,1481.32,1471.65382077,1490.98617923
16,94.686,93.8351510008,95.5368489992,0.082,0.0709706629507,0.0930293370493,1578.4,1568.26278729,1588.53721271
17,95.458,94.5200521358,96.3959478642,0.084,0.0720110963424,0.0959889036576,1676.88,1666.55132109,1687.20867891
18,96.072,95.1874506645,96.9565493355,0.074,0.0614075926611,0.0865924073389,1776.88,1766.55132109,1787.20867891
19,95.184,94.2448706956,96.1231293044,0.08,0.0685167129458,0.0914832870542,1873.3,1861.07848994,1885.52151006
20,94.284,93.4409288467,95.1270711533,0.088,0.078670933496,0.097329066504,1970.36,1956.39189465,1984.32810535
21,95.642,94.7538790974,96.5301209026,0.078,0.0661077269631,0.0898922730369,2068.5,2053.32290719,2083.67709281
22,95.672,94.7680960666,96.5759039334,0.078,0.0647942198876,0.0912057801124,2168.5,2153.32290719,2183.67709281
23,94.428,93.5686111736,95.2873888264,0.088,0.078670933496,0.097329066504,2268.5,2253.32290719,2283.67709281
24,95.516,94.5449768862,96.4870231138,0.076,0.0637392045532,0.0882607954468,2367.82,2352.60912054,2383.03087946
25,95.234,94.2353895292,96.2326104708,0.072,0.0591100422507,0.0848899577493,2465.84,2450.45492788,2481.22507212
26,94.986,94.1750650574,95.7969349426,0.088,0.078670933496,0.097329066504,2565.84,2550.45492788,2581.22507212
27,95.082,94.1932186186,95.9707813814,0.088,0.0756321213371,0.100367878663,2664.24,2648.81179037,2679.66820963
28,94.54,93.5736283462,95.5063716538,0.08,0.0685167129458,0.0914832870542,2762.94,2747.42030356,2778.45969644
29,95.102,94.1229783895,96.0810216105,0.076,0.0637392045532,0.0882607954468,2857.22,2839.57929291,2874.86070709
30,93.898,92.982437552,94.813562448,0.084,0.0734753935694,0.0945246064306,2955.4,2937.24133182,2973.55866818
31,94.158,93.3211155214,94.9948844786,0.092,0.0842116557907,0.0997883442093,3051.4,3033.23978874,3069.56021126
32,94.69,93.7427288671,95.6372711329,0.082,0.0709706629507,0.0930293370493,3145.82,3126.33139606,3165.30860394
33,94.138,93.2086889657,95.0673110343,0.086,0.0745023677971,0.0974976322029,3243.86,3222.13093156,3265.58906844
34,94.5,93.6304489866,95.3695510134,0.086,0.0760386207842,0.0959613792158,3343.86,3322.13093156,3365.58906844
35,95.572,94.5577416368,96.5862583632,0.072,0.0591100422507,0.0848899577493,3443.72,3421.95310906,3465.48689094
36,94.728,93.8416821441,95.6143178559,0.086,0.0760386207842,0.0959613792158,3540.48,3518.37525107,3562.58474893
37,94.746,93.8194365942,95.6725634058,0.082,0.0709706629507,0.0930293370493,3637.5,3615.17030246,3659.82969754
38,95.456,94.5423177771,96.3696822229,0.082,0.0709706629507,0.0930293370493,3737.06,3714.80467496,3759.31532504
39,94.544,93.6709083842,95.4170916158,0.09,0.0796491049288,0.100350895071,3835.2,3812.51738308,3857.88261692
40,95.204,94.2995870718,96.1084129282,0.088,0.0770456423179,0.0989543576821,3933.52,3910.98214828,3956.05785172
41,93.986,93.1167900725,94.8552099275,0.09,0.0813875347093,0.0986124652907,4033.52,4010.98214828,4056.05785172
42,94.4,93.5677587231,95.2322412769,0.092,0.0842116557907,0.0997883442093,4131.22,4108.93330272,4153.50669728
43,93.95,93.0749266226,94.8250733774,0.09,0.0813875347093,0.0986124652907,4225.38,4202.6395476,4248.1204524
44,93.912,93.0852703207,94.7387296793,0.092,0.0842116557907,0.0997883442093,4325.38,4302.6395476,4348.1204524
45,94.262,93.4218955194,95.1021044806,0.09,0.0796491049288,0.100350895071,4424.24,4401.69327719,4446.78672281
46,94.376,93.4635923216,95.2884076784,0.086,0.0745023677971,0.0974976322029,4521.94,4498.36648627,4545.51351373
47,94.212,93.3808757297,95.0431242703,0.094,0.0850865722841,0.102913427716,4621.94,4598.36648627,4645.51351373
48,94.5,93.6838379446,95.3161620554,0.088,0.078670933496,0.097329066504,4718.22,4694.43016744,4742.00983256
49,94.446,93.5600882191,95.3319117809,0.094,0.0833973746629,0.104602625337,4818.22,4794.43016744,4842.00983256
50,93.548,92.7461359526,94.3498640474,0.094,0.0871821760617,0.100817823938,4916.54,4892.22983723,4940.85016277
51,93.766,92.8600456102,94.6719543898,0.086,0.0760386207842,0.0959613792158,5012.94,4988.47484346,5037.40515654
52,93.9,93.1701108567,94.6298891433,0.094,0.0871821760617,0.100817823938,5110.96,5086.09490732,5135.82509268
53,94.008,93.2045423791,94.8114576209,0.092,0.0842116557907,0.0997883442093,5206.28,5180.47368895,5232.08631105
54,93.842,92.9700431928,94.7139568072,0.09,0.0813875347093,0.0986124652907,5302.62,5275.08668556,5330.15331444
55,93.854,92.9573800861,94.7506199139,0.088,0.078670933496,0.097329066504,5399.3,5370.7178442,5427.8821558
56,94.912,93.9242597389,95.8997402611,0.08,0.0685167129458,0.0914832870542,5497.58,5468.84233767,5526.31766233
57,94.38,93.4602073442,95.2997926558,0.086,0.0760386207842,0.0959613792158,5597.58,5568.84233767,5626.31766233
