"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
0,98.64,97.9784639885,99.3015360115,0.032,0.0186083011184,0.0453916988816,0.0,0.0,0.0
1,98.722,98.1006732514,99.3433267486,0.032,0.0186083011184,0.0453916988816,98.72,96.1477436999,101.2922563
2,98.498,97.8446249326,99.1513750674,0.046,0.0305828585163,0.0614171414837,192.76,186.027189078,199.492810922
3,98.724,98.0802042816,99.3677957184,0.034,0.0192382802732,0.0487617197268,290.7,283.28610627,298.11389373
4,98.256,97.5604037374,98.9515962626,0.046,0.0316918980596,0.0603081019404,384.8,375.27458051,394.32541949
5,98.39,97.6395944281,99.1404055719,0.038,0.0229288692858,0.0530711307142,481.48,471.258223126,491.701776874
6,98.44,97.7061694379,99.1738305621,0.042,0.0267116948264,0.0572883051736,575.64,563.297367982,587.982632018
7,98.344,97.5996615178,99.0883384822,0.036,0.0222200555349,0.0497799444651,670.42,656.43416602,684.40583398
8,98.658,98.0451729463,99.2708270537,0.04,0.0248090391105,0.0551909608895,763.34,748.069752807,778.610247193
9,98.666,98.0146685555,99.3173314445,0.034,0.0192382802732,0.0487617197268,858.3,841.108475115,875.491524885
10,98.438,97.7690088373,99.1069911627,0.042,0.0267116948264,0.0572883051736,954.66,937.42783551,971.89216449
11,98.602,97.9307065937,99.2732934063,0.032,0.0174293421793,0.0465706578207,1046.54,1028.46684106,1064.61315894
12,98.11,97.4202316749,98.7997683251,0.054,0.0385828585163,0.0694171414837,1143.74,1124.57255608,1162.90744392
13,98.988,98.3524999128,99.6235000872,0.022,0.0101077269631,0.0338922730369,1238.68,1218.48569695,1258.87430305
14,98.634,97.9588107953,99.3091892047,0.03,0.0156458911822,0.0443541088178,1335.82,1314.12078854,1357.51921146
15,98.264,97.5341840299,98.9938159701,0.04,0.0248090391105,0.0551909608895,1431.94,1410.06626644,1453.81373356
16,98.458,97.7168810283,99.1991189717,0.036,0.0222200555349,0.0497799444651,1524.82,1501.94730055,1547.69269945
17,98.28,97.4641005352,99.0958994648,0.032,0.0174293421793,0.0465706578207,1621.42,1596.72078089,1646.11921911
18,99.08,98.4629135397,99.6970864603,0.026,0.0121603759813,0.0398396240187,1710.82,1683.77334292,1737.86665708
19,98.526,97.8703251745,99.1816748255,0.048,0.0315183824813,0.0644816175187,1806.24,1776.86535892,1835.61464108
20,98.144,97.4331446471,98.8548553529,0.052,0.0345469147018,0.0694530852982,1895.9,1867.15624923,1924.64375077
21,98.054,97.3060154467,98.8019845533,0.05,0.0356458911822,0.0643541088178,1995.9,1967.15624923,2024.64375077
22,97.784,96.9029549502,98.6650450498,0.042,0.0278308149603,0.0561691850397,2094.46,2065.01895872,2123.90104128
23,97.34,96.3749767764,98.3050232236,0.054,0.0375484127841,0.0704515872159,2190.78,2160.90853519,2220.65146481
24,97.69,96.8169822049,98.5630177951,0.056,0.0395985854756,0.0724014145244,2290.78,2260.90853519,2320.65146481
25,97.68,96.7138671713,98.6461328287,0.048,0.0325508173148,0.0634491826852,2385.78,2355.39697744,2416.16302256
26,97.812,96.9416410768,98.6823589232,0.05,0.0325374729455,0.0674625270545,2479.48,2449.05604786,2509.90395214
27,98.26,97.5341645067,98.9858354933,0.046,0.0316918980596,0.0603081019404,2574.78,2544.59832075,2604.96167925
28,97.788,96.9361320262,98.6398679738,0.05,0.0356458911822,0.0643541088178,2670.22,2638.1004286,2702.3395714
29,98.086,97.2834626104,98.8885373896,0.048,0.0315183824813,0.0644816175187,2767.08,2735.12143034,2799.03856966
30,96.858,95.9438140463,97.7721859537,0.068,0.0503590396944,0.0856409603056,2862.84,2828.96340984,2896.71659016
31,97.814,96.8364523506,98.7915476494,0.052,0.0327505031959,0.0712494968041,2957.16,2922.60959817,2991.71040183
32,97.81,96.8238027321,98.7961972679,0.042,0.0246891590075,0.0593108409925,3053.32,3019.41791942,3087.22208058
33,97.646,96.7274768194,98.5645231806,0.054,0.0356536744086,0.0723463255914,3151.22,3116.95276266,3185.48723734
34,97.642,96.649922916,98.634077084,0.05,0.0335083845322,0.0664916154678,3248.88,3214.92073204,3282.83926796
35,97.584,96.7035538331,98.4644461669,0.058,0.0416690862021,0.0743309137979,3347.66,3313.5713827,3381.7486173
36,97.092,95.9928412616,98.1911587384,0.052,0.0345469147018,0.0694530852982,3443.08,3409.15452177,3477.00547823
37,97.54,96.6253109533,98.4546890467,0.056,0.0395985854756,0.0724014145244,3540.14,3505.70334667,3574.57665333
38,97.088,96.016115884,98.159884116,0.054,0.0365752706674,0.0714247293326,3637.46,3602.99046928,3671.92953072
39,97.546,96.5280564749,98.5639435251,0.048,0.0315183824813,0.0644816175187,3729.86,3695.20177267,3764.51822733
40,97.214,96.238511662,98.189488338,0.062,0.0448806565024,0.0791193434976,3824.34,3789.43158126,3859.24841874
41,97.604,96.6374414214,98.5705585786,0.05,0.0345401516713,0.0654598483287,3916.78,3882.26301313,3951.29698687
