episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,902,90.2,1.0,0.1,1.0,0
1,925,92.5,1.0,0.1,0.9995,100
2,901,90.1,1.0,0.1,0.999,200
3,906,90.6,1.0,0.1,0.9985,300
4,905,90.5,1.0,0.1,0.998,400
5,971,97.1,1.0,0.1,0.9975,500
6,909,90.9,1.0,0.1,0.997,600
7,902,90.2,1.0,0.1,0.9965,700
8,901,90.1,1.0,0.1,0.996,800
9,909,90.9,1.0,0.1,0.9955,900
10,925,92.5,1.0,0.1,0.995,1000
11,901,90.1,1.0,0.1,0.9945,1100
12,909,90.9,1.0,0.1,0.994,1200
13,917,91.7,1.0,0.1,0.9935,1300
14,930,93.0,1.0,0.1,0.993,1400
15,903,90.3,1.0,0.1,0.9925,1500
16,907,90.7,1.0,0.1,0.992,1600
17,904,90.4,1.0,0.1,0.9915,1700
18,903,90.3,1.0,0.1,0.991,1800
19,901,90.1,1.0,0.1,0.9905,1900
20,906,90.6,1.0,0.1,0.99,2000
21,901,90.1,1.0,0.1,0.9895,2100
22,1000,100.0,0,0.0,0.989,2200
23,907,90.7,1.0,0.1,0.9885,2300
24,910,91.0,1.0,0.1,0.988,2400
25,915,91.5,1.0,0.1,0.9875,2500
26,887,88.7,2.0,0.2,0.987,2600
27,901,90.1,1.0,0.1,0.9865,2700
28,911,91.1,1.0,0.1,0.986,2800
29,919,91.9,1.0,0.1,0.9855,2900
30,901,90.1,1.0,0.1,0.985,3000
31,1000,100.0,0,0.0,0.9845,3100
32,930,93.0,1.0,0.1,0.984,3200
33,913,91.3,1.0,0.1,0.9835,3300
34,905,90.5,1.0,0.1,0.983,3400
35,932,93.2,1.0,0.1,0.9825,3500
36,1000,100.0,0,0.0,0.982,3600
37,918,91.8,1.0,0.1,0.9815,3700
38,1000,100.0,0,0.0,0.981,3800
39,1000,100.0,0,0.0,0.9805,3900
40,953,95.3,1.0,0.1,0.98,4000
41,915,91.5,1.0,0.1,0.9795,4100
42,948,94.8,1.0,0.1,0.979,4200
43,921,92.1,1.0,0.1,0.9785,4300
44,1000,100.0,0,0.0,0.978,4400
45,903,90.3,1.0,0.1,0.9775,4500
46,908,90.8,1.0,0.1,0.977,4600
47,975,97.5,1.0,0.1,0.9765,4700
48,1000,100.0,0,0.0,0.976,4800
49,902,90.2,1.0,0.1,0.9755,4900
50,904,90.4,1.0,0.1,0.975,4910
51,905,90.5,1.0,0.1,0.9745,5010
52,921,92.1,1.0,0.1,0.974,5110
53,901,90.1,1.0,0.1,0.9735,5210
54,906,90.6,1.0,0.1,0.973,5310
55,906,90.6,1.0,0.1,0.9725,5410
56,905,90.5,1.0,0.1,0.972,5510
57,901,90.1,1.0,0.1,0.9715,5610
58,901,90.1,1.0,0.1,0.971,5710
59,901,90.1,1.0,0.1,0.9705,5810
60,910,91.0,1.0,0.1,0.97,5910
61,934,93.4,1.0,0.1,0.9695,6010
62,914,91.4,1.0,0.1,0.969,6110
63,906,90.6,1.0,0.1,0.9685,6210
64,866,86.6,2.0,0.2,0.968,6310
65,919,91.9,1.0,0.1,0.9675,6410
66,1000,100.0,0,0.0,0.967,6510
67,918,91.8,1.0,0.1,0.9665,6610
68,901,90.1,1.0,0.1,0.966,6618
69,915,91.5,1.0,0.1,0.9655,6718
70,901,90.1,1.0,0.1,0.965,6818
71,905,90.5,1.0,0.1,0.9645,6918
72,901,90.1,1.0,0.1,0.964,6986
73,901,90.1,1.0,0.1,0.9635,7086
74,901,90.1,1.0,0.1,0.963,7186
75,901,90.1,1.0,0.1,0.9625,7286
76,901,90.1,1.0,0.1,0.962,7386
77,901,90.1,1.0,0.1,0.9615,7486
78,901,90.1,1.0,0.1,0.961,7491
79,901,90.1,1.0,0.1,0.9605,7591
80,901,90.1,1.0,0.1,0.96,7691
81,901,90.1,1.0,0.1,0.9595,7791
82,901,90.1,1.0,0.1,0.959,7891
83,901,90.1,1.0,0.1,0.9585,7991
84,901,90.1,1.0,0.1,0.958,8091
85,901,90.1,1.0,0.1,0.9575,8191
86,901,90.1,1.0,0.1,0.957,8291
87,901,90.1,1.0,0.1,0.9565,8391
88,901,90.1,1.0,0.1,0.956,8491
89,901,90.1,1.0,0.1,0.9555,8591
90,901,90.1,1.0,0.1,0.955,8691
91,901,90.1,1.0,0.1,0.9545,8791
92,901,90.1,1.0,0.1,0.954,8891
93,901,90.1,1.0,0.1,0.9535,8991
94,901,90.1,1.0,0.1,0.953,9091
95,901,90.1,1.0,0.1,0.9525,9191
96,901,90.1,1.0,0.1,0.952,9291
97,901,90.1,1.0,0.1,0.9515,9391
98,901,90.1,1.0,0.1,0.951,9491
99,901,90.1,1.0,0.1,0.9505,9591
100,901,90.1,1.0,0.1,0.95,9691
101,901,90.1,1.0,0.1,0.9495,9791
102,901,90.1,1.0,0.1,0.949,9891
103,901,90.1,1.0,0.1,0.9485,9991
104,901,90.1,1.0,0.1,0.948,9993
105,901,90.1,1.0,0.1,0.9475,10093
106,901,90.1,1.0,0.1,0.947,10193
107,901,90.1,1.0,0.1,0.9465,10293
108,901,90.1,1.0,0.1,0.946,10393
109,901,90.1,1.0,0.1,0.9455,10493
110,901,90.1,1.0,0.1,0.945,10593
111,901,90.1,1.0,0.1,0.9445,10693
112,901,90.1,1.0,0.1,0.944,10793
113,901,90.1,1.0,0.1,0.9435,10893
114,901,90.1,1.0,0.1,0.943,10993
115,901,90.1,1.0,0.1,0.9425,11093
116,901,90.1,1.0,0.1,0.942,11193
117,901,90.1,1.0,0.1,0.9415,11293
118,901,90.1,1.0,0.1,0.941,11393
119,901,90.1,1.0,0.1,0.9405,11493
120,901,90.1,1.0,0.1,0.94,11593
121,901,90.1,1.0,0.1,0.9395,11693
122,901,90.1,1.0,0.1,0.939,11793
123,901,90.1,1.0,0.1,0.9385,11810
124,901,90.1,1.0,0.1,0.938,11812
125,901,90.1,1.0,0.1,0.9375,11912
126,901,90.1,1.0,0.1,0.937,12012
127,901,90.1,1.0,0.1,0.9365,12112
128,901,90.1,1.0,0.1,0.936,12212
129,901,90.1,1.0,0.1,0.9355,12312
130,901,90.1,1.0,0.1,0.935,12412
131,901,90.1,1.0,0.1,0.9345,12512
132,896,89.6,2.0,0.2,0.934,12524
133,901,90.1,1.0,0.1,0.9335,12624
134,901,90.1,1.0,0.1,0.933,12724
135,901,90.1,1.0,0.1,0.9325,12824
136,901,90.1,1.0,0.1,0.932,12924
137,901,90.1,1.0,0.1,0.9315,13024
138,901,90.1,1.0,0.1,0.931,13124
139,891,89.1,2.0,0.2,0.9305,13224
140,886,88.6,2.0,0.2,0.93,13324
141,901,90.1,1.0,0.1,0.9295,13424
142,901,90.1,1.0,0.1,0.929,13524
143,901,90.1,1.0,0.1,0.9285,13624
144,901,90.1,1.0,0.1,0.928,13724
145,901,90.1,1.0,0.1,0.9275,13824
146,901,90.1,1.0,0.1,0.927,13924
147,901,90.1,1.0,0.1,0.9265,14024
148,901,90.1,1.0,0.1,0.926,14124
149,901,90.1,1.0,0.1,0.9255,14224
150,901,90.1,1.0,0.1,0.925,14324
151,901,90.1,1.0,0.1,0.9245,14424
152,901,90.1,1.0,0.1,0.924,14524
153,901,90.1,1.0,0.1,0.9235,14624
154,901,90.1,1.0,0.1,0.923,14724
155,901,90.1,1.0,0.1,0.9225,14824
156,901,90.1,1.0,0.1,0.922,14924
157,901,90.1,1.0,0.1,0.9215,15024
158,901,90.1,1.0,0.1,0.921,15124
159,901,90.1,1.0,0.1,0.9205,15224
160,901,90.1,1.0,0.1,0.92,15324
161,901,90.1,1.0,0.1,0.9195,15424
162,901,90.1,1.0,0.1,0.919,15524
163,901,90.1,1.0,0.1,0.9185,15624
164,901,90.1,1.0,0.1,0.918,15724
165,901,90.1,1.0,0.1,0.9175,15824
166,901,90.1,1.0,0.1,0.917,15924
167,901,90.1,1.0,0.1,0.9165,16024
168,901,90.1,1.0,0.1,0.916,16124
169,901,90.1,1.0,0.1,0.9155,16224
