episode,steps_total,steps_mean,reward_total,reward_mean,epsilon,step_count
0,973,97.3,1.0,0.1,1.0,0
1,1000,100.0,0,0.0,0.9995,100
2,914,91.4,1.0,0.1,0.999,200
3,1000,100.0,0,0.0,0.9985,300
4,920,92.0,1.0,0.1,0.998,400
5,936,93.6,1.0,0.1,0.9975,500
6,986,98.6,1.0,0.1,0.997,600
7,948,94.8,1.0,0.1,0.9965,700
8,931,93.1,1.0,0.1,0.996,800
9,984,98.4,1.0,0.1,0.9955,900
10,942,94.2,1.0,0.1,0.995,1000
11,1000,100.0,0,0.0,0.9945,1100
12,986,98.6,1.0,0.1,0.994,1200
13,990,99.0,1.0,0.1,0.9935,1210
14,907,90.7,1.0,0.1,0.993,1310
15,950,95.0,1.0,0.1,0.9925,1400
16,925,92.5,1.0,0.1,0.992,1500
17,909,90.9,1.0,0.1,0.9915,1600
18,945,94.5,1.0,0.1,0.991,1700
19,961,96.1,2.0,0.2,0.9905,1800
20,997,99.7,1.0,0.1,0.99,1900
21,908,90.8,1.0,0.1,0.9895,2000
22,974,97.4,1.0,0.1,0.989,2100
23,920,92.0,1.0,0.1,0.9885,2200
24,906,90.6,1.0,0.1,0.988,2300
25,913,91.3,1.0,0.1,0.9875,2400
26,910,91.0,1.0,0.1,0.987,2500
27,928,92.8,1.0,0.1,0.9865,2600
28,920,92.0,1.0,0.1,0.986,2700
29,932,93.2,1.0,0.1,0.9855,2800
30,914,91.4,1.0,0.1,0.985,2900
31,958,95.8,1.0,0.1,0.9845,3000
32,905,90.5,2.0,0.2,0.984,3100
33,916,91.6,1.0,0.1,0.9835,3200
34,945,94.5,1.0,0.1,0.983,3300
35,906,90.6,1.0,0.1,0.9825,3400
36,955,95.5,1.0,0.1,0.982,3500
37,946,94.6,1.0,0.1,0.9815,3600
38,915,91.5,1.0,0.1,0.981,3700
39,939,93.9,1.0,0.1,0.9805,3800
40,926,92.6,1.0,0.1,0.98,3900
41,913,91.3,1.0,0.1,0.9795,4000
42,978,97.8,1.0,0.1,0.979,4100
43,929,92.9,1.0,0.1,0.9785,4200
44,913,91.3,1.0,0.1,0.978,4300
45,965,96.5,1.0,0.1,0.9775,4400
46,922,92.2,1.0,0.1,0.977,4500
47,944,94.4,1.0,0.1,0.9765,4600
48,965,96.5,1.0,0.1,0.976,4700
49,927,92.7,1.0,0.1,0.9755,4800
50,911,91.1,2.0,0.2,0.975,4900
51,942,94.2,1.0,0.1,0.9745,5000
52,911,91.1,1.0,0.1,0.974,5100
53,917,91.7,1.0,0.1,0.9735,5200
54,984,98.4,1.0,0.1,0.973,5300
55,890,89.0,2.0,0.2,0.9725,5400
56,908,90.8,1.0,0.1,0.972,5500
57,921,92.1,1.0,0.1,0.9715,5600
58,909,90.9,1.0,0.1,0.971,5700
59,913,91.3,1.0,0.1,0.9705,5800
60,846,84.6,3.0,0.3,0.97,5900
61,928,92.8,2.0,0.2,0.9695,6000
62,927,92.7,1.0,0.1,0.969,6100
63,930,93.0,1.0,0.1,0.9685,6200
64,978,97.8,1.0,0.1,0.968,6300
65,970,97.0,1.0,0.1,0.9675,6400
66,915,91.5,1.0,0.1,0.967,6500
67,922,92.2,1.0,0.1,0.9665,6600
68,924,92.4,1.0,0.1,0.966,6700
69,887,88.7,2.0,0.2,0.9655,6800
70,1000,100.0,0,0.0,0.965,6900
71,939,93.9,1.0,0.1,0.9645,7000
72,927,92.7,1.0,0.1,0.964,7100
73,851,85.1,2.0,0.2,0.9635,7200
74,945,94.5,1.0,0.1,0.963,7300
75,910,91.0,1.0,0.1,0.9625,7400
76,916,91.6,1.0,0.1,0.962,7500
77,871,87.1,2.0,0.2,0.9615,7600
78,928,92.8,2.0,0.2,0.961,7700
79,921,92.1,1.0,0.1,0.9605,7800
80,923,92.3,1.0,0.1,0.96,7900
81,907,90.7,1.0,0.1,0.9595,8000
82,909,90.9,1.0,0.1,0.959,8100
83,907,90.7,1.0,0.1,0.9585,8200
84,916,91.6,1.0,0.1,0.958,8300
85,910,91.0,1.0,0.1,0.9575,8400
86,916,91.6,1.0,0.1,0.957,8500
87,910,91.0,1.0,0.1,0.9565,8600
88,912,91.2,1.0,0.1,0.956,8700
89,872,87.2,2.0,0.2,0.9555,8800
90,906,90.6,1.0,0.1,0.955,8900
91,817,81.7,3.0,0.3,0.9545,9000
92,906,90.6,1.0,0.1,0.954,9100
93,906,90.6,1.0,0.1,0.9535,9200
94,839,83.9,2.0,0.2,0.953,9300
95,869,86.9,2.0,0.2,0.9525,9400
96,898,89.8,2.0,0.2,0.952,9500
97,906,90.6,1.0,0.1,0.9515,9600
98,906,90.6,1.0,0.1,0.951,9700
99,789,78.9,3.0,0.3,0.9505,9800
100,891,89.1,2.0,0.2,0.95,9900
101,874,87.4,2.0,0.2,0.9495,10000
102,824,82.4,2.0,0.2,0.949,10100
103,833,83.3,2.0,0.2,0.9485,10200
104,872,87.2,2.0,0.2,0.948,10300
105,763,76.3,3.0,0.3,0.9475,10400
106,906,90.6,1.0,0.1,0.947,10500
107,809,80.9,3.0,0.3,0.9465,10600
108,820,82.0,4.0,0.4,0.946,10700
109,841,84.1,2.0,0.2,0.9455,10800
110,838,83.8,2.0,0.2,0.945,10900
111,858,85.8,2.0,0.2,0.9445,11000
112,787,78.7,3.0,0.3,0.944,11100
113,906,90.6,1.0,0.1,0.9435,11200
114,906,90.6,1.0,0.1,0.943,11300
115,821,82.1,3.0,0.3,0.9425,11400
116,906,90.6,1.0,0.1,0.942,11500
117,837,83.7,3.0,0.3,0.9415,11600
118,841,84.1,2.0,0.2,0.941,11700
119,796,79.6,3.0,0.3,0.9405,11800
120,784,78.4,3.0,0.3,0.94,11900
121,771,77.1,3.0,0.3,0.9395,11991
122,772,77.2,3.0,0.3,0.939,12091
123,879,87.9,3.0,0.3,0.9385,12177
124,732,73.2,5.0,0.5,0.938,12190
125,858,85.8,2.0,0.2,0.9375,12290
126,835,83.5,2.0,0.2,0.937,12390
127,830,83.0,2.0,0.2,0.9365,12490
128,743,74.3,5.0,0.5,0.936,12590
129,861,86.1,2.0,0.2,0.9355,12629
130,784,78.4,3.0,0.3,0.935,12729
131,822,82.2,3.0,0.3,0.9345,12829
132,836,83.6,2.0,0.2,0.934,12863
133,761,76.1,3.0,0.3,0.9335,12934
134,806,80.6,3.0,0.3,0.933,13034
