episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
0,1000,100.0,0,0.0,1.0
10,943,94.3,1.0,0.1,0.9955
20,933,93.3,1.0,0.1,0.9905
30,914,91.4,1.0,0.1,0.9855
40,911,91.1,1.0,0.1,0.9805
50,911,91.1,1.0,0.1,0.9755
60,909,90.9,1.0,0.1,0.9705
70,906,90.6,1.0,0.1,0.9655
80,906,90.6,1.0,0.1,0.9605
90,906,90.6,1.0,0.1,0.9555
100,904,90.4,1.0,0.1,0.9505
110,907,90.7,1.0,0.1,0.9455
120,905,90.5,1.0,0.1,0.9405
130,908,90.8,1.0,0.1,0.9355
140,907,90.7,1.0,0.1,0.9305
150,883,88.3,2.0,0.2,0.9255
160,905,90.5,1.0,0.1,0.9205
170,906,90.6,1.0,0.1,0.9155
180,905,90.5,1.0,0.1,0.9105
190,904,90.4,1.0,0.1,0.9055
200,907,90.7,1.0,0.1,0.9005
210,877,87.7,2.0,0.2,0.8955
220,834,83.4,2.0,0.2,0.8905
230,905,90.5,1.0,0.1,0.8855
240,905,90.5,1.0,0.1,0.8805
250,897,89.7,2.0,0.2,0.8755
260,904,90.4,1.0,0.1,0.8705
270,767,76.7,3.0,0.3,0.8655
280,755,75.5,4.0,0.4,0.8605
290,671,67.1,5.0,0.5,0.8555
300,736,73.6,4.0,0.4,0.8505
310,671,67.1,4.0,0.4,0.8455
320,675,67.5,4.0,0.4,0.8405
330,666,66.6,4.0,0.4,0.8355
340,659,65.9,4.0,0.4,0.8305
350,659,65.9,4.0,0.4,0.8255
360,675,67.5,4.0,0.4,0.8205
370,660,66.0,4.0,0.4,0.8155
380,656,65.6,5.0,0.5,0.8105
390,653,65.3,5.0,0.5,0.8055
400,630,63.0,5.0,0.5,0.8005
410,597,59.7,5.0,0.5,0.7955
420,601,60.1,5.0,0.5,0.7905
430,602,60.2,5.0,0.5,0.7855
440,610,61.0,6.0,0.6,0.7805
450,536,53.6,6.0,0.6,0.7755
460,409,40.9,9.0,0.9,0.7705
470,437,43.7,8.0,0.8,0.7655
480,441,44.1,8.0,0.8,0.7605
490,424,42.4,8.0,0.8,0.7555
500,402,40.2,9.0,0.9,0.7505
510,347,34.7,10.0,1.0,0.7455
520,390,39.0,9.0,0.9,0.7405
530,447,44.7,7.0,0.7,0.7355
540,355,35.5,10.0,1.0,0.7305
550,363,36.3,9.0,0.9,0.7255
560,371,37.1,10.0,1.0,0.7205
570,311,31.1,10.0,1.0,0.7155
580,287,28.7,10.0,1.0,0.7105
590,291,29.1,10.0,1.0,0.7055
600,271,27.1,10.0,1.0,0.7005
610,253,25.3,10.0,1.0,0.6955
620,254,25.4,10.0,1.0,0.6905
630,255,25.5,10.0,1.0,0.6855
640,249,24.9,10.0,1.0,0.6805
650,292,29.2,10.0,1.0,0.6755
660,256,25.6,10.0,1.0,0.6705
670,264,26.4,10.0,1.0,0.6655
680,250,25.0,10.0,1.0,0.6605
690,255,25.5,10.0,1.0,0.6555
700,248,24.8,10.0,1.0,0.6505
710,251,25.1,10.0,1.0,0.6455
720,274,27.4,10.0,1.0,0.6405
730,253,25.3,10.0,1.0,0.6355
740,252,25.2,10.0,1.0,0.6305
750,242,24.2,10.0,1.0,0.6255
760,257,25.7,10.0,1.0,0.6205
770,249,24.9,10.0,1.0,0.6155
780,251,25.1,10.0,1.0,0.6105
790,253,25.3,10.0,1.0,0.6055
800,248,24.8,10.0,1.0,0.6005
810,241,24.1,10.0,1.0,0.5955
820,240,24.0,10.0,1.0,0.5905
830,251,25.1,10.0,1.0,0.5855
840,246,24.6,10.0,1.0,0.5805
850,244,24.4,10.0,1.0,0.5755
860,248,24.8,10.0,1.0,0.5705
870,250,25.0,10.0,1.0,0.5655
880,241,24.1,10.0,1.0,0.5605
890,251,25.1,10.0,1.0,0.5555
900,253,25.3,10.0,1.0,0.5505
910,257,25.7,10.0,1.0,0.5455
920,243,24.3,10.0,1.0,0.5405
930,249,24.9,10.0,1.0,0.5355
940,256,25.6,10.0,1.0,0.5305
950,245,24.5,10.0,1.0,0.5255
960,246,24.6,10.0,1.0,0.5205
970,247,24.7,10.0,1.0,0.5155
980,237,23.7,10.0,1.0,0.5105
990,243,24.3,10.0,1.0,0.5055
1000,244,24.4,10.0,1.0,0.5005
1010,253,25.3,10.0,1.0,0.4955
1020,243,24.3,10.0,1.0,0.4905
1030,255,25.5,10.0,1.0,0.4855
1040,250,25.0,10.0,1.0,0.4805
1050,250,25.0,10.0,1.0,0.4755
1060,241,24.1,10.0,1.0,0.4705
1070,254,25.4,10.0,1.0,0.4655
1080,262,26.2,10.0,1.0,0.4605
1090,241,24.1,10.0,1.0,0.4555
1100,248,24.8,10.0,1.0,0.4505
1110,260,26.0,10.0,1.0,0.4455
1120,253,25.3,10.0,1.0,0.4405
1130,245,24.5,10.0,1.0,0.4355
1140,251,25.1,10.0,1.0,0.4305
1150,246,24.6,10.0,1.0,0.4255
1160,253,25.3,10.0,1.0,0.4205
1170,246,24.6,10.0,1.0,0.4155
1180,236,23.6,10.0,1.0,0.4105
1190,247,24.7,10.0,1.0,0.4055
1200,248,24.8,10.0,1.0,0.4005
1210,248,24.8,10.0,1.0,0.3955
1220,256,25.6,10.0,1.0,0.3905
1230,250,25.0,10.0,1.0,0.3855
1240,250,25.0,10.0,1.0,0.3805
1250,250,25.0,10.0,1.0,0.3755
1260,248,24.8,10.0,1.0,0.3705
1270,248,24.8,10.0,1.0,0.3655
1280,250,25.0,10.0,1.0,0.3605
1290,244,24.4,10.0,1.0,0.3555
1300,244,24.4,10.0,1.0,0.3505
1310,246,24.6,10.0,1.0,0.3455
1320,248,24.8,10.0,1.0,0.3405
1330,252,25.2,10.0,1.0,0.3355
1340,246,24.6,10.0,1.0,0.3305
1350,242,24.2,10.0,1.0,0.3255
1360,252,25.2,10.0,1.0,0.3205
