"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper"
0,96.89,94.3341183258,99.4458816742,0.05,0.012297380621,0.087702619379
10,95.48,93.1444330404,97.8155669596,0.07,0.0354449785595,0.10455502144
20,94.4,92.82549239,95.97450761,0.09,0.0673784283726,0.112621571627
30,93.6,91.8788434218,95.3211565782,0.1,0.1,0.1
40,92.57,91.3480395514,93.7919604486,0.1,0.1,0.1
50,93.03,90.3785540776,95.6814459224,0.08,0.0498379044968,0.110162095503
60,92.7,90.9646962407,94.4353037593,0.1,0.1,0.1
70,91.27,89.2812306062,93.2587693938,0.11,0.0873784283726,0.132621571627
80,91.11,89.7263806462,92.4936193538,0.11,0.0873784283726,0.132621571627
90,89.88,88.6940503384,91.0659496616,0.13,0.0954449785595,0.16455502144
100,90.06,88.3341587371,91.7858412629,0.12,0.0747568567452,0.165243143255
110,88.82,84.6410528251,92.9989471749,0.13,0.0621352851178,0.197864714882
120,88.52,83.687730124,93.352269876,0.13,0.0621352851178,0.197864714882
130,89.21,84.9973569121,93.4226430879,0.14,0.070889957119,0.209110042881
140,88.64,84.8748389067,92.4051610933,0.13,0.0817170888079,0.178282911192
150,86.98,81.0404982581,92.9195017419,0.18,0.0858188869775,0.274181113023
160,86.17,80.5162109386,91.8237890614,0.18,0.0858188869775,0.274181113023
170,85.51,78.6666723452,92.3533276548,0.18,0.0858188869775,0.274181113023
180,86.31,79.089622559,93.530377441,0.18,0.0641602741893,0.295839725811
190,84.98,76.4530176971,93.5069823029,0.19,0.0532272848636,0.326772715136
200,86.12,80.4167712376,91.8232287624,0.19,0.10435611206,0.27564388794
210,82.98,75.8807819827,90.0792180173,0.24,0.143434177616,0.336565822384
220,79.83,72.9583482701,86.7016517299,0.27,0.187054237366,0.352945762634
230,80.26,70.0102005389,90.5097994611,0.26,0.112236512888,0.407763487112
240,81.68,73.0881165144,90.2718834856,0.22,0.104160274189,0.335839725811
250,78.9,69.5571722421,88.2428277579,0.29,0.149131388833,0.430868611167
260,75.35,64.4607811911,86.2392188089,0.35,0.19093247458,0.50906752542
270,76.61,66.6043498986,86.6156501014,0.32,0.17772568006,0.46227431994
280,70.4,58.5088066293,82.2911933707,0.44,0.260922479966,0.619077520034
290,70.5,60.1979774355,80.8020225645,0.4,0.265111008222,0.534888991778
300,72.78,63.1671598737,82.3928401263,0.36,0.228526473776,0.491473526224
310,67.19,58.4678952313,75.9121047687,0.49,0.37101254024,0.60898745976
320,65.38,53.7265942343,77.0334057657,0.5,0.331388760277,0.668611239723
330,63.92,54.9685501289,72.8714498711,0.5,0.353008129061,0.646991870939
340,62.33,55.1866877684,69.4733122316,0.52,0.399351617987,0.640648382013
350,63.21,56.0136809799,70.4063190201,0.5,0.404619079206,0.595380920794
360,59.59,49.3118233829,69.8681766171,0.55,0.41406127261,0.68593872739
370,58.33,48.5103934964,68.1496065036,0.58,0.412064559549,0.747935440451
380,58.9,50.4545459333,67.3454540667,0.55,0.431972132194,0.668027867806
390,58.38,49.8091206637,66.9508793363,0.6,0.456928618809,0.743071381191
400,53.41,43.135585873,63.684414127,0.67,0.530755288755,0.809244711245
410,56.85,47.3648571721,66.3351428279,0.62,0.466202886458,0.773797113542
420,51.71,40.9141684755,62.5058315245,0.65,0.502044237612,0.797955762388
430,49.57,41.3524167895,57.7875832105,0.68,0.554727408869,0.805272591131
440,50.59,42.3169455784,58.8630544216,0.71,0.59101254024,0.82898745976
450,46.6,38.7274619499,54.4725380501,0.74,0.612924832909,0.867075167091
460,45.85,37.6015319488,54.0984680512,0.76,0.642213251686,0.877786748314
470,42.39,35.1196327174,49.6603672826,0.8,0.717397699556,0.882602300444
480,42.66,34.5417443831,50.7782556169,0.81,0.695891167854,0.924108832146
490,42.01,35.2362378168,48.7837621832,0.82,0.725818886977,0.914181113023
500,38.85,31.660574121,46.039425879,0.86,0.763434177616,0.956565822384
510,38.88,30.8028493124,46.9571506876,0.83,0.70817910859,0.95182089141
520,36.87,31.0443364832,42.6956635168,0.88,0.792063136037,0.967936863963
530,36.88,31.5580993186,42.2019006814,0.86,0.783101443229,0.936898556771
540,35.19,30.8810078939,39.4989921061,0.91,0.857216332869,0.962783667131
550,35.04,29.0759079778,41.0040920222,0.9,0.832555504111,0.967444495889
560,34.86,29.6755183065,40.0444816935,0.91,0.83886284003,0.98113715997
570,33.97,29.0888807959,38.8511192041,0.9,0.832555504111,0.967444495889
580,32.41,28.3160510445,36.5039489555,0.92,0.874756856745,0.965243143255
590,31.57,28.6552095448,34.4847904552,0.92,0.874756856745,0.965243143255
600,30.86,27.8315243373,33.8884756627,0.95,0.912297380621,0.987702619379
610,30.87,26.8285254025,34.9114745975,0.94,0.889981823162,0.990018176838
620,29.52,26.8266920687,32.2133079313,0.97,0.93544497856,1.00455502144
630,29.17,26.1808598661,32.1591401339,0.96,0.923059128222,0.996940871778
640,28.88,26.466843854,31.293156146,0.96,0.923059128222,0.996940871778
650,29.38,26.7696714612,31.9903285388,0.95,0.912297380621,0.987702619379
660,28.67,25.8885686287,31.4514313713,0.97,0.93544497856,1.00455502144
670,27.96,25.2546012643,30.6653987357,0.97,0.93544497856,1.00455502144
680,27.94,25.5765058177,30.3034941823,0.98,0.949837904497,1.0101620955
690,28.28,26.1350423482,30.4249576518,0.98,0.949837904497,1.0101620955
700,26.73,24.4979412468,28.9620587532,1.0,1.0,1.0
710,27.21,25.0348627257,29.3851372743,0.99,0.967378428373,1.01262157163
720,25.8,25.1864774722,26.4135225278,1.0,1.0,1.0
730,27.4,25.3896335451,29.4103664549,0.98,0.949837904497,1.0101620955
740,26.01,24.9097809753,27.1102190247,1.0,1.0,1.0
750,25.45,24.5257089245,26.3742910755,1.0,1.0,1.0
760,25.46,24.9108344606,26.0091655394,1.0,1.0,1.0
770,26.05,24.6299569799,27.4700430201,0.99,0.967378428373,1.01262157163
780,25.43,25.1226831765,25.7373168235,1.0,1.0,1.0
790,26.24,24.7130858075,27.7669141925,1.0,1.0,1.0
800,25.25,24.6864751032,25.8135248968,1.0,1.0,1.0
810,26.38,24.2633278035,28.4966721965,0.99,0.967378428373,1.01262157163
820,25.92,24.429797113,27.410202887,1.0,1.0,1.0
830,26.34,24.6517981181,28.0282018819,1.0,1.0,1.0
840,25.15,24.5935829089,25.7064170911,1.0,1.0,1.0
850,25.9,23.9438189318,27.8561810682,1.0,1.0,1.0
860,25.98,24.206196936,27.753803064,0.99,0.967378428373,1.01262157163
870,26.18,24.7461896591,27.6138103409,1.0,1.0,1.0
880,25.59,24.8310995594,26.3489004406,1.0,1.0,1.0
890,26.46,23.672412019,29.247587981,0.99,0.967378428373,1.01262157163
900,25.97,24.2389446784,27.7010553216,1.0,1.0,1.0
910,26.16,24.3473860404,27.9726139596,0.99,0.967378428373,1.01262157163
920,25.63,24.5054502471,26.7545497529,1.0,1.0,1.0
930,25.78,24.5906989742,26.9693010258,1.0,1.0,1.0
940,25.97,24.1152610348,27.8247389652,0.99,0.967378428373,1.01262157163
950,26.33,24.2968392752,28.3631607248,0.99,0.967378428373,1.01262157163
960,25.28,24.607412322,25.952587678,1.0,1.0,1.0
970,26.25,24.4950655753,28.0049344247,0.99,0.967378428373,1.01262157163
980,26.26,23.980765175,28.539234825,0.98,0.949837904497,1.0101620955
990,25.96,24.5544657673,27.3655342327,1.0,1.0,1.0
1000,26.01,24.1277517152,27.8922482848,0.99,0.967378428373,1.01262157163
1010,25.64,24.438143625,26.841856375,1.0,1.0,1.0
1020,25.66,24.1892305312,27.1307694688,1.0,1.0,1.0
1030,25.46,24.8825711214,26.0374288786,1.0,1.0,1.0
1040,25.1,24.2705423737,25.9294576263,1.0,1.0,1.0
1050,25.08,24.6913885837,25.4686114163,1.0,1.0,1.0
1060,24.96,24.2428965759,25.6771034241,1.0,1.0,1.0
1070,25.0,24.3592772891,25.6407227109,1.0,1.0,1.0
1080,25.32,24.7913022569,25.8486977431,1.0,1.0,1.0
1090,25.33,24.5661706128,26.0938293872,1.0,1.0,1.0
1100,25.17,24.5292329192,25.8107670808,1.0,1.0,1.0
1110,25.08,24.7298727621,25.4301272379,1.0,1.0,1.0
1120,25.03,24.4626538699,25.5973461301,1.0,1.0,1.0
1130,25.16,24.7918247038,25.5281752962,1.0,1.0,1.0
1140,25.25,24.6656702135,25.8343297865,1.0,1.0,1.0
1150,24.91,24.4184758227,25.4015241773,1.0,1.0,1.0
1160,24.97,24.6877586849,25.2522413151,1.0,1.0,1.0
1170,24.93,24.6135674162,25.2464325838,1.0,1.0,1.0
1180,25.03,24.5308993379,25.5291006621,1.0,1.0,1.0
1190,25.03,24.5241100802,25.5358899198,1.0,1.0,1.0
1200,25.08,24.6057256245,25.5542743755,1.0,1.0,1.0
1210,25.1,24.7511743549,25.4488256451,1.0,1.0,1.0
1220,25.13,24.6286260369,25.6313739631,1.0,1.0,1.0
1230,24.87,24.3335618105,25.4064381895,1.0,1.0,1.0
1240,25.19,24.704294259,25.675705741,1.0,1.0,1.0
1250,24.81,24.358260311,25.261739689,1.0,1.0,1.0
1260,24.7,24.3110960647,25.0889039353,1.0,1.0,1.0
1270,24.93,24.6538685278,25.2061314722,1.0,1.0,1.0
1280,25.04,24.7417915855,25.3382084145,1.0,1.0,1.0
1290,25.31,24.8645981628,25.7554018372,1.0,1.0,1.0
1300,25.07,24.4966721955,25.6433278045,1.0,1.0,1.0
1310,25.0,24.6352381177,25.3647618823,1.0,1.0,1.0
1320,25.05,24.6578202601,25.4421797399,1.0,1.0,1.0
1330,25.23,24.7241100802,25.7358899198,1.0,1.0,1.0
1340,24.73,24.3196818546,25.1403181454,1.0,1.0,1.0
1350,25.07,24.7759195688,25.3640804312,1.0,1.0,1.0
1360,25.27,24.9482218931,25.5917781069,1.0,1.0,1.0
1370,24.85,24.4463882207,25.2536117793,1.0,1.0,1.0
1380,25.02,24.7076365858,25.3323634142,1.0,1.0,1.0
1390,25.4,24.8700132723,25.9299867277,1.0,1.0,1.0
1400,24.86,24.4550521034,25.2649478966,1.0,1.0,1.0
1410,25.38,24.8577949028,25.9022050972,1.0,1.0,1.0
1420,24.77,24.3162508946,25.2237491054,1.0,1.0,1.0
1430,24.76,24.5461892466,24.9738107534,1.0,1.0,1.0
1440,25.22,24.9004383274,25.5395616726,1.0,1.0,1.0
1450,25.22,24.8508992512,25.5891007488,1.0,1.0,1.0
1460,25.24,24.6735063815,25.8064936185,1.0,1.0,1.0
1470,24.88,24.5482169495,25.2117830505,1.0,1.0,1.0
1480,24.84,24.319539954,25.360460046,1.0,1.0,1.0
1490,24.78,24.3228178446,25.2371821554,1.0,1.0,1.0
1500,24.84,24.3798426582,25.3001573418,1.0,1.0,1.0
1510,25.13,24.7280822965,25.5319177035,1.0,1.0,1.0
1520,24.71,24.4634583081,24.9565416919,1.0,1.0,1.0
1530,25.14,24.7039516437,25.5760483563,1.0,1.0,1.0
1540,24.87,24.431545931,25.308454069,1.0,1.0,1.0
1550,25.27,25.0175331708,25.5224668292,1.0,1.0,1.0
1560,25.07,24.5006529957,25.6393470043,1.0,1.0,1.0
