"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper"
0,93.36,91.2539922927,95.4660077073,0.09,0.0673784283726,0.112621571627
10,94.34,91.6667380528,97.0132619472,0.11,0.0873784283726,0.132621571627
20,92.38,91.0722896606,93.6877103394,0.1,0.1,0.1
30,92.21,90.0535024526,94.3664975474,0.1,0.0662777520555,0.133722247945
40,91.36,90.6565050883,92.0634949117,0.1,0.1,0.1
50,91.62,90.132852689,93.107147311,0.11,0.0873784283726,0.132621571627
60,90.96,90.6397273996,91.2802726004,0.1,0.1,0.1
70,90.55,89.8202814101,91.2797185899,0.11,0.0873784283726,0.132621571627
80,90.07,88.9259009847,91.2140990153,0.12,0.0898379044968,0.150162095503
90,88.23,86.0377815285,90.4222184715,0.15,0.112297380621,0.187702619379
100,86.69,81.3091664866,92.0708335134,0.18,0.079963646325,0.280036353675
110,87.25,82.9523975065,91.5476024935,0.16,0.0831014432291,0.236898556771
120,87.02,82.2271917739,91.8128082261,0.17,0.0743214781063,0.265678521894
130,85.33,79.976222738,90.683777262,0.19,0.0979561759382,0.282043824062
140,81.22,72.5406768606,89.8993231394,0.25,0.11406127261,0.38593872739
150,81.85,72.7351783014,90.9648216986,0.25,0.105938493631,0.394061506369
160,80.08,68.5535600377,91.6064399623,0.28,0.115485191691,0.444514808309
170,81.65,72.8954387905,90.4045612095,0.24,0.117480988884,0.362519011116
180,77.64,65.7435384203,89.5364615797,0.3,0.124774059644,0.475225940356
190,73.28,61.7562241456,84.8037758544,0.39,0.226699339711,0.553300660289
200,70.53,55.7979679071,85.2620320929,0.42,0.207255641071,0.632744358929
210,72.68,60.3484512488,85.0115487512,0.39,0.178193140447,0.601806859553
220,65.2,51.9647587328,78.4352412672,0.53,0.342091113303,0.717908886697
230,63.68,49.7527605902,77.6072394098,0.51,0.339878027099,0.680121972901
240,62.17,47.3815715589,76.9584284411,0.53,0.368098086335,0.691901913665
250,57.5,41.807338241,73.192661759,0.56,0.357105253314,0.762894746686
260,55.56,40.7185632187,70.4014367813,0.6,0.41224246966,0.78775753034
270,55.35,41.9767049902,68.7232950098,0.61,0.443253798672,0.776746201328
280,51.88,36.8511173253,66.9088826747,0.64,0.437105253314,0.842894746686
290,50.17,35.9775381297,64.3624618703,0.66,0.501111302659,0.818888697341
300,44.5,32.5096660024,56.4903339976,0.73,0.58673004636,0.87326995364
310,42.84,32.4047104461,53.2752895539,0.78,0.659351617987,0.900648382013
320,46.04,35.0990558412,56.9809441588,0.72,0.609177384666,0.830822615334
330,38.01,29.5781263205,46.4418736795,0.79,0.697956175938,0.882043824062
340,37.73,29.7326318578,45.7273681422,0.82,0.725818886977,0.914181113023
350,34.72,27.080678924,42.359321076,0.83,0.747054237366,0.912945762634
360,35.13,28.1443608442,42.1156391558,0.83,0.75421867293,0.90578132707
370,35.02,26.6271699683,43.4128300317,0.84,0.722213251686,0.957786748314
380,32.77,27.4462566375,38.0937433625,0.85,0.780479804896,0.919520195104
390,30.08,25.320047663,34.839952337,0.91,0.847363704434,0.972636295566
400,29.59,25.4620263092,33.7179736908,0.91,0.869393036197,0.950606963803
410,30.07,25.7075543995,34.4324456005,0.9,0.832555504111,0.967444495889
420,29.67,25.5608572579,33.7791427421,0.9,0.832555504111,0.967444495889
430,27.72,24.1449963574,31.2950036426,0.93,0.89544497856,0.96455502144
440,25.73,23.5445355444,27.9154644556,0.93,0.89544497856,0.96455502144
450,27.02,23.4403869546,30.5996130454,0.92,0.874756856745,0.965243143255
460,25.91,22.7598203652,29.0601796348,0.95,0.912297380621,0.987702619379
470,24.62,21.592726173,27.647273827,0.95,0.912297380621,0.987702619379
480,25.11,22.3844474216,27.8355525784,0.95,0.912297380621,0.987702619379
490,23.93,20.9693383461,26.8906616539,0.96,0.923059128222,0.996940871778
500,23.8,21.1937697898,26.4062302102,0.96,0.923059128222,0.996940871778
510,23.47,20.8936003945,26.0463996055,0.97,0.93544497856,1.00455502144
520,22.96,20.9515577203,24.9684422797,0.98,0.949837904497,1.0101620955
530,23.38,20.9107115647,25.8492884353,0.97,0.93544497856,1.00455502144
540,22.77,20.6983311211,24.8416688789,0.97,0.93544497856,1.00455502144
550,22.16,20.1680453393,24.1519546607,0.98,0.949837904497,1.0101620955
