episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
0,921,92.1,1.0,0.1,1.0
10,904,90.4,1.0,0.1,0.9955
20,903,90.3,1.0,0.1,0.9905
30,919,91.9,1.0,0.1,0.9855
40,910,91.0,1.0,0.1,0.9805
50,937,93.7,1.0,0.1,0.9755
60,903,90.3,1.0,0.1,0.9705
70,910,91.0,1.0,0.1,0.9655
80,905,90.5,1.0,0.1,0.9605
90,902,90.2,1.0,0.1,0.9555
100,904,90.4,1.0,0.1,0.9505
110,902,90.2,1.0,0.1,0.9455
120,902,90.2,1.0,0.1,0.9405
130,902,90.2,1.0,0.1,0.9355
140,877,87.7,2.0,0.2,0.9305
150,904,90.4,1.0,0.1,0.9255
160,902,90.2,1.0,0.1,0.9205
170,904,90.4,1.0,0.1,0.9155
180,903,90.3,2.0,0.2,0.9105
190,856,85.6,2.0,0.2,0.9055
200,863,86.3,2.0,0.2,0.9005
210,864,86.4,2.0,0.2,0.8955
220,905,90.5,1.0,0.1,0.8905
230,833,83.3,3.0,0.3,0.8855
240,844,84.4,3.0,0.3,0.8805
250,733,73.3,4.0,0.4,0.8755
260,699,69.9,5.0,0.5,0.8705
270,729,72.9,4.0,0.4,0.8655
280,696,69.6,4.0,0.4,0.8605
290,767,76.7,4.0,0.4,0.8555
300,665,66.5,5.0,0.5,0.8505
310,804,80.4,4.0,0.4,0.8455
320,638,63.8,6.0,0.6,0.8405
330,570,57.0,7.0,0.7,0.8355
340,539,53.9,7.0,0.7,0.8305
350,480,48.0,7.0,0.7,0.8255
360,455,45.5,8.0,0.8,0.8205
370,390,39.0,9.0,0.9,0.8155
380,408,40.8,8.0,0.8,0.8105
390,338,33.8,9.0,0.9,0.8055
400,388,38.8,8.0,0.8,0.8005
410,397,39.7,8.0,0.8,0.7955
420,383,38.3,8.0,0.8,0.7905
430,389,38.9,8.0,0.8,0.7855
440,364,36.4,9.0,0.9,0.7805
450,355,35.5,9.0,0.9,0.7755
460,379,37.9,8.0,0.8,0.7705
470,352,35.2,9.0,0.9,0.7655
480,372,37.2,9.0,0.9,0.7605
490,300,30.0,10.0,1.0,0.7555
