episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
0,920,92.0,1.0,0.1,1.0
10,987,98.7,1.0,0.1,0.9955
20,932,93.2,2.0,0.2,0.9905
30,933,93.3,1.0,0.1,0.9855
40,917,91.7,1.0,0.1,0.9805
50,907,90.7,1.0,0.1,0.9755
60,909,90.9,1.0,0.1,0.9705
70,905,90.5,1.0,0.1,0.9655
80,907,90.7,1.0,0.1,0.9605
90,905,90.5,1.0,0.1,0.9555
100,905,90.5,1.0,0.1,0.9505
110,907,90.7,1.0,0.1,0.9455
120,906,90.6,1.0,0.1,0.9405
130,848,84.8,2.0,0.2,0.9355
140,885,88.5,2.0,0.2,0.9305
150,822,82.2,2.0,0.2,0.9255
160,816,81.6,3.0,0.3,0.9205
170,776,77.6,3.0,0.3,0.9155
180,749,74.9,4.0,0.4,0.9105
190,744,74.4,3.0,0.3,0.9055
200,612,61.2,5.0,0.5,0.9005
210,689,68.9,4.0,0.4,0.8955
220,687,68.7,4.0,0.4,0.8905
230,663,66.3,4.0,0.4,0.8855
240,639,63.9,6.0,0.6,0.8805
250,629,62.9,5.0,0.5,0.8755
260,505,50.5,7.0,0.7,0.8705
270,494,49.4,7.0,0.7,0.8655
280,477,47.7,7.0,0.7,0.8605
290,387,38.7,9.0,0.9,0.8555
300,433,43.3,8.0,0.8,0.8505
310,457,45.7,8.0,0.8,0.8455
320,400,40.0,8.0,0.8,0.8405
330,250,25.0,10.0,1.0,0.8355
340,302,30.2,10.0,1.0,0.8305
350,320,32.0,10.0,1.0,0.8255
360,325,32.5,9.0,0.9,0.8205
370,275,27.5,10.0,1.0,0.8155
380,243,24.3,10.0,1.0,0.8105
390,259,25.9,10.0,1.0,0.8055
400,248,24.8,10.0,1.0,0.8005
410,244,24.4,10.0,1.0,0.7955
420,247,24.7,10.0,1.0,0.7905
430,242,24.2,10.0,1.0,0.7855
440,249,24.9,10.0,1.0,0.7805
450,251,25.1,10.0,1.0,0.7755
460,261,26.1,10.0,1.0,0.7705
470,252,25.2,10.0,1.0,0.7655
480,246,24.6,10.0,1.0,0.7605
490,256,25.6,10.0,1.0,0.7555
500,250,25.0,10.0,1.0,0.7505
510,259,25.9,10.0,1.0,0.7455
520,244,24.4,10.0,1.0,0.7405
530,258,25.8,10.0,1.0,0.7355
540,257,25.7,10.0,1.0,0.7305
550,251,25.1,10.0,1.0,0.7255
560,248,24.8,10.0,1.0,0.7205
570,247,24.7,10.0,1.0,0.7155
580,246,24.6,10.0,1.0,0.7105
590,242,24.2,10.0,1.0,0.7055
600,248,24.8,10.0,1.0,0.7005
610,246,24.6,10.0,1.0,0.6955
620,239,23.9,10.0,1.0,0.6905
630,256,25.6,10.0,1.0,0.6855
640,245,24.5,10.0,1.0,0.6805
650,251,25.1,10.0,1.0,0.6755
660,248,24.8,10.0,1.0,0.6705
670,257,25.7,10.0,1.0,0.6655
680,246,24.6,10.0,1.0,0.6605
690,243,24.3,10.0,1.0,0.6555
700,265,26.5,10.0,1.0,0.6505
710,260,26.0,10.0,1.0,0.6455
720,250,25.0,10.0,1.0,0.6405
730,255,25.5,10.0,1.0,0.6355
740,253,25.3,10.0,1.0,0.6305
750,245,24.5,10.0,1.0,0.6255
760,260,26.0,10.0,1.0,0.6205
770,253,25.3,10.0,1.0,0.6155
780,250,25.0,10.0,1.0,0.6105
790,246,24.6,10.0,1.0,0.6055
800,241,24.1,10.0,1.0,0.6005
810,250,25.0,10.0,1.0,0.5955
820,255,25.5,10.0,1.0,0.5905
830,243,24.3,10.0,1.0,0.5855
840,243,24.3,10.0,1.0,0.5805
850,249,24.9,10.0,1.0,0.5755
860,245,24.5,10.0,1.0,0.5705
870,268,26.8,10.0,1.0,0.5655
880,244,24.4,10.0,1.0,0.5605
890,248,24.8,10.0,1.0,0.5555
900,254,25.4,10.0,1.0,0.5505
910,246,24.6,10.0,1.0,0.5455
920,250,25.0,10.0,1.0,0.5405
930,250,25.0,10.0,1.0,0.5355
940,250,25.0,10.0,1.0,0.5305
950,254,25.4,10.0,1.0,0.5255
960,242,24.2,10.0,1.0,0.5205
970,245,24.5,10.0,1.0,0.5155
980,253,25.3,10.0,1.0,0.5105
990,242,24.2,10.0,1.0,0.5055
1000,253,25.3,10.0,1.0,0.5005
1010,256,25.6,10.0,1.0,0.4955
1020,251,25.1,10.0,1.0,0.4905
1030,247,24.7,10.0,1.0,0.4855
1040,251,25.1,10.0,1.0,0.4805
1050,250,25.0,10.0,1.0,0.4755
1060,257,25.7,10.0,1.0,0.4705
1070,245,24.5,10.0,1.0,0.4655
1080,254,25.4,10.0,1.0,0.4605
1090,253,25.3,10.0,1.0,0.4555
1100,235,23.5,10.0,1.0,0.4505
1110,243,24.3,10.0,1.0,0.4455
1120,246,24.6,10.0,1.0,0.4405
1130,242,24.2,10.0,1.0,0.4355
1140,247,24.7,10.0,1.0,0.4305
1150,252,25.2,10.0,1.0,0.4255
1160,251,25.1,10.0,1.0,0.4205
1170,245,24.5,10.0,1.0,0.4155
1180,244,24.4,10.0,1.0,0.4105
1190,249,24.9,10.0,1.0,0.4055
1200,252,25.2,10.0,1.0,0.4005
