"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper"
0,94.6,92.1993169821,97.0006830179,0.09,0.0493930361967,0.130606963803
10,94.1,91.5306833618,96.6693166382,0.1,0.0662777520555,0.133722247945
20,93.04,90.9696626912,95.1103373088,0.1,0.0662777520555,0.133722247945
30,93.92,91.1109549636,96.7290450364,0.08,0.0498379044968,0.110162095503
40,92.89,90.4565127699,95.3234872301,0.09,0.0673784283726,0.112621571627
50,92.29,90.4823333759,94.0976666241,0.1,0.1,0.1
60,90.99,90.4927254612,91.4872745388,0.11,0.0873784283726,0.132621571627
70,91.47,89.9147315334,93.0252684666,0.1,0.1,0.1
80,91.54,89.4440056219,93.6359943781,0.11,0.0873784283726,0.132621571627
90,91.24,90.1539551231,92.3260448769,0.11,0.0873784283726,0.132621571627
100,90.42,88.9275095362,91.9124904638,0.11,0.0873784283726,0.132621571627
110,88.62,85.7915898004,91.4484101996,0.15,0.0892063529561,0.210793647044
120,89.61,87.6959987601,91.5240012399,0.14,0.103059128222,0.176940871778
130,86.48,81.1771510449,91.7828489551,0.17,0.0942186729301,0.24578132707
140,85.37,79.0987452578,91.6412547422,0.19,0.0979561759382,0.282043824062
150,84.96,80.0796788084,89.8403211916,0.21,0.12435611206,0.29564388794
160,82.84,75.4638257812,90.2161742188,0.24,0.117480988884,0.362519011116
170,81.57,74.4196865552,88.7203134448,0.27,0.12673004636,0.41326995364
180,79.31,70.1614176498,88.4585823502,0.3,0.153008129061,0.446991870939
190,76.55,67.3569756437,85.7430243563,0.36,0.19071565884,0.52928434116
200,73.9,63.2285734583,84.5714265417,0.35,0.19824988425,0.50175011575
210,73.08,63.6591843976,82.5008156024,0.38,0.233783817172,0.526216182828
220,72.26,59.7684126641,84.7515873359,0.36,0.197572144787,0.522427855213
230,66.47,53.8149407166,79.1250592834,0.45,0.261486903105,0.638513096895
240,65.96,53.6117066179,78.3082933821,0.49,0.297901546834,0.682098453166
250,64.92,52.3540025901,77.4859974099,0.49,0.306996596509,0.673003403491
260,56.21,42.2225233304,70.1974766696,0.62,0.421067317356,0.818932682644
270,55.81,41.9982197924,69.6217802076,0.62,0.423946379229,0.816053620771
280,54.2,39.3818441106,69.0181558894,0.62,0.409945311289,0.830054688711
290,50.76,35.9449832326,65.5750167674,0.67,0.461985385742,0.878014614258
300,48.35,36.1346189662,60.5653810338,0.71,0.536567950857,0.883432049143
310,46.82,34.6861840992,58.9538159008,0.75,0.580547801247,0.919452198753
320,45.66,33.301718579,58.018281421,0.75,0.59824988425,0.90175011575
330,41.64,31.3173450401,51.9626549599,0.81,0.661277622312,0.958722377688
340,43.5,32.8053677353,54.1946322647,0.78,0.63772568006,0.92227431994
350,39.69,30.0308008291,49.3491991709,0.85,0.71831041196,0.98168958804
360,36.87,29.01691092,44.72308908,0.88,0.769177384666,0.990822615334
370,37.81,29.7360423791,45.8839576209,0.88,0.785818886977,0.974181113023
380,32.93,26.0751660906,39.7848339094,0.95,0.899416628083,1.00058337192
390,33.66,25.9918989371,41.3281010629,0.93,0.85421867293,1.00578132707
400,30.34,25.7646725717,34.9153274283,0.94,0.889981823162,0.990018176838
410,27.34,23.806687202,30.873312798,0.98,0.934756856745,1.02524314325
420,26.97,24.064783814,29.875216186,0.99,0.967378428373,1.01262157163
430,26.75,24.2218995009,29.2781004991,1.0,1.0,1.0
440,27.58,23.9335036943,31.2264963057,0.99,0.967378428373,1.01262157163
450,27.54,23.2149721557,31.8650278443,0.99,0.967378428373,1.01262157163
460,27.64,24.8675471706,30.4124528294,0.98,0.949837904497,1.0101620955
470,29.14,24.7779258803,33.5020741197,0.97,0.921717088808,1.01828291119
480,26.82,23.9081859177,29.7318140823,0.99,0.967378428373,1.01262157163
490,26.67,23.9901843813,29.3498156187,1.0,1.0,1.0
500,26.15,24.3034952107,27.9965047893,1.0,1.0,1.0
510,25.34,24.8974798094,25.7825201906,1.0,1.0,1.0
520,25.43,24.4917879107,26.3682120893,1.0,1.0,1.0
530,25.26,24.2954022272,26.2245977728,1.0,1.0,1.0
540,24.85,24.2874850053,25.4125149947,1.0,1.0,1.0
550,24.96,24.5550521034,25.3649478966,1.0,1.0,1.0
560,25.08,24.6405743941,25.5194256059,1.0,1.0,1.0
570,25.03,24.5687935487,25.4912064513,1.0,1.0,1.0
580,24.87,24.2917347309,25.4482652691,1.0,1.0,1.0
590,26.51,23.5925967465,29.4274032535,0.99,0.967378428373,1.01262157163
600,24.92,24.5764300324,25.2635699676,1.0,1.0,1.0
610,24.58,24.1884732284,24.9715267716,1.0,1.0,1.0
620,24.62,24.2313885837,25.0086114163,1.0,1.0,1.0
630,25.07,24.5158356189,25.6241643811,1.0,1.0,1.0
640,24.74,24.293641748,25.186358252,1.0,1.0,1.0
650,24.93,24.6359195688,25.2240804312,1.0,1.0,1.0
660,24.92,24.613146073,25.226853927,1.0,1.0,1.0
670,25.03,24.6155454784,25.4444545216,1.0,1.0,1.0
680,24.99,24.6571048722,25.3228951278,1.0,1.0,1.0
690,25.04,24.707532154,25.372467846,1.0,1.0,1.0
700,25.04,24.4805764666,25.5994235334,1.0,1.0,1.0
710,25.13,24.7926932255,25.4673067745,1.0,1.0,1.0
720,24.69,24.2209697166,25.1590302834,1.0,1.0,1.0
730,24.99,24.4531379999,25.5268620001,1.0,1.0,1.0
740,24.76,24.3737367105,25.1462632895,1.0,1.0,1.0
750,25.21,24.8771048722,25.5428951278,1.0,1.0,1.0
760,25.28,24.8798545853,25.6801454147,1.0,1.0,1.0
770,25.17,24.5752538764,25.7647461236,1.0,1.0,1.0
780,24.85,24.4666179343,25.2333820657,1.0,1.0,1.0
790,25.12,24.5599669619,25.6800330381,1.0,1.0,1.0
800,24.7,24.2043861973,25.1956138027,1.0,1.0,1.0
810,25.35,24.4116667103,26.2883332897,1.0,1.0,1.0
820,24.82,24.4227066916,25.2172933084,1.0,1.0,1.0
830,24.8,24.4836572736,25.1163427264,1.0,1.0,1.0
840,24.74,24.4698008171,25.0101991829,1.0,1.0,1.0
850,24.7,24.3678743752,25.0321256248,1.0,1.0,1.0
860,24.91,24.5588187702,25.2611812298,1.0,1.0,1.0
870,24.98,24.4189525922,25.5410474078,1.0,1.0,1.0
880,25.05,24.6165018471,25.4834981529,1.0,1.0,1.0
890,24.8,24.4528082076,25.1471917924,1.0,1.0,1.0
900,24.78,24.4640169584,25.0959830416,1.0,1.0,1.0
910,24.79,24.5411627121,25.0388372879,1.0,1.0,1.0
920,24.92,24.6570529476,25.1829470524,1.0,1.0,1.0
930,24.96,24.5564586652,25.3635413348,1.0,1.0,1.0
940,24.93,24.5589786391,25.3010213609,1.0,1.0,1.0
950,24.83,24.4960816265,25.1639183735,1.0,1.0,1.0
960,24.71,24.2184758227,25.2015241773,1.0,1.0,1.0
970,25.03,24.4390903695,25.6209096305,1.0,1.0,1.0
980,24.79,24.4764556235,25.1035443765,1.0,1.0,1.0
990,24.81,24.1724354403,25.4475645597,1.0,1.0,1.0
1000,24.96,24.4584559547,25.4615440453,1.0,1.0,1.0
1010,24.8,24.4415275872,25.1584724128,1.0,1.0,1.0
1020,24.84,24.4239707715,25.2560292285,1.0,1.0,1.0
1030,25.02,24.6493619653,25.3906380347,1.0,1.0,1.0
1040,24.79,24.2468205203,25.3331794797,1.0,1.0,1.0
1050,24.99,24.4272828799,25.5527171201,1.0,1.0,1.0
1060,25.32,24.7331941258,25.9068058742,1.0,1.0,1.0
1070,24.98,24.6864033337,25.2735966663,1.0,1.0,1.0
1080,24.8,24.3425691733,25.2574308267,1.0,1.0,1.0
