"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper"
0,99.58,98.6298939916,100.530106008,0.01,-0.0126215716274,0.0326215716274
10,96.45,94.2678682775,98.6321317225,0.07,0.0354449785595,0.10455502144
20,96.3,93.3125818554,99.2874181446,0.07,0.0217170888079,0.118282911192
30,97.69,95.7194979276,99.6605020724,0.05,0.012297380621,0.087702619379
40,96.8,93.2049806088,100.395019391,0.09,0.0273637044343,0.152636295566
50,94.18,89.1092233536,99.2507766464,0.1,0.0107793182888,0.189220681711
60,95.64,93.222512279,98.057487721,0.09,0.0493930361967,0.130606963803
70,90.76,87.7516806172,93.7683193828,0.14,0.0796758089936,0.200324191006
80,91.14,87.0046293087,95.2753706913,0.14,0.0796758089936,0.200324191006
90,87.9,80.6944780249,95.1055219751,0.19,0.10435611206,0.27564388794
100,86.16,78.7765063042,93.5434936958,0.18,0.0858188869775,0.274181113023
110,82.9,75.3258449808,90.4741550192,0.24,0.12714377256,0.35285622744
120,82.6,75.3220076045,89.8779923955,0.24,0.132299776854,0.347700223146
130,81.54,73.8802825483,89.1997174517,0.24,0.132299776854,0.347700223146
140,78.95,69.6122096811,88.2877903189,0.31,0.15750234221,0.46249765779
150,79.13,69.7627358447,88.4972641553,0.3,0.14546524619,0.45453475381
160,79.54,68.6726321501,90.4073678499,0.28,0.112064559549,0.447935440451
170,76.24,64.6119742857,87.8680257143,0.32,0.166202886458,0.473797113542
180,74.95,61.4121973676,88.4878026324,0.36,0.157105253314,0.562894746686
190,71.81,58.2242671994,85.3957328006,0.39,0.206996596509,0.573003403491
200,65.55,50.830084261,80.269915739,0.51,0.314964091216,0.705035908784
210,65.99,49.201486307,82.778513693,0.48,0.25428754512,0.70571245488
220,62.15,43.4636065836,80.8363934164,0.53,0.286708529055,0.773291470945
230,61.78,43.5681502135,79.9918497865,0.54,0.29635821718,0.78364178282
240,58.93,40.9896357339,76.8703642661,0.54,0.29635821718,0.78364178282
250,54.39,37.0376030002,71.7423969998,0.63,0.406184853544,0.853815146456
260,52.72,34.9244019948,70.5155980052,0.62,0.391782335709,0.848217664291
270,51.39,34.3438306177,68.4361693823,0.65,0.425677335553,0.874322664447
280,47.94,33.0641612153,62.8158387847,0.7,0.51529564111,0.88470435889
290,44.89,30.8746649727,58.9053350273,0.74,0.557775006687,0.922224993313
300,42.27,28.5699222546,55.9700777454,0.78,0.605424250904,0.954575749096
310,39.18,25.7610959114,52.5989040886,0.79,0.619878027099,0.960121972901
320,37.76,26.4787008808,49.0412991192,0.82,0.666202886458,0.973797113542
330,37.21,25.5470032001,48.8729967999,0.85,0.705938493631,0.994061506369
