episode,steps_total,steps_mean,reward_total,reward_mean,epsilon
0,925,92.5,1.0,0.1,1.0
10,942,94.2,1.0,0.1,0.9955
20,903,90.3,1.0,0.1,0.9905
30,904,90.4,1.0,0.1,0.9855
40,905,90.5,1.0,0.1,0.9805
50,915,91.5,1.0,0.1,0.9755
60,910,91.0,1.0,0.1,0.9705
70,906,90.6,1.0,0.1,0.9655
80,933,93.3,1.0,0.1,0.9605
90,903,90.3,1.0,0.1,0.9555
100,902,90.2,1.0,0.1,0.9505
110,906,90.6,1.0,0.1,0.9455
120,904,90.4,1.0,0.1,0.9405
130,902,90.2,1.0,0.1,0.9355
140,903,90.3,1.0,0.1,0.9305
150,902,90.2,1.0,0.1,0.9255
160,903,90.3,1.0,0.1,0.9205
170,839,83.9,2.0,0.2,0.9155
180,906,90.6,1.0,0.1,0.9105
190,834,83.4,3.0,0.3,0.9055
200,772,77.2,3.0,0.3,0.9005
210,820,82.0,3.0,0.3,0.8955
220,671,67.1,5.0,0.5,0.8905
230,782,78.2,3.0,0.3,0.8855
240,637,63.7,5.0,0.5,0.8805
250,672,67.2,5.0,0.5,0.8755
260,592,59.2,6.0,0.6,0.8705
270,681,68.1,5.0,0.5,0.8655
280,529,52.9,7.0,0.7,0.8605
290,481,48.1,8.0,0.8,0.8555
300,480,48.0,8.0,0.8,0.8505
310,517,51.7,7.0,0.7,0.8455
320,426,42.6,9.0,0.9,0.8405
330,403,40.3,9.0,0.9,0.8355
340,393,39.3,8.0,0.8,0.8305
350,348,34.8,9.0,0.9,0.8255
360,330,33.0,9.0,0.9,0.8205
370,335,33.5,9.0,0.9,0.8155
380,300,30.0,10.0,1.0,0.8105
390,331,33.1,9.0,0.9,0.8055
400,298,29.8,10.0,1.0,0.8005
410,317,31.7,9.0,0.9,0.7955
420,321,32.1,9.0,0.9,0.7905
430,328,32.8,9.0,0.9,0.7855
440,339,33.9,9.0,0.9,0.7805
450,319,31.9,9.0,0.9,0.7755
460,271,27.1,10.0,1.0,0.7705
470,294,29.4,10.0,1.0,0.7655
480,328,32.8,9.0,0.9,0.7605
490,260,26.0,10.0,1.0,0.7555
500,260,26.0,10.0,1.0,0.7505
510,259,25.9,10.0,1.0,0.7455
520,258,25.8,10.0,1.0,0.7405
530,261,26.1,10.0,1.0,0.7355
540,263,26.3,10.0,1.0,0.7305
550,261,26.1,10.0,1.0,0.7255
560,255,25.5,10.0,1.0,0.7205
570,256,25.6,10.0,1.0,0.7155
580,253,25.3,10.0,1.0,0.7105
590,247,24.7,10.0,1.0,0.7055
600,261,26.1,10.0,1.0,0.7005
610,247,24.7,10.0,1.0,0.6955
620,247,24.7,10.0,1.0,0.6905
630,255,25.5,10.0,1.0,0.6855
640,254,25.4,10.0,1.0,0.6805
650,254,25.4,10.0,1.0,0.6755
660,249,24.9,10.0,1.0,0.6705
670,252,25.2,10.0,1.0,0.6655
680,250,25.0,10.0,1.0,0.6605
690,251,25.1,10.0,1.0,0.6555
700,256,25.6,10.0,1.0,0.6505
710,245,24.5,10.0,1.0,0.6455
720,244,24.4,10.0,1.0,0.6405
730,265,26.5,10.0,1.0,0.6355
740,262,26.2,10.0,1.0,0.6305
750,247,24.7,10.0,1.0,0.6255
760,261,26.1,10.0,1.0,0.6205
770,252,25.2,10.0,1.0,0.6155
780,259,25.9,10.0,1.0,0.6105
790,266,26.6,10.0,1.0,0.6055
800,254,25.4,10.0,1.0,0.6005
810,255,25.5,10.0,1.0,0.5955
820,254,25.4,10.0,1.0,0.5905
830,253,25.3,10.0,1.0,0.5855
840,258,25.8,10.0,1.0,0.5805
850,256,25.6,10.0,1.0,0.5755
860,262,26.2,10.0,1.0,0.5705
870,249,24.9,10.0,1.0,0.5655
880,258,25.8,10.0,1.0,0.5605
890,260,26.0,10.0,1.0,0.5555
900,251,25.1,10.0,1.0,0.5505
910,255,25.5,10.0,1.0,0.5455
920,267,26.7,10.0,1.0,0.5405
930,257,25.7,10.0,1.0,0.5355
940,261,26.1,10.0,1.0,0.5305
950,250,25.0,10.0,1.0,0.5255
960,262,26.2,10.0,1.0,0.5205
970,263,26.3,10.0,1.0,0.5155
980,261,26.1,10.0,1.0,0.5105
990,260,26.0,10.0,1.0,0.5055
1000,252,25.2,10.0,1.0,0.5005
1010,250,25.0,10.0,1.0,0.4955
1020,255,25.5,10.0,1.0,0.4905
1030,259,25.9,10.0,1.0,0.4855
1040,257,25.7,10.0,1.0,0.4805
1050,248,24.8,10.0,1.0,0.4755
1060,261,26.1,10.0,1.0,0.4705
1070,262,26.2,10.0,1.0,0.4655
1080,249,24.9,10.0,1.0,0.4605
1090,247,24.7,10.0,1.0,0.4555
1100,250,25.0,10.0,1.0,0.4505
1110,255,25.5,10.0,1.0,0.4455
1120,252,25.2,10.0,1.0,0.4405
1130,248,24.8,10.0,1.0,0.4355
1140,238,23.8,10.0,1.0,0.4305
1150,251,25.1,10.0,1.0,0.4255
1160,257,25.7,10.0,1.0,0.4205
1170,254,25.4,10.0,1.0,0.4155
1180,255,25.5,10.0,1.0,0.4105
1190,257,25.7,10.0,1.0,0.4055
1200,259,25.9,10.0,1.0,0.4005
1210,252,25.2,10.0,1.0,0.3955
1220,246,24.6,10.0,1.0,0.3905
1230,250,25.0,10.0,1.0,0.3855
1240,256,25.6,10.0,1.0,0.3805
1250,262,26.2,10.0,1.0,0.3755
1260,261,26.1,10.0,1.0,0.3705
1270,262,26.2,10.0,1.0,0.3655
1280,254,25.4,10.0,1.0,0.3605
1290,250,25.0,10.0,1.0,0.3555
1300,259,25.9,10.0,1.0,0.3505
1310,257,25.7,10.0,1.0,0.3455
1320,268,26.8,10.0,1.0,0.3405
1330,270,27.0,10.0,1.0,0.3355
1340,254,25.4,10.0,1.0,0.3305
1350,261,26.1,10.0,1.0,0.3255
1360,256,25.6,10.0,1.0,0.3205
1370,253,25.3,10.0,1.0,0.3155
1380,251,25.1,10.0,1.0,0.3105
1390,263,26.3,10.0,1.0,0.3055
1400,251,25.1,10.0,1.0,0.3005
1410,247,24.7,10.0,1.0,0.2955
1420,263,26.3,10.0,1.0,0.2905
1430,253,25.3,10.0,1.0,0.2855
1440,254,25.4,10.0,1.0,0.2805
1450,253,25.3,10.0,1.0,0.2755
1460,252,25.2,10.0,1.0,0.2705
1470,252,25.2,10.0,1.0,0.2655
1480,261,26.1,10.0,1.0,0.2605
1490,257,25.7,10.0,1.0,0.2555
1500,256,25.6,10.0,1.0,0.2505
1510,249,24.9,10.0,1.0,0.2455
1520,258,25.8,10.0,1.0,0.2405
1530,252,25.2,10.0,1.0,0.2355
1540,263,26.3,10.0,1.0,0.2305
1550,256,25.6,10.0,1.0,0.2255
1560,256,25.6,10.0,1.0,0.2205
1570,260,26.0,10.0,1.0,0.2155
1580,259,25.9,10.0,1.0,0.2105
1590,262,26.2,10.0,1.0,0.2055
1600,270,27.0,10.0,1.0,0.2005
1610,260,26.0,10.0,1.0,0.1955
1620,252,25.2,10.0,1.0,0.1905
1630,247,24.7,10.0,1.0,0.1855
1640,252,25.2,10.0,1.0,0.1805
1650,264,26.4,10.0,1.0,0.1755
1660,259,25.9,10.0,1.0,0.1705
1670,257,25.7,10.0,1.0,0.1655
1680,266,26.6,10.0,1.0,0.1605
1690,252,25.2,10.0,1.0,0.1555
1700,268,26.8,10.0,1.0,0.1505
1710,254,25.4,10.0,1.0,0.1455
1720,260,26.0,10.0,1.0,0.1405
1730,263,26.3,10.0,1.0,0.1355
1740,246,24.6,10.0,1.0,0.1305
1750,258,25.8,10.0,1.0,0.1255
1760,254,25.4,10.0,1.0,0.1205
1770,257,25.7,10.0,1.0,0.1155
1780,261,26.1,10.0,1.0,0.1105
1790,253,25.3,10.0,1.0,0.1055
1800,252,25.2,10.0,1.0,0.1005
1810,254,25.4,10.0,1.0,0.0955
1820,260,26.0,10.0,1.0,0.0905
1830,264,26.4,10.0,1.0,0.0855
1840,264,26.4,10.0,1.0,0.0805
1850,255,25.5,10.0,1.0,0.0755
1860,259,25.9,10.0,1.0,0.0705
1870,253,25.3,10.0,1.0,0.0655
1880,258,25.8,10.0,1.0,0.0605
1890,258,25.8,10.0,1.0,0.0555
1900,246,24.6,10.0,1.0,0.0505
1910,254,25.4,10.0,1.0,0.0455
1920,249,24.9,10.0,1.0,0.0405
1930,256,25.6,10.0,1.0,0.0355
1940,248,24.8,10.0,1.0,0.0305
1950,252,25.2,10.0,1.0,0.0255
1960,260,26.0,10.0,1.0,0.0205
1970,254,25.4,10.0,1.0,0.0155
1980,248,24.8,10.0,1.0,0.0105
1990,260,26.0,10.0,1.0,0.0055
2000,249,24.9,10.0,1.0,0.0005
